start;measure
0.753333333;0.888
1.222666666;1
3.062290249;2
4.830997732;3
6.447891156;4
8.330498866;5
10.364;6
12.128004535;7
14.151;8
16.041;9
17.9315;10
19.785;11
21.601995464;12
23.593990929;13
25.49004535;14
27.510997732;15
29.483;16
31.462993197;17
33.375;18
35.22600907;19
37.138;20
39.187;21
41.112;22
43.069;23
44.917006802;24
46.86;25
48.709002267;26
50.651995464;27
52.699002267;28
54.608004535;29
56.630997732;30
58.555011337;31
60.524;32
62.417006802;33
64.397006802;34
66.382;35
68.3269954645;36
70.230997732;37
72.449;38
74.39;39
76.387;40
78.523;41
80.506;42
82.47;43
84.511;44
86.506;45
88.473990929;46
90.55;47
92.52200113375;48
94.491995464;49
96.397;50
98.29;51
100.478004535;52
102.25;53
104.32;54
106.418730158;55
108.43;56
110.47;57
112.55;58
114.29;59
116.76;60
118.75;61
120.92;62
122.97;63
125.09;64
127.12;65
129.18;66
131.27;67
133.38;68
135.45;69
137.44;70
139.53;71
141.7;72
143.76;73
145.82;74
147.88;75
150.04;76
151.98;77
153.78;78
155.63;79
157.44;80
159.31;81
161.25;82
163.16;83
165.15;84
166.96;85
169.04;86
170.87;87
172.87;88
174.92;89
176.98;90
178.9;91
180.89;92
182.82;93
184.74;94
186.602;95
188.63;96
190.72;97
192.68;98
194.435;99
196.52;100
198.31;101
200.14;102
202.16;103
204.14;104
206.1;105
208.01;106
210.05;107
212.04;108
214.02;109
215.89;110
217.81;111
219.73;112
221.7;113
223.7;114
225.55;115
227.42;116
229.55;117
231.46;118
233.51;119
235.44;120
237.46;121
239.4;122
241.41;123
243.49;124
245.73;125
247.83;126
249.87;127
252.085;128
254.11;129
256.15;130
258.22;131
260.36;132
262.46;133
264.62;134
266.64;135
268.72;136
270.84;137
273.03;138
275.07;139
277.28;140
279.3;141
281.32;142
283.21;143
285.2;144
287.27;145
289.32;146
291.22;147
293.17;148
295.29;149
297.35;150
299.58;151
301.65;152
303.42;153
305.57;154
307.48;155
309.934666666;156
311.53;157
313.11;158
315.07;159
316.72;160
318.76;161
320.543673469;162
322.3933333333;163
324.42;164
326.11;165
327.92;166
329.67;167
331.76;168
333.37;169
335.28;170
337.25;171
339.04;172
340.81;173
342.82;174
344.61;175
346.39;176
348.37;177
350.13;178
352.06;179
353.9;180
355.97;181
357.95;182
360.15;183
362.24;184
364.34;185
366.1;186
367.84;187
369.83;188
371.67;189
373.51;190
375.35;191
377.35;192
378.96;193
380.89;194
382.86;195
384.63;196
386.62;197
388.4;198
390.5;199
392.46;200
394.3475;201
396.3833333333;202
398.1;203
400.12;204
402.31;205
403.92;206
405.73;207
407.68;208
409.55;209
411.25;210
413.3;211
415.04;212
417.04;213
418.96;214
420.88;215
422.33;216
424.07;217
425.61;218
427;219
428.43;220
429.88;221
431.22;222
432.58;223
434.01;224
435.26;225
436.72;226
438.08;227
439.51;228
440.89;229
442.24;230
443.66;231
445.01;232
446.3;233
447.71;234
449.02;235
450.64;236
451.76;237
453.08;238
454.3;239
455.78;240
457.09;241
458.52;242
459.94;243
461.23;244
462.58;245
463.98;246
465.38;247
466.76;248
468.21;249
469.49;250
470.87;251
472.435;252
473.89;253
475.71;254
477.42;255
479.01;256
480.84;257
482.45;258
484.19;259
485.86;260
487.41;261
488.89;262
490.81;263
492.41;264
494.15;265
495.79;266
497.48;267
498.72;268
500.23;269
501.69;270
503.16;271
504.6;272
505.98;273
507.62;274
509.12;275
510.61;276
512.08;277
513.39;278
515.03;279
516.67;280
518.1;281
519.67;282
521.23;283
522.63;284
524.08;285
525.57;286
526.95;287
528.47;288
529.99;289
531.51;290
533.09;291
534.625;292
536.23;293
537.669977324;294
539.39;295
540.84;296
542.31;297
543.78;298
545.33;299
546.85;300
548.26;301
549.8;302
551.41;303
552.82;304
554.32;305
555.835;306
557.42;307
559.02;308
560.83;309
562.33;310
563.82;311
565.2866666667;312
566.69;313
568.32;314
569.93;315
571.43;316
573.2;317
574.65;318
576.74;319
578.49;320
579.99;321
581.6725;322
583.39;323
584.85;324
586.48;325
588.07;326
589.81;327
591.305;328
593.14;329
595.04;330
597.035;331
598.83;332
600.56;333
602.3;334
603.88;335
605.58;336
607.46;337
609.03;338
610.7633333333;339
612.46;340
614.07;341
615.63;342
617.31;343
618.97;344
620.57;345
622.0966666667;346
623.81;347
625.3;348
626.98;349
628.471875;350
630.27;351
632.11;352
633.36;353
634.81;354
636.36;355
638;356
639.5;357
641.22;358
642.9;359
644.4;360
645.91;361
647.48;362
649.02;363
650.6;364
652.32;365
653.75;366
655.45;367
657.22;368
658.76;369
660.37;370
661.85;371
663.63;372
665.31;373
667.04;374
669.0075;375
671.2;376
673.47;377
675.67;378
678.68;379
680.63;380
682.83;381
685.74;382
688.71;383
