start;measure
2.789999998;0.888
3.482666666;1
5.308552083;2
7.070997732;3
8.845291666;4
10.610104166;5
12.547;6
14.331995464;7
16.271;8
18.121;9
19.9615;10
21.805;11
23.685;12
25.513990929;13
27.473990929;14
29.317006802;15
31.309002267;16
33.116;17
34.995;18
36.869002267;19
38.718;20
40.641995464;21
42.55600907;22
44.569;23
46.348004535;24
48.28;25
50.133990929;26
51.964988662;27
54.007;28
55.928004535;29
57.793990929;30
59.787;31
61.724;32
63.752;33
65.696;34
67.702;35
69.663990929;36
71.641;37
73.749;38
75.641995464;39
77.627;40
79.743;41
81.633990929;42
83.63;43
85.57600907;44
87.57600907;45
89.453990929;46
91.47;47
93.320997732;48
95.171995464;49
97.117006802;50
99.108004535;51
100.898004535;52
102.73;53
104.78;54
106.738730158;55
108.61;56
110.65;57
112.4066666667;58
114.31;59
116.32;60
118.31;61
120.24;62
122.29;63
124.31;64
126.3;65
128.24;66
130.27;67
132.34;68
134.37;69
136.3;70
138.31;71
140.33;72
142.38;73
144.31;74
146.37;75
148.3;76
150.2975;77
152.04;78
153.79;79
155.64;80
157.53;81
159.52;82
161.32;83
163.21;84
165.1;85
167.03;86
168.93;87
170.83;88
172.72;89
174.766;90
176.6;91
178.59;92
180.53;93
182.36;94
184.31;95
186.3;96
188.24;97
190.04;98
191.94;99
194.04;100
195.77;101
197.63;102
199.4825;103
201.46;104
203.29;105
205.33;106
207.2;107
209.05;108
210.98;109
212.82;110
214.78;111
216.65;112
218.5;113
220.4;114
222.25;115
224.12;116
226.07;117
227.98;118
229.85;119
231.765;120
233.7;121
235.58;122
237.59;123
239.48;124
241.51;125
243.5;126
245.535;127
247.68;128
249.6;129
251.59;130
253.56;131
255.66;132
257.68;133
259.62;134
261.59;135
263.64;136
265.57;137
267.6;138
269.4;139
271.51;140
273.34;141
275.27;142
277.0071428571;143
278.98;144
280.87;145
282.8;146
284.58;147
286.57;148
288.26;149
290.11;150
292.175;151
293.87;152
295.87;153
297.81;154
299.617460317;155
301.594666666;156
303.35;157
304.87;158
306.84;159
308.59;160
310.58;161
312.083673469;162
313.96;163
315.68;164
317.61;165
319.38;166
321.18;167
323.1;168
324.77;169
326.64;170
328.35;171
330.06;172
331.87;173
333.58;174
335.57;175
337.19;176
339.0209523807;177
340.77;178
342.56;179
344.32;180
346.1;181
347.89;182
349.77;183
351.52;184
353.1366666667;185
355.15;186
356.7061666665;187
358.51;188
360.22;189
362.09;190
363.83;191
365.57;192
367.26;193
369.03;194
370.86;195
372.55;196
374.47;197
376.24;198
378.14;199
379.74;200
381.6;201
383.45;202
385.14;203
386.85;204
388.91;205
390.5;206
392.15;207
393.94;208
395.75;209
397.57;210
399.31;211
401.235;212
402.93;213
404.64;214
406.31;215
408.05;216
409.72;217
411.03;218
412.38;219
413.77;220
415.115;221
416.47;222
417.84;223
419.125;224
420.45;225
421.72;226
423.1;227
424.47;228
425.73;229
427.1;230
428.4;231
429.69;232
431;233
432.45;234
433.69;235
434.86;236
436.11;237
437.445;238
438.66;239
440;240
441.25;241
442.54;242
443.79;243
445.06;244
446.32;245
447.63;246
448.76;247
450.22;248
451.49;249
452.53;250
453.85;251
455.23;252
456.81;253
458.69;254
460.46;255
461.97;256
463.8555555556;257
465.71;258
467.3833333333;259
468.98;260
470.65;261
472.41;262
474.0516666667;263
475.83;264
477.54;265
479.556;266
481.0234074073;267
482.44;268
484.09;269
485.51;270
487.08;271
488.67;272
490.28;273
492.02;274
493.7;275
495.26;276
496.89;277
498.33;278
500.21;279
501.91;280
503.59;281
505.07;282
506.69;283
508.23;284
509.71;285
511.39;286
512.97;287
514.57;288
516.25;289
517.93;290
519.57;291
521.18;292
522.76;293
524.32;294
526.13;295
527.62;296
529.23;297
530.6935;298
532.37;299
533.79;300
535.3;301
536.93;302
538.42;303
539.9;304
541.48;305
542.9572727273;306
544.6;307
546.26;308
548.1;309
549.79;310
551.3;311
552.93;312
554.59;313
556.2985714286;314
557.93;315
559.5766666667;316
561.29;317
562.9;318
564.96;319
566.81;320
568.67;321
570.56;322
572.33;323
574.21;324
575.92;325
577.87;326
579.63;327
581.58;328
583.62;329
585.2975;330
587.58;331
589.37;332
591.22;333
592.8;334
594.4;335
596.025;336
597.92;337
599.33;338
600.629333333;339
602.44;340
604.0033333333;341
605.65;342
607.15;343
608.77;344
610.25;345
611.81;346
613.4;347
615;348
616.54;349
618.1;350
619.61;351
621.096;352
622.6;353
624.07;354
625.68;355
627.36;356
628.98;357
630.72;358
632.56;359
634.04;360
635.765;361
637.63;362
639.6;363
641.14;364
643.1;365
644.83;366
646.73;367
648.56;368
650.22;369
651.9;370
653.71;371
655.57;372
657.42;373
659.24;374
661.54;375
663.72;376
665.87;377
667.84;378
670.46;379
672.29;380
674.28;381
677.32;382
679.81;383
682.28;384
685.58;385
688.485759637;386
690.87;387
693.98;388
696.829115646;389
699.58;390
702.1;391
705.11;392
707.98;393
710.9;394
713.4;395
716.39;396
718.84;397
721.53;398
724.07;399
726.71;400
729.23;401
731.58;402
734.31;403
736.54;404
739.36;405
742.04;406
744.64;407
747.41;408
750.5;409
752.586848072;410
754.37;411
756.37;412
758.3;413
760.22;414
762.18;415
764.62;416
766.3;417
768.03;418
769.73;419
771.38;420
773.24;421
775.05;422
776.96;423
778.555;424
780.35;425
782.51;426
783.91;427
785.59;428
787.04;429
788.6;430
790.05;431
791.65;432
793.25;433
794.93;434
796.51;435
798.54;436
801.13;437
803.25;438
804.9;439
806.56;440
808.53;441
810.41;442
812.43;443
814.35;444
816.38;445
818.22;446
820.084;447
822.01;448
824.14;449
825.79;450
827.58;451
829.15;452
831.02;453
832.89;454
834.68;455
836.52;456
838.34;457
840.27;458
842.12;459
844.3275;460
845.9333333333;461
848.1;462
849.9075;463
851.66;464
853.445;465
855.14;466
856.91;467
858.77;468
860.52;469
862.23;470
863.68;471
865.3;472
866.86;473
868.37;474
870.11;475
871.32;476
872.37;477
873.4;478
874.4;479
875.54;480
876.61;481
877.73;482
878.72;483
879.77;484
880.89;485
882.05;486
883.23;487
884.55;488
885.5775;489
887.3;490
888.470249433;491
889.69;492
891.13;493
892.31;494
893.78;495
895.41;496
896.52;497
897.95;498
899.14;499
900.48;500
901.72;501
903.18;502
904.53;503
905.8028571429;504
906.86;505
908.14;506
909.32;507
910.74;508
911.77;509
913.07;510
914.4;511
915.7;512
916.9;513
918.21;514
919.5;515
920.7375;516
921.94;517
923.49;518
924.92;519
925.99;520
927.3466666667;521
928.96;522
929.89;523
931.22;524
932.59;525
934.04;526
935.72;527
937.63;528
939.05;529
940.37;530
941.96;531
943.42;532
944.82;533
946.17;534
948.118730158;535
949.64;536
951.6;537
953.312653061;538
954.9;539
956.34;540
958.38;541
959.92;542
961.2;543
962.72;544
963.86;545
965.24;546
966.72;547
967.92;548
969.19;549
970.5;550
971.726666666;551
973.0866666667;552
974.45;553
975.64;554
976.92;555
978.2;556
979.5;557
980.724;558
