start;measure
0.733333333;0.888
1.162666666;1
2.954580498;2
4.710997732;3
6.414399092;4
8.250498866;5
10.05;6
11.811995464;7
13.579002267;8
15.2355;9
16.973;10
18.725;11
20.401995464;12
22.27;13
24.053990929;14
25.910997732;15
27.723;16
29.5464965985;17
31.415;18
33.12600907;19
34.904988662;20
36.761995464;21
38.632;22
40.459002267;23
42.2690022675;24
44.174;25
45.969002267;26
47.764988662;27
49.747;28
51.5775056685;29
53.45685714286;30
55.35;31
57.184;32
59.052;33
60.937006802;34
62.882;35
64.661;36
66.701;37
68.629;38
70.47;39
72.387;40
74.291995464;41
76.286;42
78.19;43
80.05600907;44
82.04201814;45
84.033990929;46
86.061972788;47
88.060997732;48
90.130997732;49
92.04585034;50
94.00600907;51
96.08;52
98.11;53
100.24;54
102.32;55
104.58;56
106.63;57
108.86;58
110.79;59
112.98;60
115.01;61
117.02;62
119.07;63
121.07;64
123.12;65
125.17;66
127.28;67
129.34;68
131.35;69
133.28;70
135.29;71
137.4;72
139.35;73
141.44;74
143.43;75
145.273786848;76
147.36;77
149.16;78
150.93;79
152.82;80
154.77;81
156.91;82
158.8;83
160.83;84
162.88;85
164.91;86
166.92;87
169.03;88
171.12;89
173.35;90
175.38;91
177.53;92
179.53;93
181.58;94
183.47;95
185.57;96
187.7;97
189.77;98
191.77;99
193.74;100
195.73;101
197.65;102
199.62;103
201.63;104
203.57;105
205.51;106
207.4;107
209.35;108
211.26;109
213.1;110
215.07;111
217.01;112
218.84;113
220.82;114
222.81;115
224.66;116
226.64;117
228.7;118
230.58;119
232.32;120
234.52;121
236.57;122
238.57;123
240.49;124
242.57;125
244.71;126
246.66;127
248.82;128
250.75;129
252.7;130
254.68;131
256.77;132
258.78;133
260.8;134
262.83;135
264.82;136
266.78;137
268.81;138
270.66;139
272.8266666667;140
274.82;141
276.81;142
278.83;143
280.86;144
282.79;145
284.92;146
286.94;147
288.99;148
291.03;149
293.15;150
295.26;151
297.21;152
299.28;153
301.32;154
303.277460317;155
305.334666666;156
306.97;157
308.59;158
310.54;159
312.17;160
314.01;161
315.67;162
317.64;163
319.64;164
321.43;165
323.22;166
325.15;167
326.9777777778;168
328.33;169
330.8;170
332.71;171
334.49;172
336.44;173
338.28;174
340.21;175
342.13;176
343.975714284;177
345.92;178
347.7;179
349.74;180
351.69;181
353.65;182
355.65;183
357.4933333333;184
359.19;185
361.1;186
362.854666666;187
364.87;188
366.64;189
368.67;190
370.59;191
372.41;192
374.24;193
376.13;194
378.08;195
379.97;196
381.91;197
383.88;198
385.8;199
387.76;200
389.72;201
391.65;202
393.6;203
395.55;204
397.83;205
399.47;206
401.35;207
403.2666666667;208
405.11;209
406.93;210
408.92;211
410.77;212
412.9;213
414.9;214
416.84;215
418.315;216
420.25;217
421.65;218
423;219
424.33;220
425.62;221
426.84;222
428.14;223
429.43;224
430.68;225
431.96;226
433.21;227
434.55;228
435.75;229
437.02;230
438.32;231
439.51;232
440.72;233
442.07;234
443.24;235
444.54;236
445.7;237
446.96;238
448.08;239
449.3325;240
450.64;241
451.86;242
453.16;243
454.33;244
455.615;245
456.93;246
458.16;247
459.5;248
460.72;249
461.96;250
463.31;251
464.82;252
466.3933333333;253
468.27;254
470.12;255
472.05;256
473.76;257
475.71;258
477.3633333333;259
479.06;260
480.83;261
482.5;262
484.58;263
486.23;264
488.07;265
489.49;266
491.390666666;267
493.01;268
494.55;269
495.91;270
497.62;271
499.09;272
501.04;273
502.94;274
504.76;275
506.51;276
508.25;277
509.73;278
511.83;279
513.69;280
515.4;281
517.25;282
519.01;283
520.69;284
522.595;285
524.33;286
526.03;287
527.89;288
529.85;289
531.52;290
533.33;291
535;292
536.75;293
538.675;294
540.62;295
542.36;296
544.07;297
545.8;298
547.43;299
549.07;300
550.83;301
552.58;302
554.31;303
556.12;304
557.82;305
559.64;306
561.36;307
563.36;308
565.67;309
567.44;310
569.23;311
570.97;312
572.75;313
574.58;314
576.33;315
578.23;316
580.11;317
582.02;318
584.2;319
586.23;320
588.28;321
590.36;322
592.3;323
594.51;324
596.6;325
598.55;326
600.97;327
602.88;328
605.26;329
607.48;330
610.22;331
612.59;332
614.63;333
616.6;334
618.52;335
620.63;336
622.41;337
624.45;338
626.489333333;339
628.36;340
629.97;341
631.98;342
633.88;343
635.87;344
637.63;345
639.36;346
641.24;347
643.1;348
645;349
646.68;350
648.7;351
650.41;352
652.13;353
654.21;354
655.84;355
657.84;356
659.8;357
661.85;358
663.94;359
665.92;360
667.85;361
669.97;362
671.88;363
673.66;364
675.505;365
676.61;366
679.05;367
680.96;368
682.84;369
684.78;370
686.59;371
688.66;372
690.56;373
692.59;374
694.81;375
697.28;376
699.79;377
701.96;378
705.38;379
707.49;380
709.7;381
712.99;382
715.1;383
718;384
721.938185941;385
724.32;386
726.8154444443;387
730.056;388
732.988231292;389
735.54;390
738.32;391
741.55;392
744.39;393
747.09;394
749.66;395
753.05;396
755.75;397
758.23;398
760.62;399
763.43;400
765.91;401
768.44;402
771.23;403
774.1;404
776.91;405
780.24;406
783.14;407
786.78;408
790.09;409
792.46;410
794.61;411
796.36;412
798.51125;413
800.47;414
802.38;415
804.92;416
806.82;417
808.52;418
810.23;419
812.18;420
814.085;421
815.96;422
818.25;423
819.88;424
821.67;425
823.69;426
825.39;427
827.04;428
828.96;429
830.96;430
832.61;431
834.32;432
836.17;433
838.02;434
839.76;435
841.84;436
843.545;437
845.61;438
847.3;439
849.06;440
851.05;441
853.01;442
855.09;443
856.95;444
859;445
860.971972789;446
863.125986394;447
865.41;448
867.27;449
869.1233333333;450
871.16;451
872.86;452
874.92;453
876.97;454
879.19;455
881.22;456
883.48;457
885.68;458
887.96;459
890.103219954;460
892.24;461
894.54;462
896.7;463
898.81;464
900.63;465
902.46;466
904.268;467
906.11;468
908.2;469
910.05;470
911.52;471
913.42;472
915.16;473
917.16;474
918.77;475
920.04;476
921.27;477
922.34;478
923.44;479
924.54;480
925.56;481
926.795;482
927.84;483
928.97;484
930.01;485
931.21;486
932.2;487
933.71;488
935.06;489
936.88;490
938.14;491
939.058;492
940.43;493
941.26;494
942.785;495
944.11;496
945.35;497
946.65;498
948;499
949.185;500
950.32;501
951.66;502
952.83;503
954.04;504
955.25;505
956.56;506
957.64;507
958.94;508
960.11;509
961.36;510
962.1844444445;511
963.48;512
964.78;513
966.07;514
967.27;515
968.49;516
969.56;517
970.99;518
972.135;519
973.51;520
975;521
976.248;522
977.64;523
979.18;524
981.04;525
982.52;526
