start;measure
1.423605442;0.888
1.660204081;1
3.502290249;2
5.470997732;3
7.287891156;4
9.050498866;5
10.955011337;6
12.851995464;7
14.69600907;8
16.55600907;9
18.459002267;10
20.28;11
22.101995464;12
23.91600907;13
25.793990929;14
27.597006802;15
29.440997732;16
31.271995464;17
33.072993197;18
34.869002267;19
36.679002267;20
38.483990929;21
40.31600907;22
42.099002267;23
43.917006802;24
45.755011337;25
47.553990929;26
49.331995464;27
51.134988662;28
53.028004535;29
54.873990929;30
56.73;31
58.62;32
60.457006802;33
62.338004535;34
64.253990929;35
66.125011337;36
67.990997732;37
69.958004535;38
71.961995464;39
73.954988662;40
75.881995464;41
77.797006802;42
79.732993197;43
81.679002267;44
83.61600907;45
85.52;46
87.452993197;47
89.300997732;48
91.18600907;49
93.057006802;50
94.94600907;51
96.858004535;52
98.667006802;53
100.61;54
102.66;55
104.64;56
106.43;57
108.3;58
110.11;59
112.12;60
114.03;61
115.98;62
117.88;63
119.81;64
121.8;65
123.74;66
125.62;67
127.55;68
129.44;69
131.38;70
133.31;71
135.19;72
137.07;73
139.01;74
140.88;75
142.82;76
144.7;77
146.47;78
148.19;79
149.96;80
151.73;81
153.63;82
155.51;83
157.37;84
159.17;85
161.22;86
163.01;87
164.91;88
166.76;89
168.72;90
170.5;91
172.33;92
174.25;93
176.12;94
178.01;95
179.95;96
181.72;97
183.73;98
185.52;99
187.38;100
189.17;101
191.03;102
192.92;103
194.83;104
196.73;105
198.59;106
200.46;107
202.36;108
204.22;109
206.06;110
207.92;111
209.82;112
211.64;113
213.56;114
215.43;115
217.37;116
219.22;117
221.13;118
223.02;119
224.87;120
226.79;121
228.74;122
230.66;123
232.62;124
234.71;125
236.78;126
238.88;127
240.97;128
243.04;129
245.07;130
247.07;131
249.18;132
251.26;133
253.34;134
255.38;135
257.4;136
259.44;137
261.51;138
263.5;139
265.4;140
267.35;141
269.23;142
271.05;143
272.9;144
274.83;145
276.79;146
278.56;147
280.59;148
282.48;149
284.39;150
286.32;151
288.23;152
290.12;153
291.99;154
293.78;155
295.58;156
297.33;157
298.99;158
300.87;159
302.7;160
304.54;161
306.33;162
308.14;163
310.04;164
311.95;165
313.67;166
315.53;167
317.34;168
319.19;169
321;170
322.81;171
324.63;172
326.51;173
328.25;174
330.05;175
331.86;176
333.71;177
335.51;178
337.28;179
339.12;180
340.96;181
342.81;182
344.71;183
346.46;184
348.15;185
350.06;186
351.72;187
353.55;188
355.27;189
357.15;190
358.93;191
360.77;192
362.5;193
364.31;194
366.08;195
367.87;196
369.68;197
371.48;198
373.33;199
375.15;200
376.98;201
378.77;202
380.52;203
382.29;204
384.13;205
385.8;206
387.61;207
389.52;208
391.35;209
393.15;210
394.9;211
396.71;212
398.63;213
400.48;214
402.31;215
404;216
405.68;217
406.97;218
408.3;219
409.64;220
410.98;221
412.28;222
413.58;223
414.93;224
416.18;225
417.52;226
418.83;227
420.17;228
421.47;229
422.74;230
424.03;231
425.33;232
426.62;233
427.91;234
429.18;235
430.36;236
431.57;237
432.82;238
434.06;239
435.43;240
436.73;241
437.94;242
439.26;243
440.56;244
441.86;245
443.25;246
444.48;247
445.82;248
447.1;249
448.37;250
449.67;251
451.04;252
452.41;253
454.17;254
455.9;255
457.64;256
459.24;257
460.87;258
462.55;259
464.22;260
465.88;261
467.57;262
469.1;263
470.68;264
472.19;265
473.71;266
475.19;267
476.63;268
478.05;269
479.47;270
480.99;271
482.58;272
484.35;273
486.04;274
487.62;275
489.18;276
490.68;277
492.32;278
494.7;279
496.46;280
498.21;281
499.69;282
501.29;283
502.85;284
504.38;285
505.97;286
507.49;287
509.17;288
510.69;289
512.39;290
514.05;291
515.73;292
517.4;293
518.98;294
520.77;295
522.38;296
524.02;297
525.58;298
527.09;299
528.67;300
530.25;301
531.9;302
533.54;303
535.12;304
536.6;305
538.16;306
539.74;307
541.6;308
543.71;309
545.37;310
547.07;311
548.76;312
550.53;313
552.27;314
553.99;315
555.77;316
557.59;317
559.37;318
561.5;319
563.5;320
565.59;321
567.64;322
569.67;323
571.62;324
573.46;325
575.31;326
576.93;327
578.72;328
580.6;329
582.82;330
585.33;331
587.19;332
588.98;333
590.78;334
592.47;335
594.3;336
595.99;337
597.66;338
599.48;339
601.36;340
603.07;341
604.84;342
606.61;343
608.29;344
609.9;345
611.6;346
613.25;347
614.94;348
616.73;349
618.4;350
620.09;351
621.77;352
623.44;353
625.1;354
626.88;355
628.56;356
630.32;357
632.25;358
634.04;359
