start;measure
0.613333333;0.888
0.962666666;1
2.62340136;2
4.302104166;3
6.002548611;4
7.684988662;5
9.464;6
11.14266817833;7
12.991;8
14.761;9
16.553;10
18.265;11
20.165;12
21.73;13
23.44600907;14
25.217006802;15
26.983;16
28.756;17
30.53600907;18
32.34600907;19
34.064988662;20
35.781995464;21
37.55600907;22
39.469;23
41.24266817833;24
42.902;25
44.606;26
46.291995464;27
48.027;28
49.728004535;29
51.473990929;30
53.25;31
54.990997732;32
56.752;33
58.533;34
60.262;35
62.025011337;36
63.781;37
65.54966666667;38
67.307006802;39
69.174988662;40
71.023;41
72.753990929;42
74.523004535;43
76.363004535;44
78.158004535;45
79.832;46
81.69;47
83.378004535;48
85.151995464;49
86.88585034;50
88.66;51
90.38;52
91.84;53
93.79;54
95.9;55
97.92;56
99.81;57
101.5675;58
103.29;59
105.2525;60
107.11;61
108.965;62
110.8033333333;63
112.68;64
114.56;65
116.32;66
118.1;67
119.91;68
121.75;69
123.46;70
125.3266666667;71
127.14;72
128.87;73
130.67;74
132.54;75
134.36;76
136.2;77
137.78;78
139.49;79
141.18;80
143.07;81
145.02;82
146.84;83
148.67;84
150.5;85
152.37;86
154.27;87
156.2766666667;88
158.26;89
160.1;90
161.94;91
163.75;92
165.54;93
167.26;94
169.07;95
170.84;96
172.7;97
174.51;98
176.2;99
178.26;100
179.83;101
181.61;102
183.38;103
185.21;104
187.07;105
188.89;106
190.63;107
192.43;108
194.26;109
196.03;110
197.8;111
199.63;112
201.32;113
203.12;114
204.91;115
206.6;116
208.55;117
210.34;118
212.05;119
213.86;120
215.64;121
217.53;122
219.22;123
221.16;124
223.035;125
225.09;126
226.99;127
229.01;128
230.97;129
232.89;130
234.76;131
236.765;132
238.64;133
240.54;134
242.445;135
244.37;136
246.19;137
248.14;138
250;139
251.95;140
253.79;141
255.61;142
257.31;143
259.18;144
261.02;145
262.935;146
264.6;147
266.39;148
268.44;149
270.37;150
272.58;151
274.73;152
276.43;153
278.39;154
280.06;155
281.832;156
284.03;157
285.53;158
287.44;159
289.18;160
290.94;161
292.543673469;162
294.26;163
296.06;164
297.76;165
299.42;166
301.28;167
302.96;168
304.57;169
306.375;170
308.19;171
309.92;172
311.63;173
313.38;174
315.07;175
316.84;176
318.65;177
320.35;178
322.06;179
323.7066666667;180
325.4925;181
327.34;182
328.99;183
330.76;184
332.6;185
334.28;186
335.914666666;187
337.77;188
339.52;189
341.21;190
343.09;191
344.81;192
346.6;193
348.27;194
350.04;195
351.83;196
353.61;197
355.37;198
357.145;199
358.78;200
360.74;201
362.49;202
364.18;203
365.95;204
367.67;205
369.28;206
370.99;207
372.5890909091;208
374.39;209
376.07;210
377.65;211
379.37;212
381.21;213
382.87;214
384.59;215
386.39;216
387.58;217
388.81;218
389.99;219
391.29;220
392.48;221
393.635;222
394.86;223
396.13;224
397.3233333333;225
398.58;226
399.73;227
400.99;228
402.15;229
403.42;230
404.68;231
405.87;232
407.04;233
408.33;234
409.61;235
410.58;236
411.875;237
413.06;238
414.22;239
415.42;240
416.68;241
417.815;242
419.01;243
420.21;244
421.56;245
422.68;246
423.91;247
425.275;248
426.26;249
427.38;250
428.73;251
430.02;252
431.23;253
432.82;254
434.52;255
435.65;256
437.74;257
439.55;258
440.65;259
442.44;260
443.91;261
445.41;262
446.74;263
448.5;264
450.2;265
451.77;266
453.22;267
454.69;268
456.11;269
457.55;270
458.94;271
460.39;272
462.21;273
463.86;274
465.36;275
466.995;276
468.51;277
470;278
471.95;279
473.65;280
475.22;281
476.77;282
478.41;283
479.8766666667;284
481.5;285
482.88;286
484.61;287
486.25;288
488.09;289
489.78;290
491.45;291
493.16;292
494.88;293
496.509977324;294
498.57;295
500.16;296
501.74;297
503.42;298
505.07;299
506.55;300
508.11;301
509.72;302
511.39;303
512.92;304
514.58;305
516.06;306
517.62;307
519.38;308
521.77;309
523.64;310
525.47;311
527.22;312
528.81;313
530.75;314
532.59;315
534.35;316
536.27;317
538.23;318
540.34;319
542.29;320
544.03;321
546.16;322
548.05;323
550.07;324
552.02;325
553.71;326
555.45;327
557.32;328
559.295;329
561.38;330
563.5625;331
565.37;332
567.2066666667;333
568.87;334
570.62;335
572.19;336
574.04;337
575.63;338
577.41;339
579.04;340
580.83;341
582.38;342
584.1;343
585.79;344
587.4133333333;345
589.09;346
590.72;347
592.34;348
594.06;349
595.76;350
597.39;351
599.11;352
600.7;353
602.71;354
604.36;355
606.16;356
607.86;357
609.6025;358
611.4;359
613.12;360
614.84;361
616.8;362
618.6;363
620.32;364
622.08;365
623.99;366
625.97;367
627.76;368
629.6;369
631.36;370
633.11;371
634.97;372
636.57;373
638.51;374
640.59;375
642.76;376
644.99;377
646.94;378
649.96;379
651.85;380
653.89;381
657;382
660.48;383
664.4545389267;384
668.938185941;385
671.68;386
675.162666666;387
679.06;388
682.929115646;389
686;390
688.915147392;391
691.85;392
694.43;393
696.94;394
699.2;395
701.73;396
703.92;397
706.75;398
709.18;399
711.6;400
713.89;401
716.06;402
718.26;403
720.56;404
722.72;405
725.38;406
727.856689342;407
730.48;408
733.91;409
735.94;410
737.97;411
739.87;412
741.98;413
743.72;414
745.68;415
747.82;416
749.6;417
751.35;418
753.21;419
755.09;420
757.1;421
758.81;422
760.74;423
762.47;424
764.33;425
766.19;426
767.77;427
769.53;428
771.03;429
772.65;430
774.25;431
775.89;432
777.59;433
779.31;434
780.91;435
782.87;436
785.97;437
787.71;438
789.52;439
791.34;440
793.27;441
795.11;442
797.1;443
799.01;444
801.02;445
802.971972789;446
804.87;447
806.89;448
808.7533333333;449
810.49;450
812.38;451
813.83;452
815.56;453
817.3;454
819.18;455
821.064;456
822.9;457
824.705;458
826.46;459
828.3277399847;460
830.12;461
832.16;462
833.97;463
835.6733333333;464
837.55;465
839.154;466
841.0666666667;467
842.79;468
844.52;469
846.37;470
847.88;471
849.56;472
851.18;473
853.14;474
854.59;475
855.735464852;476
856.81;477
857.8;478
858.84;479
859.98;480
861.13;481
862.32;482
863.4525;483
864.53;484
865.67;485
866.68;486
867.86;487
869;488
870.18;489
871.58;490
872.550249433;491
873.73;492
875.03;493
876.32;494
877.37;495
878.75;496
880.09;497
881.31;498
882.51;499
883.78;500
884.9;501
886.229342403;502
887.57;503
888.74;504
889.98;505
891.24;506
892.36;507
893.63;508
894.94;509
896.16;510
897.26;511
898.54;512
899.68;513
900.82;514
902.06;515
903.37;516
904.4;517
905.95;518
907.068;519
908.17;520
909.54;521
910.57;522
911.94;523
913.24;524
914.31;525
915.98;526
917.34;527
919.21;528
920.53;529
921.93;530
923.48;531
924.88;532
925.96;533
927.32;534
929.34;535
932.44;536
935.4;537
937.31;538
939.22;539
941.7066666667;540
944.66;541
946.5;542
948.08;543
949.89;544
951.28;545
952.578666666;546
953.9;547
955.12;548
956.32;549
957.714666666;550
959.034074074;551
960.42;552
961.48;553
962.885;554
964.12;555
965.36;556
966.68;557
967.96;558
969.365;559
970.9;560
972.85;561
974.125;562
975.5;563
976.74;564
978.3;565
979.62;566
981.04;567
982.18;568
983.32;569
984.76;570
985.76;571
987.34;572
988.66;573
990.02;574
991.32;575
992.68;576
993.96;577
995.34;578
996.638684807;579
997.92;580
999.42;581
1000.64;582
1001.94;583
1003.3;584
1004.5;585
1005.78;586
1007.24;587
1008.44;588
1009.701666667;589
1011;590
1012.2;591
1013.52;592
1014.712266667;593
1015.96;594
1017.181405895;595
1018.381224489;596
1019.64;597
1020.8;598
1021.985;599
1023.22;600
1024.18;601
1025.397333333;602
1027.24;603
1028.79;604
1030.28;605
1031.88;606
1033.42;607
1034.9;608
1036.34;609
1037.88;610
1039.44;611
1040.88;612
1042.54;613
1043.88;614
1045.350666666;615
1046.86;616
1048.4;617
1049.96;618
1051.44;619
1052.92;620
1054.5;621
1056;622
1057.48;623
1059.08;624
1060.75;625
1062.3;626
1063.76;627
1065.3;628
1067;629
1068.48;630
1069.955;631
1071.46;632
1073.32;633
1075.18;634
1077.24;635
1078.88;636
1080.74;637
1082.48;638
1084.38;639
1085.88;640
1087.555;641
1089.4;642
1091.048;643
1092.586666667;644
1094.48;645
1096.125454545;646
1098.04;647
1100.02;648
1101.48;649
1103.5;650
1104.948333333;651
1107.11;652
1108.745;653
1110.44;654
1112.02;655
1113.66;656
1115.26;657
1116.68;658
1118.354421769;659
1119.96;660
1121.54;661
1123.68;662
1125.6;663
1127.8;664
1129.648;665
1131.56;666
1133.86;667
1135.58;668
1138.2;669
1139.88;670
1141.88;671
1143.833333333;672
1145.94;673
1147.96;674
1150.42;675
1152.32;676
1154.32;677
1156.14;678
1158.24;679
1160.14;680
1162.48;681
1164.5;682
1166.72;683
1168.52;684
1170.835;685
1172.64;686
1174.44;687
1176.5;688
1178.4;689
1180.44;690
1182.1;691
1183.915;692
1185.8;693
1187.64;694
1189.58;695
1191.7;696
1193.96;697
1196.38;698
1198.64;699
1201.032653061;700
1202.92;701
1204.62;702
1206.405;703
1208.5;704
1210.615;705
1212.46;706
1214.62;707
1216.76;708
1219.04;709
1221.3;710
1223.44;711
1225.44;712
1227.68;713
1229.66;714
1231.88;715
1234.34;716
1236.7;717
1238.9;718
1241.1;719
1244.64;720
1246.12;721
1248.3;722
1250.74;723
1253.14;724
1255.6;725
1258.2;726
1260.44;727
1264.16;728
1267.4;729
1273.075;730
1277.56;731
1281.54;732
1284.8;733
1286.9;734
1288.82;735
1290.78;736
1292.68;737
1294.58;738
1296.58;739
1298.3;740
1299.78;741
1301.6;742
1303.46;743
1305.04;744
1307.08;745
1308.76;746
1310.42;747
1312.275;748
1313.9025;749
1315.8;750
1317.78;751
1319.4;752
1321.16;753
1323.02;754
1324.82;755
1326.6;756
1328.36;757
1330.02;758
1331.82;759
1333.74;760
1335.54;761
1337.42;762
1339.22;763
1340.953333333;764
1342.94;765
1344.670068027;766
1346.44;767
1348.2;768
1350.34;769
1351.88;770
1353.905185185;771
1355.72;772
1357.7;773
1359.34;774
1361.18;775
1362.98;776
1365.06;777
1366.98;778
1368.98;779
1370.64;780
1372.5;781
1374.46;782
1376.54;783
1378.84;784
1381.9;785
1384.08;786
1385.74;787
1387.568571429;788
1389.46;789
1391.62;790
1393.355;791
1395.36;792
1397.58;793
1399.38;794
1401.34;795
1403.12;796
1404.98;797
1406.5;798
1408.6;799
1410.383673469;800
1412.2;801
1413.98;802
1415.98;803
1417.76;804
1419.78;805
1421.98;806
1423.64;807
1425.8;808
1427.491666667;809
1429.16;810
1430.98;811
1433.12;812
1434.7;813
1436.63;814
1438.46;815
1440.633333333;816
1442.3;817
1443.98;818
1445.8;819
1447.78;820
1449.58;821
1451.44;822
1453.233968253;823
1455.12;824
1456.86;825
1458.96;826
1460.9;827
1462.66;828
1464.34;829
1466.36;830
1468.18;831
1470.34;832
1472.14;833
1473.78;834
1475.52;835
1477.18;836
1478.92;837
1480.44;838
1482.14;839
1483.72;840
1485.5;841
1487.14;842
1488.826666667;843
1490.5;844
1492.12;845
1493.68;846
1495.16;847
1496.72;848
1498.2;849
1499.893333333;850
1501.62;851
1503.817777778;852
1505.805;853
1507.72;854
1509.9;855
1512.98;856
1514.54;857
1516.178666666;858
1517.82;859
1519.26;860
1520.88;861
1522.5;862
1524.045;863
1525.72;864
1527.2;865
1528.8;866
1530.28;867
1531.8;868
1533.44;869
1534.825;870
1536.454376417;871
1538.04;872
1539.64;873
1541.28;874
1542.84;875
1544.4;876
1545.92;877
1547.54;878
1549.12;879
1550.68;880
1552.36;881
1554.16;882
1555.44;883
1557.1;884
1558.54;885
1560.32;886
1561.86;887
1563.3;888
1564.82;889
1566.5;890
1568.02;891
1569.56;892
1571.13;893
1572.96;894
1574.46;895
1576.1;896
1577.8;897
1579.595;898
1581.1;899
1582.56;900
1584.26;901
1586.18;902
1587.76;903
1589.62;904
1591.36;905
1593.22;906
1595.24;907
1597.48;908
1600.532;909
1602.42;910
1604.38;911
1606.1;912
1608;913
1609.69;914
1611.74;915
1613.52;916
1615.3;917
1616.745;918
1618.34;919
1620.04;920
1621.56;921
1623.16;922
1624.84;923
1626.52;924
1628.2;925
1629.76;926
1631.49;927
1633.06;928
1634.7;929
1636.36;930
1638.22;931
1639.94;932
1641.58;933
1643.22;934
1644.86;935
1646.72;936
1650.88;937
1652.66;938
1654.4;939
1656.12;940
1657.76;941
1659.2;942
1660.9;943
1662.58;944
1664.26;945
1665.94;946
1667.52;947
1669.22;948
1670.946666667;949
1672.44;950
1674.14;951
1675.78;952
1677.58;953
1679.26;954
1680.88;955
1682.601333333;956
1684.146666666;957
1685.98;958
1687.64;959
1689.44;960
1691.16;961
1692.7675;962
1694.28;963
1696.42;964
1698.175;965
1700.14;966
1701.74;967
1703.864217687;968
1705.86;969
1708.04;970
1710.38;971
1712.8;972
1714.9675;973
1717.24;974
1719.68;975
1722.12;976
1724.52;977
1726.905;978
1729.66;979
1732.6;980
1735.327970522;981
1738.665;982
1741.14;983
1744.82;984
1747.92;985
1751.98;986
1755.28;987
1759.06;988
1762.28;989
1765.44;990
1768.8;991
1772.24;992
1775.895;993
1779.2;994
1782.2025;995
1785.86;996
1789.42;997
1792.92;998
1796.72;999
1801.36;1000
1805.62;1001
1809.1975;1002
1812.62;1003
1816.44952381;1004
1819.44;1005
1822.281;1006
1825;1007
1829.08;1008
1832.9;1009
1836.78;1010
1840.26;1011
1844.84;1012
1848.52;1013
1851.626666667;1014
1854.84;1015
1858.58;1016
1862.06;1017
1865.76;1018
1869.6;1019
1872.64;1020
1875.88;1021
1878.48;1022
1881.615;1023
1884.88;1024
1887.60875;1025
1890.84;1026
1893.94;1027
1896.98;1028
1900.18;1029
1903.36;1030
1906.58;1031
1909.8;1032
1912.865306122;1033
1915.8;1034
1918.52;1035
1921.7;1036
1925.16;1037
1927.98;1038
1931.23755102;1039
1934.3;1040
1937.2;1041
1939.98;1042
1942.56;1043
1944.66;1044
1947.535;1045
1951.08;1046
1955.12;1047
1957.996;1048
1961.08;1049
1963.66;1050
1966.06;1051
1968.54;1052
1971.16;1053
1973.24;1054
1975.44;1055
1977.6;1056
1979.76;1057
1981.85;1058
1983.9;1059
1985.98;1060
1987.94;1061
1989.745;1062
1991.913333333;1063
1993.72;1064
1995.72;1065
1997.72;1066
1999.764;1067
2001.684081632;1068
2003.52;1069
2005.54;1070
2007.618333333;1071
2009.806666667;1072
2011.92;1073
2014.08;1074
2016.18;1075
2018;1076
2020.24;1077
2022.2;1078
2024.58;1079
2026.861;1080
2029.828;1081
2032.06;1082
2034.98;1083
2038.4;1084
2041.903906705;1085
2045.34;1086
2048.2;1087
2051.42;1088
2053.98;1089
2056.72;1090
2059.26;1091
2061.72;1092
2065.5;1093
2071.32;1094
2074.364;1095
2076.72;1096
2079;1097
2080.94;1098
2083.12;1099
2085.02;1100
2087.12;1101
2089.18;1102
2091.28;1103
2093.12;1104
2095.24;1105
2097.62;1106
2100.06;1107
2102.36;1108
2103.92;1109
2105.9;1110
2107.650612244;1111
2109.56;1112
2111.4;1113
2113.225;1114
2115.32;1115
2117.34;1116
2119.051836734;1117
2120.968;1118
2122.72;1119
2124.7;1120
2126.3;1121
2128.24;1122
2130.11;1123
2132.1;1124
2133.92;1125
2135.7;1126
2137.5;1127
2139.6;1128
2142.02;1129
2143.55;1130
2145.52;1131
2147.44;1132
2149.24;1133
2150.96;1134
2152.82;1135
2154.84;1136
2156.64;1137
2158.6;1138
2160.44;1139
2162.415;1140
2164.32;1141
2166.18;1142
2168.173333333;1143
2170.17;1144
2171.86;1145
2173.64;1146
2175.52;1147
2177.702448979;1148
2179.56;1149
2181.26;1150
2183.52;1151
2185.4;1152
2187.385;1153
2189.3;1154
2191.06;1155
2193.26;1156
2194.78;1157
2197.449387755;1158
2199.5;1159
2201.66;1160
2204.08;1161
2206.02;1162
2208.64;1163
2211.66;1164
2214.02;1165
2216.46;1166
2218.68;1167
2221.398666666;1168
2223.4;1169
2225.46;1170
2227.52;1171
2229.4;1172
2231.64;1173
2233.68;1174
2235.48;1175
2237.34;1176
2239.573333333;1177
2241.3;1178
2243.191428571;1179
2245.1;1180
2247;1181
2249.24;1182
2251.801666667;1183
2255.08;1184
2258.14;1185
2262.16;1186
2265.74;1187
2268.234333333;1188
2271.8;1189
2274.96;1190
2278.12;1191
2280.98;1192
2284.18;1193
2287.2;1194
2289.82;1195
2293.64;1196
2296.66;1197
2299.186666667;1198
2301.98;1199
2305.82;1200
2309.72;1201
2314.04;1202
2316.505444444;1203
2318.46;1204
2320.31;1205
2322.105;1206
2323.98;1207
2325.8475;1208
2327.599953618;1209
2329.54;1210
2331.33510204;1211
2333.106666666;1212
2334.96;1213
2336.8;1214
2338.6325;1215
2340.3;1216
2342.1;1217
2343.84;1218
2345.505;1219
2347.72;1220
2349.98;1221
2352.6;1222
2354.62;1223
2356.66;1224
2358.32;1225
2360;1226
2361.94;1227
2363.68;1228
2365.56;1229
2367.44;1230
2369.12;1231
2370.8;1232
2372.60125;1233
2374.1075;1234
2375.7;1235
2377.314666666;1236
2378.776;1237
2381.84;1238
2384.969444444;1239
2387.76;1240
2390.90875;1241
2394.82;1242
2399.04;1243
2403.58;1244
2408.86;1245
2412.6;1246
2416.28;1247
2420.3;1248
2425.26;1249
2428.72;1250
2432.3;1251
2435.3;1252
2439.04;1253
2442.3;1254
2446.16;1255
2449.4;1256
2453.32;1257
2457.02;1258
2460.75;1259
2464.26;1260
2468.02;1261
2472.58;1262
2476.66;1263
2478.98;1264
2481.1;1265
2483.268333333;1266
2485.52;1267
2487.7;1268
2490.42;1269
2492.72;1270
2495.82;1271
2498.34;1272
2500.78;1273
2503.132591218;1274
2505.38;1275
2507.46;1276
2509.44;1277
2511.56;1278
2513.5;1279
2516.84;1280
2519.42;1281
2521.906666667;1282
2523.9;1283
2525.86;1284
2527.805;1285
2530.584266667;1286
2534.2;1287
2537.74;1288
2541.64;1289
2545.38;1290
2549.08;1291
2552.72;1292
2556.14;1293
2560.013061224;1294
2565.12;1295
2569.34;1296
2574.02;1297
2577.22;1298
2581.18;1299
2585.44;1300
2588.795;1301
2592.611836734;1302
2596.18;1303
2599.8;1304
2603.412;1305
2606.98;1306
2610.52;1307
2614.973333333;1308
2618.67010204;1309
2622;1310
2624.895;1311
2627.72;1312
2630.14;1313
2632.72;1314
2634.9;1315
2637.06;1316
2639.48;1317
2642.02;1318
2644.62;1319
2647.72;1320
2650.413333333;1321
2652.86;1322
2655.44;1323
2658.92;1324
2662.78;1325
2665.94;1326
2669.7;1327
2672.66;1328
2675.92;1329
2679.46;1330
2682.7;1331
2685.94;1332
2688.54;1333
2690.78;1334
2693.02;1335
2695.1;1336
2697.12;1337
2699.18;1338
2701.022947845;1339
2702.8;1340
2705.1;1341
2707.62;1342
2710.14;1343
2712.56;1344
2715.36;1345
2717.5;1346
2719.68;1347
2722.005;1348
2724.2;1349
2726.64;1350
2729;1351
2731.24;1352
2733.5;1353
2735.86;1354
2738.086666667;1355
2740.27664399;1356
2742.6;1357
2744.7;1358
2746.94;1359
2749.145;1360
2751.36;1361
2753.46;1362
2755.5;1363
2757.64;1364
2759.94;1365
2761.825;1366
