start;measure
2.552108843;0.888
2.884693877;1
4.90340136;2
6.774195011;3
8.654399092;4
10.484988662;5
12.37;6
14.268004535;7
16.159002267;8
18.028004535;9
19.96;10
21.827006802;11
23.739002267;12
25.613990929;13
27.52600907;14
29.470997732;15
31.349002267;16
33.262993197;17
35.13600907;18
37.02600907;19
38.924988662;20
40.841995464;21
42.760997732;22
44.737006802;23
46.588004535;24
48.48;25
50.349002267;26
52.164988662;27
54.159002267;28
56.085011337;29
57.990997732;30
59.895011337;31
61.810997732;32
63.73;33
65.617006802;34
67.519002267;35
69.563990929;36
71.42;37
73.389002267;38
75.327006802;39
77.281995464;40
79.271995464;41
81.313990929;42
83.27600907;43
85.25600907;44
87.258004535;45
89.213990929;46
91.29;47
93.238004535;48
95.131995464;49
97.10585034;50
99.068004535;51
101;52
102.99;53
105.16;54
107.438730158;55
109.69;56
111.97;57
114.06;58
116.11;59
118.17;60
120.19;61
122.24;62
124.27;63
126.34;64
128.34;65
130.35;66
132.36;67
134.36;68
136.31;69
138.29;70
140.27;71
142.27;72
144.23;73
146.21;74
148.25;75
150.093786848;76
152.01;77
154.12;78
156.1;79
158.02;80
159.87;81
161.74;82
163.62;83
165.47;84
167.36;85
169.33;86
171.33;87
173.35;88
175.36;89
177.33;90
179.26;91
181.09;92
182.96;93
184.84;94
186.65;95
188.71;96
190.72;97
192.65;98
194.49;99
196.56;100
198.37;101
200.32;102
202.18;103
204.16;104
206.16;105
208.09;106
210;107
211.88;108
213.82;109
215.77;110
217.7;111
219.61;112
221.54;113
223.52;114
225.5;115
227.46;116
229.39;117
231.42;118
233.35;119
235.36;120
237.26;121
239.27;122
241.26;123
243.31;124
245.41;125
247.36;126
249.35;127
251.36;128
253.37;129
255.36;130
257.36;131
259.39;132
261.38;133
263.42;134
265.42;135
267.44;136
269.45;137
271.47;138
273.45;139
275.48;140
277.6;141
279.64;142
281.59;143
283.62;144
285.71;145
287.74;146
289.74;147
291.89;148
294.13;149
296.39;150
298.58;151
300.76;152
302.84;153
304.93;154
307.037460317;155
309.127256235;156
311.12;157
312.97;158
315.06;159
317.05;160
318.95;161
320.783673469;162
322.63;163
324.71;164
326.58;165
328.34;166
330.34;167
332.24;168
334.18;169
336.06;170
337.97;171
339.87;172
341.86;173
343.62;174
345.65;175
347.62;176
349.622857142;177
351.62;178
353.62;179
355.59;180
357.61;181
359.72;182
361.77;183
363.83;184
365.93;185
367.95;186
369.67;187
371.57;188
373.28;189
375.11;190
376.94;191
378.73;192
380.48;193
382.29;194
384;195
385.75;196
387.48;197
389.2;198
391.07;199
392.88;200
394.66956916;201
396.55;202
398.29;203
400.06;204
401.88;205
403.65;206
405.43;207
407.3;208
409.13;209
410.89;210
412.79;211
414.6;212
416.49;213
418.34;214
420.07;215
421.83;216
423.15;217
424.55;218
425.89;219
427.23;220
428.57;221
429.82;222
431.12;223
432.41;224
433.67;225
434.92;226
436.24;227
437.54;228
438.86;229
440.17;230
441.46;231
442.75;232
444.09;233
445.37;234
446.61;235
447.82;236
449.06;237
450.22;238
451.4;239
452.64;240
454.04;241
455.24;242
456.51;243
457.8;244
459.06;245
460.4;246
461.56;247
462.85;248
464.09;249
465.34;250
466.61;251
467.86;252
469.23;253
470.81;254
472.44;255
474.01;256
475.61;257
477.08;258
478.59;259
480.37;260
481.87;261
483.35;262
484.92;263
486.43;264
488.08;265
489.75;266
491.3;267
492.65;268
494.11;269
495.59;270
497.06;271
498.61;272
500.11;273
501.74;274
503.32;275
504.89;276
506.47;277
507.91;278
510.165623582;279
511.71;280
513.32;281
514.94;282
516.53;283
518.03;284
519.55;285
521.08;286
522.8;287
524.45;288
526.16;289
527.7;290
529.23;291
530.78;292
532.29;293
533.849977324;294
535.51;295
537;296
538.5;297
540;298
541.53;299
543.08;300
544.56;301
546.1;302
547.69;303
549.31446712;304
550.8;305
552.31;306
553.89;307
555.76;308
557.66;309
559.33;310
561.04;311
562.51;312
564.23;313
565.92;314
567.55;315
569.2;316
570.92;317
572.54;318
574.7;319
576.39;320
578.12;321
579.88;322
581.57;323
583.37;324
585.23;325
587;326
588.79;327
590.62;328
592.7;329
595.04;330
598;331
599.74;332
601.51;333
603.3;334
604.9;335
606.65;336
608.34;337
609.99;338
611.71;339
613.36;340
615.01;341
616.59;342
618.2;343
619.75;344
621.15;345
622.69;346
624.22;347
625.76;348
627.36;349
628.92;350
630.46;351
632.07;352
