start;measure
0.3116666665;0.888
0.782666666;1
2.52340136;2
4.138065003667;3
5.825291666;4
7.490104166;5
9.25;6
10.93;7
12.60366666667;8
14.141;9
15.913;10
17.5;11
19.141995464;12
20.83;13
22.52600907;14
24.197006802;15
25.903;16
27.571995464;17
29.33600907;18
30.94600907;19
32.6358004534;20
34.447;21
36.100997732;22
37.889;23
39.448004535;24
41.16;25
42.769002267;26
44.464988662;27
46.154988662;28
47.94;29
49.593990929;30
51.375011337;31
53.070997732;32
54.832;33
56.517006802;34
58.322;35
59.961;36
61.801;37
63.598004535;38
65.481995464;39
67.354988662;40
69.263;41
70.973990929;42
72.8214965985;43
74.663004535;44
76.478004535;45
78.512;46
80.49;47
82.520997732;48
84.551995464;49
86.54585034;50
88.50600907;51
90.5;52
92.36666666667;53
94.48;54
96.58;55
98.82;56
100.72;57
103.0375;58
104.93;59
107.11;60
109.09;61
110.98;62
112.97;63
114.91;64
116.78;65
118.69;66
120.66;67
122.62;68
124.55;69
126.42;70
128.41;71
130.38;72
132.21;73
134.2;74
136.19;75
138.22;76
139.9;77
141.76;78
143.61;79
145.44;80
147.29;81
149.24;82
151.16;83
153.07;84
155.06;85
156.95;86
158.87;87
160.91;88
162.86;89
165.03;90
167.11;91
169.15;92
171.22;93
173.28;94
175.19;95
177.15;96
179.14;97
181.19;98
183.09;99
185.12;100
187.14;101
189.03;102
191.06;103
192.91;104
194.81;105
196.73;106
198.61;107
200.6;108
202.5;109
204.39;110
206.31;111
208.25;112
210.18;113
212.18;114
214.02;115
215.92;116
217.99;117
219.88;118
221.83;119
223.71;120
225.92;121
227.89;122
230.01;123
232.06;124
234.225;125
236.37;126
238.4;127
240.46;128
242.51;129
244.59;130
246.62;131
248.76;132
250.78;133
252.88;134
254.88;135
257.05;136
259.1;137
261.15;138
263.11;139
265.32;140
267.3733333333;141
269.47;142
271.55;143
273.64;144
275.75;145
277.84;146
279.9;147
282.03;148
284.21;149
286.43;150
288.54;151
290.63;152
292.87;153
295.01;154
296.88;155
298.807256235;156
300.99;157
302.71;158
304.88;159
306.44;160
308.24;161
310.263673469;162
312.21;163
314.26;164
316.1;165
317.91;166
320;167
321.96;168
323.81;169
325.8;170
327.79;171
329.59;172
331.5;173
333.35;174
335.43;175
337.35;176
339.37;177
341.31;178
343.1;179
345.1;180
347.25;181
349.3;182
351.27;183
353.26;184
355.39;185
357.1;186
358.874666666;187
360.91;188
362.82;189
364.65;190
366.46;191
368.27;192
370.176;193
372.05;194
373.98;195
375.81;196
377.71;197
379.5;198
381.48;199
383.17;200
385.2;201
387.07;202
388.9;203
390.78;204
392.72;205
394.54;206
396.47;207
398.43;208
400.39;209
402.35;210
404.33;211
406.25;212
408.27;213
410.26;214
412.19;215
414.27;216
415.71;217
417.07;218
418.43;219
419.65;220
421.02;221
422.32;222
423.54;223
424.77;224
426.07;225
427.32;226
428.66;227
429.83;228
431.01;229
432.33;230
433.575;231
434.79;232
436.17;233
437.43;234
438.5;235
439.68;236
441.02;237
442.16;238
443.32;239
444.57;240
445.88;241
447.16;242
448.44;243
449.69;244
451.02;245
452.31;246
453.54;247
454.96;248
455.96;249
457.13;250
458.39;251
459.76;252
461.23;253
462.94;254
464.72;255
466.03;256
468.38;257
470.27;258
471.97;259
474.03;260
475.5;261
477.38;262
479.225;263
481.22;264
483.14;265
484.81;266
486.61;267
488.06;268
489.63;269
491.05;270
492.64;271
494.38;272
496.16;273
497.96;274
499.74;275
501.39;276
502.98;277
504.83;278
506.95;279
508.68;280
510.42;281
512.13;282
513.97;283
515.73;284
517.4;285
519.29;286
521.1;287
522.94;288
524.87;289
526.64;290
528.45;291
530.18;292
531.93;293
533.83;294
535.92;295
537.58;296
539.31;297
541.12;298
542.77;299
544.55;300
546.2;301
547.96;302
549.62;303
551.48;304
553.14;305
554.96;306
556.62;307
558.54;308
560.69;309
562.49;310
564.16;311
565.85;312
567.75;313
569.46;314
571.17;315
572.97;316
574.75;317
576.61;318
578.7;319
580.87;320
582.84;321
584.86;322
586.93;323
588.88;324
590.76;325
592.598;326
594.61;327
596.42;328
598.7;329
600.74;330
603.32;331
605.51;332
607.54;333
609.56;334
611.48;335
613.4;336
615.64;337
617.53;338
619.509333333;339
621.5;340
623.59;341
625.16;342
627.1;343
628.81;344
630.6;345
632.33;346
634.01;347
635.88;348
637.79;349
639.64;350
641.43;351
643.37;352
644.91;353
646.87;354
648.87;355
650.63;356
652.56;357
654.45;358
656.78;359
658.78;360
660.62;361
662.69;362
664.52;363
666.42;364
668.3;365
670.27;366
672.085;367
673.96;368
675.82;369
677.705;370
679.54;371
681.49;372
683.29;373
685.38;374
687.71;375
690.38;376
692.99;377
695.4;378
698.82;379
701.109523809;380
703.38;381
706.8990909091;382
709.51;383
712.16;384
716.3216602583;385
719.165759637;386
721.69;387
725.18;388
728.309115646;389
730.97;390
733.72;391
736.33;392
738.85;393
741.52;394
743.96;395
746.835;396
749.53;397
751.8833333333;398
754.235;399
756.74;400
759.2366666667;401
761.67;402
764.11375;403
766.62;404
769.42;405
772.08;406
774.86;407
777.83;408
781.09;409
783.53;410
785.51;411
787.76;412
789.78;413
791.735;414
793.81;415
796.1;416
797.89;417
799.6923356;418
801.51;419
803.28;420
805.22;421
807.03;422
808.96;423
810.62;424
812.65;425
814.45;426
816.37;427
817.9;428
819.85;429
821.72;430
823.39;431
825.14;432
826.97;433
828.83;434
830.48;435
832.42;436
834.65;437
836.72;438
838.5;439
840.3325;440
842.37;441
844.37;442
846.33;443
848.27;444
