start;measure
0.896666666;0.888
1.462666666;1
3.007104166;2
4.4320975055;3
5.867891156;4
7.444988662;5
9.17;6
10.89;7
12.51600907;8
14.321;9
15.933;10
17.567006802;11
19.261995464;12
20.93799697633;13
22.68600907;14
24.426;15
26.2065;16
27.902993197;17
29.695;18
31.36600907;19
33.098;20
34.903990929;21
36.61600907;22
38.379002267;23
40.29033333333;24
41.92;25
43.569002267;26
45.291995464;27
47.147;28
48.925011337;29
50.690997732;30
52.435011337;31
54.244;32
56.012;33
57.833;34
59.622;35
61.321;36
63.1955;37
64.978004535;38
66.85;39
68.647;40
70.623;41
72.3519954645;42
74.21;43
75.999002267;44
77.878004535;45
79.813990929;46
81.834;47
83.538004535;48
85.431995464;49
87.317006802;50
89.14600907;51
91.02;52
92.925;53
94.9;54
96.8;55
98.94;56
100.83;57
102.8;58
104.69;59
106.7;60
108.49;61
110.355;62
112.14;63
114.07;64
115.86;65
117.75;66
119.48;67
121.42;68
123.27;69
125.11;70
127;71
128.82;72
130.57;73
132.49;74
134.32;75
136.3;76
138.04;77
139.81;78
141.255;79
143.02;80
144.77;81
146.56;82
148.32;83
149.88;84
151.57;85
153.38;86
155.13;87
156.98;88
158.81;89
160.63;90
162.36;91
164.23;92
166.08;93
167.64;94
169.45;95
171.21;96
172.92;97
174.74;98
176.42;99
178.32;100
179.93;101
181.59;102
183.34;103
185.24;104
186.93;105
188.77;106
190.53;107
192.205;108
193.94;109
195.66;110
197.4;111
199.17;112
200.94;113
202.78;114
204.6;115
206.36;116
208.135;117
210;118
211.7;119
213.47;120
215.5;121
217.38;122
219.22;123
220.99;124
222.98;125
224.95;126
226.79;127
228.66;128
230.53;129
232.43;130
234.255;131
236.22;132
238.11;133
239.94;134
241.76;135
243.67;136
245.49;137
247.43;138
249.21;139
251.02;140
253;141
254.93;142
256.81;143
258.64;144
260.69;145
262.63;146
264.42;147
266.35;148
268.25;149
270.21;150
272.08;151
274.04;152
275.74;153
277.64;154
279.5;155
281.674666666;156
283.34;157
284.73;158
286.31;159
288.31;160
289.88;161
291.87;162
293.7;163
295.5;164
297.21;165
298.86;166
300.76;167
302.54;168
304.07;169
305.88;170
307.5033333333;171
309.32;172
311.2;173
312.87;174
314.66;175
316.35;176
318.31;177
319.95;178
321.72;179
323.66;180
325.43;181
327.35;182
329.23;183
330.958;184
332.86;185
334.72;186
336.394666666;187
338.19;188
339.96;189
341.69;190
343.36;191
345.15;192
346.72;193
348.53;194
350.14;195
352.01;196
353.8;197
355.52;198
357.3;199
358.99;200
360.84956916;201
362.61;202
364.28;203
365.96;204
367.77;205
369.18;206
370.87;207
372.78;208
374.39;209
376.15;210
377.89;211
379.66;212
381.39;213
383.185;214
384.92;215
386.53;216
388.14;217
389.21;218
390.45;219
391.61;220
392.72;221
393.9;222
395.06;223
396.23;224
397.32;225
398.44;226
399.58;227
400.71;228
401.8871428571;229
402.995;230
404.18;231
405.29;232
406.46;233
407.68;234
408.79;235
410.04;236
411.02;237
412.04;238
413;239
414.15;240
415.27;241
416.415;242
417.52;243
418.57;244
419.685;245
421;246
422.08;247
423.26;248
424.51;249
425.615;250
426.75;251
428.02;252
429.31;253
431.11;254
432.54;255
434.11;256
435.79;257
436.9766666667;258
438.55;259
440.26;260
441.91;261
443.6;262
445.0177777778;263
446.52;264
447.99;265
449.59;266
450.97;267
452.415;268
453.87;269
455.09;270
456.38;271
457.84;272
459.28;273
460.86;274
462.46;275
463.95;276
465.34;277
466.78;278
468.4633333333;279
470.02;280
471.73;281
473.17;282
474.61;283
476.09;284
477.54;285
479.19;286
480.51;287
482.01;288
483.55;289
485;290
486.47;291
487.92;292
489.3;293
490.869977324;294
492.57;295
493.83;296
495.31;297
496.78;298
498.35;299
499.7;300
501.1;301
502.56;302
504.03;303
505.44;304
506.775;305
508.34;306
509.66;307
511.1;308
512.7733333333;309
514.13;310
515.64;311
517.05;312
518.5;313
520.128;314
521.61;315
523.13;316
524.61;317
526.23;318
528.14;319
529.89;320
531.93;321
533.74;322
535.25;323
536.95;324
538.9;325
540.49;326
542.0633333333;327
543.7;328
545.12;329
547.04;330
548.835;331
550.31;332
552.06;333
553.67;334
555.37;335
556.87;336
558.58;337
560.13;338
561.71;339
563.336;340
564.81;341
566.26;342
567.88;343
569.15;344
570.65;345
572.07;346
573.63;347
574.92;348
576.43;349
577.86;350
579.46;351
581.29;352
582.05;353
583.89;354
585.24;355
586.62;356
588.24;357
589.79;358
591.42;359
592.82;360
594.2175;361
595.8733333334;362
597.38;363
598.84;364
600.1875;365
601.73;366
603.1;367
604.51;368
605.94;369
607.51;370
608.96;371
610.4333333333;372
611.63;373
613.1428571429;374
614.87;375
616.9;376
618.9271428571;377
620.87;378
624.08;379
625.89;380
628.34;381
631.78;382
634.25;383
637;384
640.118185941;385
642.59;386
645.222666666;387
648.49;388
652.009115646;389
654.536;390
657.1;391
660.05;392
662.29;393
664.78;394
666.78;395
668.989795918;396
671.64;397
674.25;398
676.33;399
678.72;400
681.13;401
683.6;402
686.16;403
688.3;404
690.62;405
692.7875;406
695.16;407
697.4;408
700.47;409
702.3;410
704.29;411
705.83;412
707.66;413
709.24;414
710.88;415
713.16;416
715.03;417
716.73;418
718.45;419
720.14;420
721.76;421
723.5;422
725.24;423
726.73;424
728.27;425
730.07;426
731.41;427
733.05;428
734.48;429
736.02;430
737.51;431
739.03;432
740.6;433
742.21;434
743.72;435
745.54;436
748.95;437
750.97;438
752.47;439
754.0666666667;440
756.13;441
757.9;442
759.258;443
760.75;444
762.34;445
763.9354931973;446
765.47;447
767.31;448
768.86;449
770.19;450
771.78;451
773.27;452
774.78;453
776.2611111111;454
777.87625;455
779.46;456
780.98;457
782.63;458
784.28;459
786.0688699923;460
787.6;461
789.62;462
791.36;463
793.03;464
794.57;465
796.02;466
797.63;467
799.13;468
800.84;469
802.39;470
803.7;471
805.34;472
806.808;473
808.56;474
809.91;475
810.98;476
811.99;477
812.79;478
813.76;479
814.68;480
815.57;481
816.55;482
817.54;483
818.45;484
819.51;485
820.65;486
821.56;487
822.5;488
823.732;489
825.45;490
826.4;491
827.45;492
828.7;493
829.82;494
830.68;495
831.994;496
832.69;497
833.63;498
834.72;499
835.76;500
836.56;501
837.616;502
838.54;503
839.68;504
840.62;505
841.72;506
842.77;507
843.77;508
844.85;509
845.91;510
847;511
848;512
849;513
850.16;514
851.15;515
852.23;516
853.03;517
854.358;518
855.42;519
856.51;520
857.716;521
858.7166666667;522
859.83;523
861.04;524
862.06;525
863.68;526
864.97;527
866.75;528
868.35;529
869.53;530
870.6871428572;531
872.16;532
872.8658333334;533
874.03;534
875.638730158;535
877.46;536
879.62;537
881.592653061;538
882.7;539
884.52;540
886.924;541
888.4371428572;542
889.58;543
890.961;544
892.18;545
893.22;546
894.26;547
895.336;548
896.51;549
897.875;550
899.04;551
900.24;552
901.24;553
902.52;554
903.5825;555
904.5333333333;556
905.56;557
906.545;558
907.555;559
908.6;560
909.86;561
910.9125;562
912.42;563
913.933333333;564
915.26;565
917.26;566
919;567
920.46;568
921.86;569
923.5;570
924.9;571
926.44;572
927.62;573
929.04;574
930.32;575
931.62;576
933.12;577
934.36;578
935.56;579
936.78;580
937.92;581
939.06;582
940.32;583
941.6;584
942.7;585
943.92;586
945.06;587
946.365;588
947.52;589
948.6666666667;590
949.76;591
950.86;592
951.855510204;593
952.905;594
954.02;595
955.2;596
956.1025;597
957.2;598
958;599
959.1;600
959.92;601
960.96;602
962.78;603
964.28;604
965.9;605
967.6;606
969.12;607
970.54;608
972.12;609
973.62;610
975.12;611
976.72;612
978.18;613
979.68;614
981.088;615
982.7;616
984.26;617
985.795;618
987.22;619
988.62;620
990.2;621
991.8;622
993.42;623
994.9333333333;624
996.504;625
998.1;626
999.56;627
1001.06;628
1002.7;629
1004.3;630
1005.82;631
1007.62;632
1009.46;633
1011.14;634
1013.26;635
1015.287301587;636
1017.12;637
1018.98;638
1020.96;639
1022.48;640
1024.183571429;641
1026;642
1027.38;643
1029.2;644
1030.9425;645
1032.655555556;646
1034.68;647
1035.76;648
1037.58;649
1039.38;650
1041.12;651
1042.469090909;652
1044.393333333;653
1045.62;654
1047.34;655
1049.24;656
1050.86;657
1052.86;658
1054.78;659
1056.9;660
1058.92;661
1060.991428571;662
1063.36;663
1065.62;664
1068.0325;665
1069.88;666
1072.2;667
1073.9775;668
1076.32;669
1077.94;670
1079.817;671
1081.595;672
1083.7;673
1085.52;674
1087.505588235;675
1089.62;676
1091.5825;677
1093.36;678
1095.52;679
1096.7;680
1099.251666667;681
1101.32;682
1103.14;683
1104.955;684
1107.18;685
1108.86;686
1110.553846154;687
1112.615;688
1114.36;689
1116.36;690
1118.02;691
1119.68;692
1121.52;693
1123.231111111;694
1125.14;695
1127.015;696
1128.8;697
1130.794285714;698
1132.728;699
1134.835;700
1136.44;701
1138.015;702
1140.12;703
1142.74;704
1144.72;705
1146.64;706
1148.6;707
1150.58;708
1152.64;709
1154.32;710
1156.36;711
1158.347457078;712
1160.34;713
1162.27;714
1164.231428571;715
1166.133333333;716
1168.3;717
1170.26;718
1172.1075;719
1174.78;720
1175.66;721
1177.928421053;722
1179.673333333;723
1182.14;724
1184.2865;725
1186.8;726
1188.14;727
1192;728
1194.345314685;729
1196.46;730
1200.64;731
1203.72;732
1207.34;733
1209.62;734
1211.937777778;735
1213.58;736
1215.5;737
1217.38;738
1219.2;739
1221.22;740
1223.14;741
1224.66;742
1226.62;743
1228.425714286;744
1230.44;745
1232.16;746
1233.98;747
1235.78;748
1237.635;749
1239.8;750
1242.08;751
1244.37;752
1246.4;753
1248.58;754
1251.22;755
1253.68;756
1255.728;757
1258.02;758
1260.18;759
1262.8;760
1264.859727891;761
1267.1;762
1269.29;763
1271.913333333;764
1274.18;765
1276.070068027;766
1277.98;767
1279.92;768
1283.5;769
1285.566666667;770
1287.66;771
1289.988;772
1292.62;773
1295.14;774
1297.72;775
1300.32;776
1303.135;777
1305.54;778
1308.02;779
1310.42;780
1312.58;781
1315.46;782
1317.4;783
1319.94;784
1323.06;785
1324.865079365;786
1326.54;787
1328.02;788
1329.6;789
1331.9;790
1333.444444444;791
1335.02;792
1336.94;793
1338.78;794
1340.66;795
1342.8;796
