start;measure
1.859999999;0.888
2.442666666;1
4.087104166;2
5.7680260415;3
7.445291666;4
9.110104166;5
10.795011337;6
12.468004535;7
14.299002267;8
15.97600907;9
17.759002267;10
19.5;11
21.339002267;12
23.077981858;13
24.96201814;14
26.717006802;15
28.563;16
30.416;17
32.195;18
34.00600907;19
35.824;20
37.621995464;21
39.440997732;22
41.309;23
43.128004535;24
44.794;25
46.609002267;26
48.304988662;27
50.187;28
51.988004535;29
53.870997732;30
55.607;31
57.5;32
59.432;33
61.277006802;34
63.093990929;35
65.005011337;36
66.921;37
68.698004535;38
70.627006802;39
72.481995464;40
74.331995464;41
76.177006802;42
77.99600907;43
79.951;44
81.81600907;45
83.56;46
85.43;47
87.151995464;48
89.071;49
90.757006802;50
92.59;51
94.28;52
96.18222222222;53
98.13;54
100.34;55
102.4;56
104.57;57
106.26;58
108.19;59
110.24;60
112.19;61
114.06;62
115.99;63
117.87;64
119.76;65
121.68;66
123.6;67
125.54;68
127.43;69
129.27;70
131.235;71
133.115;72
134.92;73
136.78;74
138.59;75
140.64;76
142.42;77
144.04;78
145.73;79
147.38;80
149.17;81
150.97;82
152.62;83
154.35;84
156.08;85
157.83;86
159.67;87
161.59;88
163.36;89
165.2933333333;90
167.12;91
168.91;92
170.73;93
172.54;94
174.37;95
176.19;96
178;97
179.72;98
181.46;99
183.1371428571;100
184.82;101
186.58;102
188.38;103
190.2;104
192.02;105
193.75;106
195.57;107
197.42;108
199.22;109
200.97;110
202.79;111
204.51;112
206.42;113
208.26;114
210.02;115
211.81;116
213.58;117
215.43;118
217.25;119
218.94;120
220.98;121
222.69;122
224.64;123
226.34;124
228.55;125
230.61;126
232.635;127
234.6;128
236.63;129
238.62;130
240.62;131
242.66;132
244.67;133
246.575;134
248.52;135
250.48;136
252.48;137
254.44;138
256.25;139
258.21;140
260.115;141
261.81;142
263.59;143
265.48;144
267.35;145
269.17;146
270.94;147
273.05;148
274.89;149
276.79;150
278.64;151
280.69;152
282.63;153
284.48;154
286.457460317;155
288.207256235;156
289.93;157
291.53;158
293.25;159
295.05;160
296.82;161
298.37;162
300.1725;163
301.9;164
303.81;165
305.53;166
307.36;167
308.94;168
310.69;169
312.48;170
314.17;171
315.93;172
317.63;173
319.44;174
321.14;175
322.91;176
324.722857142;177
326.52;178
328.24;179
329.89625;180
331.65;181
333.52;182
335.24;183
337.1466666667;184
338.75;185
340.61;186
342.2;187
343.99;188
345.66;189
347.41;190
349.12;191
350.81;192
352.48;193
354.27;194
356.1;195
357.69;196
359.54;197
361.12;198
362.96;199
364.53;200
366.56956916;201
368.33;202
369.96;203
371.77;204
373.5;205
375.26;206
376.97;207
378.71;208
380.51;209
382.31;210
384.07;211
385.87;212
387.85;213
389.68;214
391.49;215
393.11;216
394.86;217
396.09;218
397.38;219
398.73;220
400.02;221
401.2;222
402.56;223
403.77;224
405.04;225
406.36;226
407.63;227
408.98;228
410.25;229
411.52;230
412.88;231
414.23;232
415.52;233
416.93;234
418.17;235
419.3;236
420.78;237
422.06;238
423.26;239
424.57;240
426.09;241
427.32;242
428.59;243
429.95;244
431.22;245
432.59;246
433.7;247
435.16;248
436.57;249
437.8;250
439.11;251
440.44;252
441.73;253
443.43;254
445.08;255
446.55;256
448.37;257
449.83;258
451.83;259
453.565;260
455.12;261
456.8;262
458.52;263
460.26;264
462.18;265
463.73;266
465.48;267
466.75;268
468.25;269
469.61;270
471.12;271
472.84;272
474.5;273
476.18;274
477.84;275
479.37;276
480.9;277
482.62;278
484.51;279
486.41;280
488.05;281
489.67;282
491.33;283
492.93;284
494.59;285
496;286
497.57;287
499.23;288
501.16;289
502.74;290
504.41;291
506.03;292
507.68;293
509.44;294
511.37;295
512.94;296
514.67;297
516.14;298
517.87;299
519.37;300
520.84;301
522.45;302
524.17;303
525.85446712;304
527.255;305
528.95;306
530.6583333333;307
532.54;308
534.89;309
536.51;310
538.16;311
539.81;312
541.64;313
543.56;314
545.17;315
547.08;316
548.83;317
550.59;318
552.7;319
554.35;320
556.59;321
558.72;322
560.66;323
562.850666666;324
564.94;325
566.81;326
568.73;327
570.52;328
572.88;329
575.48;330
578.36;331
580.53;332
582.43;333
584.22;334
585.9933333333;335
587.87;336
589.37;337
591.21;338
593.249333333;339
594.92;340
596.71;341
598.24;342
600.04;343
601.67;344
603.32;345
604.91;346
606.49;347
608.2;348
609.96;349
611.6075;350
613.31;351
615.11;352
616.56;353
618.09;354
619.92;355
621.8;356
623.46;357
625.51;358
627.6;359
629.32;360
631.24;361
633.13;362
635.22;363
637.06;364
638.92;365
640.93;366
642.88;367
644.86;368
646.61;369
648.72;370
650.56;371
652.38;372
654.34;373
656.152;374
658.33;375
661.16;376
663.81;377
665.86;378
669.06;379
671.249523809;380
674.59;381
679.38;382
682.74;383
687.090723356;384
692.402666666;385
695.71;386
699.342666666;387
703.95;388
707.73;389
711.18;390
714.64;391
717.63;392
720.93;393
723.96;394
726.64;395
729.79;396
732.89;397
735.83;398
738.81;399
741.91;400
745.11;401
747.77;402
751.23;403
753.96;404
757.52;405
761.24;406
764.73;407
768.53;408
772.63;409
775.206848072;410
777.49;411
779.5;412
781.62;413
783.53;414
785.8;415
788.22;416
790.15;417
792.0723356;418
793.93;419
796.15;420
798.22;421
800.23;422
802.8;423
805.13;424
807.47;425
809.73;426
811.63;427
813.54;428
815.51;429
817.24;430
819.39;431
821.17;432
823.17;433
825.18;434
827.13;435
829.44;436
833.94;437
836.69;438
838.51;439
840.36;440
842.73;441
844.91;442
847.19;443
849.44;444
851.6;445
853.611972789;446
855.752664399;447
858.2;448
860.03;449
861.89;450
863.84;451
865.69;452
867.8;453
869.91;454
872.02;455
873.76;456
875.88;457
877.7633333333;458
879.96;459
882.143219954;460
884;461
886.16;462
888.37;463
890.33;464
892.45;465
894.224;466
896.28;467
