start;measure
0.2016666665;0.888
0.522666666;1
2.347104166;2
4.130997732;3
5.975097222;4
7.690104166;5
9.49;6
11.35;7
13.239002267;8
15.061;9
16.94;10
18.74;11
20.641995464;12
22.57;13
24.44201814;14
26.426;15
28.249002267;16
30.176;17
32.155;18
33.94600907;19
35.918;20
37.847;21
39.772;22
41.599002267;23
43.577006802;24
45.48;25
47.369002267;26
49.311995464;27
51.347;28
53.25;29
55.133990929;30
57.187;31
59.130997732;32
61.112;33
63.077006802;34
64.993990929;35
66.965011337;36
68.930997732;37
70.958004535;38
72.967006802;39
75.021995464;40
77.011995464;41
79.037006802;42
81.112993197;43
83.13600907;44
85.166;45
86.996;46
88.99;47
90.800997732;48
92.831995464;49
94.74585034;50
96.64600907;51
98.64;52
100.427006802;53
102.38;54
104.36;55
106.24;56
108.09;57
110.3;58
112.05;59
114.04;60
116.01;61
117.96;62
119.97;63
121.91;64
123.96;65
125.91;66
127.94;67
129.89;68
131.91;69
133.86;70
135.94;71
137.94;72
139.87;73
141.87;74
143.84;75
145.88;76
147.86;77
149.62;78
151.39;79
153.28;80
155.31;81
157.18;82
159.08;83
161.03;84
162.85;85
164.75;86
166.6;87
168.53;88
170.38;89
172.5;90
174.32;91
176.27;92
178.07;93
179.92;94
181.85;95
183.78;96
185.68;97
187.57;98
189.45;99
191.36;100
193.09;101
194.95;102
196.78;103
198.75;104
200.67;105
202.61;106
204.41;107
206.35;108
208.24;109
210.13;110
212.02;111
213.85;112
215.78;113
217.8;114
219.7;115
221.55;116
223.47;117
225.42;118
227.28;119
228.99;120
231.14;121
233.11;122
235.06;123
236.94;124
238.98;125
241.07;126
243.1;127
245.155;128
247.18;129
249.23;130
251.24;131
253.32;132
255.35;133
257.36;134
259.37;135
261.43;136
263.38;137
265.44;138
267.31;139
269.32;140
271.24;141
273.17;142
275.07;143
277.02;144
278.99;145
281.04;146
282.84;147
284.79;148
286.79;149
288.63;150
290.58;151
292.44;152
294.21;153
296.35;154
298.177460317;155
300.08;156
302.11;157
304.01;158
306.04;159
307.515;160
309.38;161
311.47;162
313.21;163
315.22;164
317.03;165
318.6;166
320.46;167
322.14;168
324.13;169
325.82;170
327.69;171
329.5;172
331.33;173
333.22;174
334.89;175
336.69;176
338.48;177
340.26;178
342.06;179
343.84;180
345.73;181
347.61;182
349.35;183
351.19;184
353.23;185
355.05;186
356.7;187
358.47;188
360.35;189
362.25;190
364.11;191
365.87;192
367.68;193
369.45;194
371.28;195
373.09;196
375.2;197
376.96;198
378.88;199
380.64;200
382.48956916;201
384.27;202
386.12;203
387.99;204
390.07;205
391.7175;206
393.43;207
395.3;208
396.95;209
398.7;210
400.64;211
402.46;212
404.27;213
406.14;214
407.85;215
409.87;216
411.09;217
412.53;218
413.92;219
415.19;220
416.6;221
417.98;222
419.38;223
420.71;224
422.11;225
423.52;226
424.84;227
426.25;228
427.58;229
429.05;230
430.37;231
431.72;232
432.97;233
434.49;234
435.85;235
437.12;236
438.5;237
439.96;238
441.24;239
442.67;240
444.05;241
445.34;242
447;243
448.23;244
449.68;245
451.13;246
452.48;247
453.92;248
455.18;249
456.51;250
457.97;251
459.33;252
460.91;253
