start;measure
5.22333333;0.888
6.162666666;1
7.762290249;2
9.610997732;3
11.448945578;4
13.330997732;5
15.31;6
17.208004535;7
19.251;8
21.081;9
23.019002267;10
24.92;11
27.125;12
28.933990929;13
30.993990929;14
33.006;15
34.922;16
36.916;17
38.895;18
40.82600907;19
42.858;20
44.841995464;21
46.840997732;22
48.87233560067;23
50.797006802;24
52.834;25
54.849002267;26
56.804988662;27
58.859002267;28
60.85;29
62.898;30
64.847;31
66.86;32
68.932;33
70.953;34
72.948004534;35
74.825011337;36
77.021;37
79.189;38
81.23;39
83.294988662;40
85.271995464;41
87.333990929;42
89.39;43
91.471;44
93.466;45
95.56;46
97.742;47
99.720997732;48
101.711995464;49
103.757006802;50
105.81802721;51
107.858004535;52
109.907006802;53
112.24;54
114.44;55
116.74;56
118.83;57
120.88;58
123.07;59
125.36;60
127.47;61
129.64;62
131.73;63
133.84;64
136;65
138.02;66
140.14;67
142.37;68
144.47;69
146.5;70
148.59;71
150.73;72
152.83;73
154.98;74
157.06;75
159.22;76
161.12;77
163.1;78
165.02;79
167.08;80
169.01;81
171.13;82
173.14;83
175.01;84
177.22;85
179.31;86
181.37;87
183.53;88
185.54;89
187.74;90
189.72;91
191.91;92
193.84;93
195.82;94
197.85;95
199.82;96
202.08;97
204.04;98
205.98;99
208.3;100
210.11;101
212.12;102
214.08;103
216.16;104
218.23;105
220.33;106
222.37;107
224.34;108
226.36;109
228.37;110
230.38;111
232.55;112
234.34;113
236.54;114
238.55;115
240.69;116
242.77;117
244.77;118
246.92;119
248.73;120
251.28;121
253.45;122
255.57;123
257.59;124
259.82;125
262.01;126
264.04;127
266.2;128
268.31;129
270.36;130
272.42;131
274.58;132
276.72;133
278.86;134
280.84;135
283.03;136
285.12;137
287.29;138
289.31;139
291.4;140
293.51;141
295.57;142
297.65;143
299.64;144
301.67;145
303.86;146
305.82;147
308.15;148
310.22;149
312.39;150
314.64;151
316.59;152
318.84;153
321.03;154
322.92;155
324.78;156
327.17;157
328.93;158
330.93;159
332.91;160
334.8275;161
336.743673469;162
338.68;163
340.82;164
342.75;165
344.54;166
346.41;167
348.65;168
350.47;169
352.58;170
354.43;171
356.36;172
358.43;173
360.31;174
362.24;175
364.2;176
366.19;177
367.99;178
370;179
371.92;180
374.25;181
376.216;182
378.38;183
380.26;184
382.37;185
384.15;186
385.74;187
387.79;188
389.72;189
391.69;190
393.75;191
395.61;192
397.5;193
399.43;194
401.4;195
403.43;196
405.49;197
407.52;198
409.66;199
411.52;200
413.34;201
415.57;202
417.53;203
419.51;204
421.52;205
423.47;206
425.67;207
427.64;208
429.59;209
431.75;210
433.49;211
435.6;212
437.69;213
439.86;214
442.14;215
444.31;216
445.38;217
446.63;218
447.9;219
449.31;220
450.69;221
451.94;222
453.3;223
454.65;224
455.95;225
457.3;226
458.74;227
459.94;228
461.42;229
462.76;230
464.07;231
465.45;232
466.7;233
468.21;234
469.55;235
470.8;236
472.03;237
473.4;238
474.64;239
476.03;240
477.51;241
478.6;242
479.96;243
481.43;244
482.7975;245
484.15;246
485.44;247
486.82;248
488.1;249
489.5;250
490.91;251
492.2;252
493.71;253
495.71;254
497.38;255
499.49;256
501.14;257
503.29;258
504.99;259
506.82;260
508.54;261
510.55;262
512.56;263
514.19;264
516.03;265
517.77;266
519.59;267
521.43;268
522.77;269
524.31;270
525.89;271
527.41;272
529.48;273
531.26;274
533.14;275
534.7;276
536.22;277
537.865;278
539.85;279
541.69;280
543.28;281
544.99;282
546.69;283
548.33;284
549.85;285
551.59;286
553.33;287
555.09;288
556.87;289
558.55;290
560.47;291
562.22;292
564;293
565.7;294
567.71;295
569.28;296
570.95;297
572.65;298
574.41;299
576.1414285714;300
577.72;301
579.28;302
581.11;303
582.82;304
584.415;305
586.29;306
587.91;307
589.96;308
592.14;309
593.71;310
595.4411111111;311
597.23;312
599.05;313
600.93;314
602.63;315
604.305;316
606.09;317
607.99;318
610.15;319
611.55;320
613.39;321
615.64;322
617.52;323
