start;measure
2.846666665;0.888
3.760204081;1
5.602290249;2
7.622104166;3
9.427891156;4
11.404988662;5
13.39;6
15.328004535;7
17.451;8
19.501;9
21.499002267;10
23.447006802;11
25.521995464;12
27.43;13
29.35802721;14
31.317006802;15
33.3055;16
35.196;17
37.08;18
38.949002267;19
40.864988662;20
42.761995464;21
44.772;22
46.769;23
48.6905;24
50.654;25
52.389002267;26
54.231995464;27
56.247;28
58.13;29
59.993990929;30
61.975011337;31
63.8;32
65.792;33
67.733;34
69.722;35
71.765011337;36
73.812;37
75.878004535;38
78.101995464;39
80.221995464;40
82.463;41
84.586;42
86.652993197;43
88.77600907;44
90.86201814;45
92.792;46
94.89;47
96.858004535;48
98.771995464;49
100.7035;50
102.77;51
104.778004535;52
106.7;53
108.84;54
110.98;55
113.04;56
114.79;57
117.18;58
118.93;59
121.32;60
123.46;61
125.72;62
127.91;63
130.05;64
132.14;65
134.29;66
136.42;67
138.56;68
140.67;69
142.72;70
144.91;71
147.03;72
149.13;73
151.25;74
153.47;75
155.453786848;76
157.41;77
159.54;78
161.55;79
163.35;80
165.49;81
167.59;82
169.5;83
171.35;84
173.52;85
175.49;86
177.57;87
179.65;88
181.62;89
183.59;90
185.6;91
187.45;92
189.53;93
191.42;94
193.43;95
195.38;96
197.34;97
199.41;98
201.23;99
203.32;100
205.05;101
206.97;102
208.95;103
211.14;104
213.11;105
215.15;106
217.27;107
219.32;108
221.4;109
223.47;110
225.61;111
227.75;112
229.64;113
231.64;114
233.71;115
235.62;116
237.87;117
239.77;118
241.93;119
243.83;120
246.1;121
248.25;122
250.26;123
252.71;124
255.35;125
257.79;126
260.15;127
262.49;128
264.85;129
267.19;130
269.52;131
271.93;132
274.1;133
276.46;134
278.66;135
281.01;136
283.16;137
285.5;138
287.65;139
289.9;140
291.88;141
294.01;142
296.01;143
297.82;144
299.95;145
302.05;146
303.96;147
305.99;148
308.15;149
310.31;150
312.46;151
314.41;152
316.52;153
318.67;154
320.56;155
322.854666666;156
324.77;157
326.47;158
328.57;159
330.51;160
332.34;161
334.25;162
336.22;163
338.22;164
340.05;165
341.92;166
343.76;167
345.74;168
347.35;169
349.32;170
351.19;171
353.22;172
354.88;173
356.58;174
358.45;175
360.36;176
362.19;177
364.01;178
365.67;179
367.58;180
369.59;181
371.61;182
373.48;183
375.485;184
377.65;185
379.44;186
381.22;187
383.31;188
385.06;189
386.95;190
388.82;191
390.73;192
392.64;193
394.51;194
396.42;195
398.29;196
400.27;197
402.2;198
404.07;199
406.08;200
407.98;201
409.93;202
411.67;203
413.56;204
415.43;205
417.34;206
419.33;207
421.1;208
423.03;209
424.95;210
426.8;211
428.61;212
430.54;213
432.405;214
434.14;215
435.99;216
437.25;217
438.5166666667;218
439.75;219
441.01;220
442.18;221
443.49;222
444.72;223
445.81;224
447.11;225
448.28;226
449.55;227
450.79;228
452.11;229
453.16;230
454.32;231
455.45;232
456.7;233
457.87;234
459.09;235
460.2;236
461.3;237
462.52;238
463.64;239
464.97;240
466.22;241
467.24;242
468.45;243
469.66;244
470.82;245
472.07;246
473.2;247
474.42;248
475.58;249
476.63;250
478.07;251
479.36;252
480.81;253
482.69;254
484.52;255
486.26;256
487.89;257
489.52;258
491.21;259
492.9;260
494.52;261
496.36;262
498.14;263
499.825;264
501.48;265
503.35;266
505.11;267
506.55;268
507.89;269
509.29;270
510.69;271
512.35;272
514.14;273
515.6666666667;274
517.16;275
518.75;276
520.33;277
521.75;278
523.79;279
525.63;280
527.1;281
528.77;282
530.29;283
531.77;284
533.21;285
534.75625;286
536.37;287
537.93;288
539.53;289
541.28;290
542.85;291
544.555;292
546.21;293
547.54;294
549.39;295
550.96;296
552.57;297
554.08;298
555.57;299
556.99;300
558.64;301
560.12;302
561.78;303
563.12;304
564.78;305
566.35;306
568.02;307
569.88;308
571.72;309
573.29;310
574.6869230769;311
576.41;312
577.93;313
579.56;314
581.395;315
583.04;316
584.85;317
586.44;318
588.78;319
590.53;320
592.13;321
593.88;322
595.59;323
597.27;324
598.98;325
600.53;326
602.41;327
604.16;328
605.9;329
608;330
610.16;331
612.27;332
614.16;333
615.96;334
617.63;335
619.57;336
621.4;337
623.19;338
624.61;339
626.62;340
628.47;341
630.02;342
631.62;343
633.31;344
634.81;345
636.29;346
637.91;347
639.4;348
641.05;349
642.72;350
644.38;351
645.97;352
647.46;353
649.03;354
650.44;355
652.02;356
653.6;357
655.27;358
656.92;359
658.5;360
660.11;361
661.78;362
663.42;363
665.2;364
666.8525;365
668.445;366
670.21;367
671.81;368
673.54;369
675.3;370
677.005;371
678.74;372
680.33;373
681.975;374
683.83;375
686;376
688.39;377
690.3;378
693.22;379
695.57;380
698.22;381
702.93;382
706.79;383
710;384
714.36;385
717.78;386
721.11;387
724.956;388
728.38;389
731.31;390
734.06;391
736.69;392
739.25;393
741.69;394
743.78;395
746.48;396
748.95;397
751.57;398
753.92;399
756.32;400
758.87;401
761.69;402
764.47;403
766.74;404
769.43;405
771.88;406
774.38;407
776.84;408
779.93;409
781.74;410
783.69;411
785.33;412
787.295;413
789.16;414
790.89;415
792.79;416
794.83;417
796.5323356;418
798.23;419
800.06;420
801.81;421
803.7133333333;422
805.56;423
807.39;424
809.13;425
811.05;426
812.69;427
814.44;428
816.18;429
817.94;430
819.61;431
821.35;432
823.25;433
825.075;434
826.72;435
828.67;436
831.17;437
833.09;438
834.89;439
836.58;440
838.51;441
840.49;442
842.43;443
844.21;444
846.215;445
848.25;446
850.295328798;447
852.05;448
853.97;449
855.89;450
857.6;451
859.37;452
861.19;453
863.25;454
865.34;455
867.22;456
869.42;457
871.64;458
873.75;459
875.983219954;460
878.39;461
880.54;462
882.555;463
884.5245;464
886.43;465
888.32;466
890.11;467
891.89;468
893.84;469
895.59;470
897.24;471
899.08;472
900.86;473
902.55;474
904.35;475
905.355464852;476
906.43;477
907.37;478
908.48;479
909.45;480
910.37;481
911.77;482
912.84;483
913.89;484
915.09;485
916.37;486
917.65;487
918.7;488
920.06;489
921.46;490
922.630249433;491
923.77;492
925.05;493
926.24;494
927.55;495
928.75;496
930;497
931.43;498
932.76;499
934.02;500
935.26;501
936.66;502
937.97;503
939.54;504
940.89;505
942.43;506
943.89;507
945.45;508
946.85;509
948.2;510
949.51;511
950.6;512
951.87;513
953.01;514
954.22;515
955.31;516
956.38;517
957.71;518
958.93;519
960.41;520
961.92;521
963.2971428571;522
964.4;523
965.72;524
967.28;525
968.72;526
970.58;527
972.43;528
974.39;529
976.09;530
977.801333333;531
979.4;532
980.645;533
981.87;534
984.018730158;535
986.06;536
988.295;537
989.83;538
991.62;539
993.68;540
995.94;541
997.485;542
998.76;543
1000.34;544
1001.56;545
1002.545;546
1003.8;547
1004.88;548
1005.96;549
1007.094666666;550
1008.246666666;551
1009.5;552
1010.52;553
1011.76;554
1012.94;555
1014.18;556
1015.24;557
1016.44;558
1017.64;559
1018.94;560
1021.84;561
1022.9;562
1024.6;563
1026.26;564
1028.42;565
1030.34;566
1032.12;567
1033.64;568
1035.44;569
1037.04;570
1038.32;571
1039.96;572
1041.453333333;573
1042.9;574
1044.38;575
1045.76;576
1047.165;577
1048.52;578
1049.878684807;579
1051.22;580
1052.6;581
1053.82;582
1055.07;583
1056.38;584
1057.66;585
1058.88;586
1060.148333333;587
1061.525;588
1062.64;589
1064.07375;590
1065.405454545;591
1066.78;592
1067.961333333;593
