start;measure
0.2216666665;0.888
0.542666666;1
2.327104166;2
4.190498866;3
6.065291666;4
7.930052083;5
9.984;6
11.71;7
13.591;8
15.468004535;9
17.339002267;10
19.307006802;11
21.325;12
23.17;13
25.073990929;14
26.997006802;15
28.943;16
30.862993197;17
32.795;18
34.64600907;19
36.578;20
38.607;21
40.532;22
42.529;23
44.511;24
46.34;25
48.249002267;26
50.184988662;27
52.134988662;28
54.21;29
56.170997732;30
58.19;31
60.08;32
62.057006802;33
64.097006802;34
66.122;35
68.025011337;36
70.121;37
72.078004535;38
74.141995464;39
76.107;40
78.151995464;41
80.226;42
82.212993197;43
84.311;44
86.226;45
88.213990929;46
90.242;47
91.880997732;48
93.831995464;49
95.657006802;50
97.768004535;51
99.68;52
101.407006802;53
103.32;54
105.18;55
107.11;56
108.95;57
110.98;58
112.77;59
114.8;60
116.81;61
118.8;62
120.91;63
122.87;64
124.88;65
126.83;66
128.86;67
130.88;68
132.84;69
134.84;70
136.91;71
138.89;72
140.87;73
142.83;74
144.86;75
146.9;76
148.86;77
150.64;78
152.5;79
154.34;80
156.35;81
158.17;82
160.1;83
161.97;84
163.79;85
165.83;86
167.85;87
169.85;88
171.8;89
173.72;90
175.74;91
177.73;92
179.62;93
181.56;94
183.47;95
185.42;96
187.38;97
189.38;98
191.14;99
193.2;100
195.15;101
197.03;102
199.04;103
201;104
202.87;105
204.77;106
206.81;107
208.71;108
210.62;109
212.59;110
214.56;111
216.61;112
218.42;113
220.5;114
222.42;115
224.26;116
226.33;117
228.21;118
230.22;119
231.99;120
234.22;121
236.14;122
238.16;123
240.2;124
242.22;125
244.29;126
246.21;127
248.31;128
250.33;129
252.32;130
254.3;131
256.45;132
258.54;133
260.52;134
262.57;135
264.63;136
266.59;137
268.74;138
270.77;139
272.72;140
274.83;141
276.79;142
278.71;143
280.79;144
282.89;145
284.91;146
286.94;147
288.83;148
290.98;149
292.99;150
294.98;151
297.02;152
299.22;153
301.13;154
303.237460317;155
305.247256235;156
307.33;157
309.03;158
311.2;159
312.98;160
315.04;161
316.75;162
318.72;163
320.82;164
322.62;165
324.46;166
326.46;167
328.36;168
330.19;169
332.16;170
334.09;171
335.87;172
337.8425;173
339.58;174
341.56;175
343.56;176
345.48;177
347.45;178
349.24;179
351.28;180
353.16;181
355.15;182
357.15;183
359.18;184
361.09;185
363;186
364.674666666;187
366.85;188
368.72;189
370.65;190
372.62;191
374.55;192
376.34;193
378.31;194
380.14;195
382.19;196
384.28;197
386.07;198
388.08;199
390.02;200
392.02;201
394.03;202
395.91;203
397.94;204
399.81;205
401.67;206
403.43;207
405.135;208
407.03;209
408.65;210
410.42;211
412.01;212
413.8966666667;213
415.68;214
417.54;215
419.21;216
420.51;217
421.91;218
423.2;219
424.49;220
425.8;221
427.075;222
428.42;223
429.67;224
430.95;225
432.3;226
433.52;227
434.89;228
436.25;229
437.59;230
438.8433333333;231
440.15;232
441.35;233
442.77;234
444.01;235
445.26;236
446.66;237
447.8;238
448.94;239
450.21;240
451.61;241
452.84;242
454.12;243
455.46;244
456.7;245
458.08;246
459.3;247
460.51;248
461.87;249
463.12;250
464.37;251
465.72;252
467.05;253
468.46;254
470;255
471.75;256
472.89;257
474.275;258
475.415;259
476.69;260
478.16;261
479.72;262
481.14;263
482.632;264
484.08;265
485.47;266
486.94;267
488.23;268
489.77;269
491.21;270
492.74;271
494.46;272
496.11;273
497.68;274
499.28;275
500.9;276
502.4;277
503.95;278
505.69;279
507.37;280
508.88;281
510.47;282
512.09;283
513.67;284
515.23;285
516.682;286
518.415;287
519.89;288
521.65;289
523.24;290
524.91;291
526.45625;292
527.94;293
529.789931972;294
531.57;295
533.12;296
534.43;297
536.02;298
537.51;299
539.2;300
540.67;301
542.22;302
543.74;303
545.3048223733;304
546.84;305
548.41;306
550.0566666667;307
551.92;308
555.08;309
556.81;310
558.37;311
559.82;312
561.63;313
563.37;314
564.99;315
566.63;316
568.35;317
569.92;318
571.84;319
573.55;320
575.33;321
577;322
578.61;323
580.43;324
581.99;325
583.71;326
585.45;327
587.08;328
589.09;329
591.4;330
593.82;331
595.69;332
597.385;333
599.08;334
600.69;335
602.55;336
604.46;337
605.97;338
607.63;339
609.2717647059;340
610.69;341
612.48;342
614.22;343
615.81;344
617.36;345
619;346
620.4866666667;347
622.24;348
623.8;349
625.4;350
626.85;351
628.55;352
630.18;353
631.85;354
633.38;355
635.1;356
636.72;357
638.43;358
640.28;359
641.82;360
643.59;361
645.3;362
646.96;363
648.68;364
650.36;365
652.09;366
653.93;367
655.75;368
657.53;369
659.14;370
660.826;371
662.7;372
664.4;373
666.2;374
668.13;375
670.63;376
673.09;377
675.6;378
678.78;379
680.77;380
682.7;381
685.74;382
688.52;383
691.46;384
695.242666666;385
698.098125;386
701.05;387
704.46;388
707.569115646;389
710.34;390
713.22;391
715.91;392
718.75;393
721.6942857143;394
724.52;395
727.57;396
730.11;397
732.71;398
735.21;399
737.9;400
740.21;401
742.67;402
745.51;403
748.04;404
750.9;405
753.92;406
756.95;407
759.98;408
764.27;409
766.94;410
769.33;411
771.46;412
773.76;413
775.67;414
777.89;415
780.6;416
782.94;417
784.82;418
786.75;419
788.97;420
790.94;421
792.97;422
795.08;423
797.07;424
799.01;425
801.15;426
802.93;427
804.565;428
806.35;429
808.21;430
809.75;431
811.35;432
813.13;433
814.86;434
816.54;435
818.32;436
820.65;437
822.61;438
824.62;439
826.52;440
828.75;441
830.85;442
833.05;443
835.01;444
837.1475;445
839.14;446
841.315328798;447
843.35;448
845.23;449
847.07;450
849.02;451
850.75;452
852.64;453
854.32;454
856.28;455
858.14;456
859.84;457
861.72;458
863.6;459
865.543219954;460
867.3023529412;461
869.17;462
871.14;463
873.06;464
874.85;465
876.6;466
878.31;467
880.31;468
882.1;469
883.76;470
885.42;471
887.165;472
888.82;473
890.47;474
892.13;475
893.68;476
894.87;477
896.21;478
897.74;479
899.02;480
899.87;481
901.66;482
903.13;483
904.44;484
905.67;485
907.15;486
908.52;487
909.76;488
911.18;489
912.87;490
914.08;491
915.41;492
916.95;493
918.25;494
919.7;495
921.31;496
922.69;497
924.21;498
925.58;499
927.04;500
928.36;501
929.86;502
931.29;503
932.65;504
934.05;505
935.54;506
936.92;507
938.29;508
939.79;509
941.22;510
942.5836363636;511
943.86;512
945.18;513
946.53;514
947.88;515
949.23;516
950.42;517
951.85;518
953.565;519
954.71;520
956.24;521
957.42;522
958.87;523
960.2325;524
961.71;525
963.2;526
964.53;527
965.984;528
967.49;529
969.01;530
970.31;531
971.7;532
973.18;533
974.4;534
976.02;535
977.72;536
979.5466666667;537
981.352653061;538
982.8;539
984.26;540
986.1483333333;541
987.84;542
989.16;543
990.84;544
992.295;545
993.72;546
995.16;547
996.4516666667;548
997.73;549
999.14;550
1000.52;551
1002.08;552
1003.42;553
1004.76;554
1006.155111111;555
1007.54;556
1008.94;557
1010.22;558
1011.54;559
1012.96;560
1015.44;561
1016.68;562
1018.16;563
1019.62;564
1020.82;565
1022.42;566
1023.8;567
1025.1;568
1026.54;569
1027.76;570
1028.94;571
1030.426666667;572
1031.86;573
1033.24;574
1034.62;575
1035.94;576
1037.18;577
1038.56;578
1040.018684807;579
1041.42;580
1042.695;581
1044;582
1045.23;583
1046.72;584
1048.02;585
1049.38;586
1050.8;587
1052;588
1053.32;589
1054.58;590
1055.76;591
1057.18;592
1058.141333333;593
1059.32;594
1060.486153846;595
1061.556;596
1062.505;597
1063.5;598
1064.6;599
1065.465;600
1066.28;601
1067.486666667;602
1069.3;603
1070.78;604
1072.38;605
1074.08;606
1075.62;607
1077.14;608
1078.68;609
1080.26;610
1081.78;611
1083.26;612
1084.74;613
1086.32;614
1087.850666666;615
1089.3;616
1090.88;617
1092.44;618
1093.985;619
1095.48;620
1097.02;621
1098.555;622
1100.08;623
1101.64;624
1103.184;625
1104.72;626
1106.4;627
1107.98;628
1109.6;629
1111.004;630
1112.54;631
1114.44;632
1115.865;633
1117.62;634
1119.64;635
1121.46;636
1123.38;637
1125.366666667;638
1127.2075;639
1128.685;640
1130.62;641
1132.125714286;642
1133.76;643
1135.5;644
1137.16;645
1138.96;646
1140.58;647
1142.77;648
1144.225;649
1146.04;650
1148;651
1149.32;652
1151.1;653
1152.5025;654
1154.26;655
1156.1;656
1157.82;657
1159.44;658
1161.34;659
1163.22;660
1165.06;661
1167.06;662
1169.179455782;663
1171.395;664
1173.92;665
1176.16;666
1178.36;667
1180.5;668
1182.58;669
1185.125;670
1187.08;671
1189.342222222;672
1191.82;673
1193.68;674
1195.9;675
1198.14;676
1200.52;677
1202.6;678
1205;679
1206.5325;680
1209.42;681
1211.72;682
1214.02;683
1216.02;684
1218.52;685
1220.56;686
1222.9;687
1225.22;688
1227.46;689
1229.72;690
1231.78;691
1233.72;692
1236.06;693
1238.14;694
1240.34;695
1242.48;696
1244.46;697
1246.84;698
1248.84;699
1251.42;700
1253.43;701
1255.38;702
1257.94;703
1260.28;704
1262.815;705
1265.1;706
1267.36;707
1269.893333333;708
1272.48;709
1274.84;710
1277.34;711
1279.792199546;712
1282.3;713
1284.68;714
1287.3;715
1290.12;716
1292.74;717
1296.56;718
1299.54;719
1302.14;720
1305.14;721
1307.82;722
1309.94;723
1313.78;724
1316.74;725
1318.22;726
1321.88;727
1325.94;728
1329.64;729
1332.798333333;730
1337.78;731
1340.52;732
1344.72;733
1347.28;734
1349.72;735
1352;736
1354.1;737
1356.3;738
1358.24;739
1360.54;740
1362.47375;741
1364.48;742
1366.46;743
1368.4;744
1370.58;745
1372.46;746
1374.476;747
1376.56;748
1378.533333333;749
1380.84;750
1383.066848072;751
1385.08;752
1387.12;753
1389.3;754
1391.578666666;755
1393.46;756
1395.6;757
1397.52;758
1399.7;759
1401.52;760
1403.719727891;761
1405.74;762
1407.76;763
1409.82;764
1412;765
