start;measure
7.152108843;0.888
7.502666666;1
9.287104166;2
11.122104166;3
12.847891156;4
14.819977324;5
16.475011337;6
18.411995464;7
20.379002267;8
22.18600907;9
24.113;10
25.88;11
27.761995464;12
29.69600907;13
31.54600907;14
33.526;15
35.3795011335;16
37.316;17
39.212993197;18
41.00600907;19
42.804988662;20
44.761995464;21
46.652;22
48.569;23
50.348004535;24
52.234;25
54.109002267;26
55.951995464;27
57.847;28
59.69;29
61.513990929;30
63.35;31
65.28;32
67.232;33
69.057006802;34
71.042;35
72.903990929;36
74.781;37
76.8095;38
78.667006802;39
80.614988662;40
82.471995464;41
84.417006802;42
86.37;43
88.259002267;44
90.218004535;45
92.073990929;46
94.15;47
96.178004535;48
98.031995464;49
99.98585034;50
101.96600907;51
104.1066666667;52
106.01;53
107.92;54
110.138730158;55
112.36;56
114.23;57
116.3;58
118.39;59
120.62;60
122.69;61
124.68;62
126.71;63
128.63;64
130.66;65
132.69;66
134.68;67
136.68;68
138.54;69
140.49;70
142.4933333333;71
144.42;72
146.29;73
148.19;74
150.17;75
152.14;76
153.99;77
155.98;78
158.05;79
159.98;80
161.77;81
163.81;82
165.62;83
167.51;84
169.4;85
171.33;86
173.21;87
175.21;88
177.14;89
179.29;90
181.22;91
183.23;92
185.27;93
187.32;94
189.2;95
191.24;96
193.22;97
195.27;98
197.14;99
199.22;100
201.19;101
203.1;102
205.02;103
206.98;104
208.87;105
210.87;106
212.76;107
214.72;108
216.72;109
218.54;110
220.49;111
222.55;112
224.3;113
226.22;114
228.11;115
229.98;116
231.97;117
233.89;118
235.89;119
237.795;120
239.88;121
241.81;122
243.91;123
246.06;124
248.71;125
251.01;126
253.35;127
255.74;128
258.01;129
260.2;130
262.36;131
264.68;132
266.89;133
269.025;134
271.16;135
273.3;136
275.45;137
277.66;138
279.64;139
281.96;140
284.06;141
286.13;142
288.15;143
290.24;144
292.37;145
294.7;146
296.7;147
298.81;148
301.1;149
303.23;150
305.36;151
307.57;152
309.7;153
311.89;154
314.057460317;155
316.379333332;156
318.25;157
320.03;158
321.89;159
324.06;160
326.34;161
328.23;162
330.3;163
332.5;164
334.44;165
336.44;166
338.46;167
340.44;168
342.37;169
344.53;170
346.53;171
348.51;172
350.77;173
352.59;174
354.78;175
356.8;176
358.782857142;177
360.88;178
362.84;179
364.92;180
367.08;181
369.09;182
371.31;183
373.3;184
375.31;185
377.45;186
379.114666666;187
381.15;188
383.26;189
385.21;190
387.35;191
389.23;192
390.96;193
392.89;194
395.02;195
396.79;196
398.81;197
400.76;198
402.79;199
404.58;200
406.58;201
408.73;202
410.48;203
412.45;204
414.79;205
416.33;206
418.29;207
420.4;208
422.47;209
424.47;210
426.54;211
428.5;212
430.57;213
432.46;214
434.39;215
436.33;216
437.82;217
439.17;218
440.6;219
442.05;220
443.53;221
444.89;222
446.28;223
447.75;224
449.09;225
450.54;226
451.96;227
453.28;228
454.63;229
456.14;230
457.7;231
459.07;232
460.4;233
461.95;234
463.21;235
464.39;236
465.78;237
467.06;238
468.46;239
469.91;240
471.08;241
472.3;242
473.79;243
475.13;244
476.62;245
478.19;246
479.46;247
480.78;248
482.08;249
483.49;250
484.95;251
486.5;252
488.02;253
489.95;254
491.64;255
493.29;256
495.33;257
496.77;258
498.67;259
500.54;260
502.25;261
504.15;262
505.86;263
507.8;264
509.5;265
511.33;266
513.23;267
514.78;268
516.29;269
517.71;270
519.27;271
520.9;272
522.46;273
524.08;274
525.54;275
527.14;276
528.63;277
530.03;278
531.86;279
533.41;280
534.86;281
536.45;282
537.93;283
539.49;284
541.03;285
542.56;286
544.07;287
545.69;288
547.45;289
549.23;290
550.83;291
552.78;292
554.66;293
556.329863944;294
558.09;295
559.76;296
561.57;297
563.08;298
564.71;299
566.55;300
568.24;301
570.02;302
571.63;303
573.6;304
575.3;305
576.95;306
578.64;307
580.56;308
582.35;309
583.93;310
585.5;311
587.2;312
588.75;313
590.49;314
592.33;315
593.98;316
595.75;317
597.57;318
599.66;319
601.49;320
603.28;321
605.24;322
607.01;323
608.75;324
610.79;325
612.63;326
614.51;327
616.24;328
617.94;329
620.16;330
622.28;331
624.05;332
625.85;333
627.66;334
629.38;335
631.15;336
633.02;337
635.01;338
636.729333333;339
638.5;340
640.23;341
641.84;342
643.8;343
645.45;344
647.19;345
648.97;346
650.67;347
652.54;348
654.37;349
656.14;350
657.9;351
659.49;352
661.43;353
663.61;354
665.2;355
666.94;356
668.82;357
670.53;358
672.22;359
673.62;360
675.06;361
677;362
678.72;363
680.53;364
682.04;365
683.75;366
685.65;367
687.46;368
689.15;369
690.9;370
692.63;371
694.58;372
696.43;373
698.32;374
700.5;375
702.88;376
705.15;377
707.28;378
710.26;379
712.09;380
714.36;381
718.26;382
721.06;383
723.82;384
728.478185941;385
731.245759637;386
734.11;387
738.1533333333;388
741.209115646;389
743.5416666667;390
746.1428571429;391
748.8733333333;392
751.51;393
754.23;394
756.76;395
759.5432993197;396
762.51;397
764.95;398
767.22;399
769.5;400
771.85;401
774.07;402
776.57;403
778.84;404
781.64;405
785.06;406
787.83;407
790.68;408
794.11;409
796.36;410
798.45;411
800.245;412
802.18;413
803.88;414
805.78;415
807.58;416
809.63;417
811.7;418
813.58;419
815.36;420
817.36;421
819.23;422
821.48;423
823.33;424
825.21;425
827.35;426
828.99;427
830.79;428
832.37;429
834.16;430
836.06;431
837.87;432
839.79;433
841.66;434
843.46;435
845.5;436
848.41;437
850.77;438
852.8;439
854.8;440
856.85;441
858.95;442
860.95;443
862.79;444
864.68;445
866.66;446
868.475328798;447
870.37;448
871.98;449
873.75;450
875.54;451
877.22;452
879.05;453
881.37;454
883.48;455
885.28;456
887.52;457
889.55;458
891.54;459
893.86;460
895.76;461
898.02;462
899.92;463
901.6566666667;464
903.39;465
905.1;466
906.97;467
908.6528571429;468
910.72;469
912.47;470
914.2;471
916.04;472
917.92;473
919.86;474
921.61;475
922.92;476
924.07;477
925.11;478
926.36;479
927.48;480
928.63;481
929.58;482
931.12;483
932.1;484
933.13;485
934.46;486
935.54;487
936.76;488
938.11;489
939.32;490
940.59;491
941.73;492
943.01;493
944.26;494
945.48;495
947.01;496
948.21;497
949.41;498
950.95;499
952.08;500
953.178684807;501
954.469342403;502
955.85;503
957.09;504
958.33;505
959.68;506
960.96;507
962.31;508
963.51;509
964.88;510
966.15;511
967.35;512
968.62;513
970.01;514
971.09;515
972.35;516
973.58;517
975.03;518
976.5425;519
977.97;520
979.28;521
980.6655;522
981.9;523
983.44;524
985.09;525
986.78;526
989.25;527
991.19;528
992.85;529
994.31;530
995.76;531
997.0591666667;532
998.2;533
999.35;534
1001.118730158;535
1003.54;536
1006.499319727;537
1008.14585034;538
1009.76;539
1012.2375;540
1015.15;541
1016.841666667;542
1018.1025;543
1019.696;544
1020.8;545
1022.22;546
1023.64;547
1024.625;548
1025.84;549
1027.15;550
1028.306666666;551
1029.72;552
1030.635;553
1032.22;554
1033.34;555
1034.553333333;556
1035.8;557
1036.92;558
1038.08;559
1039.62;560
1041.74;561
1042.24;562
1043.736;563
1045.22;564
1046.76;565
1048.2;566
1049.64;567
1051.08;568
1052.6;569
1053.84;570
1055.045;571
1056.62;572
1057.98;573
1059.36;574
1060.8;575
1062.34;576
1063.74;577
1065.06;578
1066.438684807;579
1067.82;580
1069;581
1070.36;582
