start;measure
5.263605442;0.888
5.662666666;1
7.638552083;2
9.534195011;3
11.645291666;4
13.524988662;5
15.59;6
17.551995464;7
19.551;8
21.501;9
23.5;10
25.4;11
27.625;12
29.553990929;13
31.573990929;14
33.686;15
35.720997732;16
37.831995464;17
39.935;18
41.929002267;19
44.024988662;20
46.127;21
48.160997732;22
50.329;23
52.431;24
54.38;25
56.366;26
58.497;27
60.627;28
62.67;29
64.890997732;30
66.887;31
69.010997732;32
71.077006802;33
73.277006802;34
75.462;35
77.521;36
79.765;37
82.029;38
84.21;39
86.361995464;40
88.683;41
90.886;42
92.97600907;43
95.17600907;44
97.358004535;45
99.453990929;46
101.59;47
103.698004535;48
105.751995464;49
107.82585034;50
109.988004535;51
112.10600907;52
114.09;53
116.16;54
118.458730158;55
120.59;56
122.74;57
124.9;58
126.92;59
129.12;60
131.37;61
133.62;62
135.76;63
138.03;64
140.14;65
142.34;66
144.58;67
146.8;68
149.03;69
151.18;70
153.45;71
155.64;72
157.71;73
159.91;74
161.99;75
164.153786848;76
166.38;77
168.42;78
170.37;79
172.42;80
174.43;81
176.56;82
178.62;83
180.75;84
182.88;85
185.05;86
187.34;87
189.71;88
192.02;89
194.32;90
196.46;91
198.69;92
200.6475;93
202.68;94
204.91;95
206.95;96
209.18;97
211.35;98
213.31;99
215.66;100
217.73;101
219.9;102
222.04;103
224.15;104
226.25;105
228.43;106
230.36;107
232.69;108
234.8;109
236.87;110
238.96;111
240.9;112
243.26;113
245.45;114
247.59;115
249.6;116
251.93;117
254.12;118
256.14;119
258.16;120
260.36;121
262.51;122
264.97;123
267.14;124
269.58;125
272.07;126
274.39;127
276.85;128
279.27;129
281.67;130
284;131
286.46;132
288.75;133
291.22;134
293.48;135
295.88;136
298.13;137
300.52;138
302.72;139
305.1;140
307.38;141
309.53;142
311.73;143
313.92;144
316.09;145
318.34;146
320.4;147
322.57;148
324.76;149
326.97;150
329.24;151
331.53;152
333.8;153
335.99;154
338.097460317;155
340.14;156
342.47;157
344.33;158
346.25;159
348.57;160
350.82;161
352.73;162
354.94;163
357.16;164
359.16;165
361.27;166
363.45;167
365.84;168
367.66;169
369.64;170
371.71;171
373.83;172
376.02;173
378.22;174
380.05;175
382.14;176
384.222857142;177
386.23;178
388.29;179
390.36;180
392.49;181
394.8;182
396.93;183
399.16;184
401.21;185
403.11;186
405.04;187
407.13;188
409.25;189
411.23;190
413.36;191
415.41;192
417.44;193
419.61;194
421.7;195
423.67;196
425.81;197
427.72;198
429.98;199
431.81;200
434.02;201
436.09;202
438.19;203
440.33;204
442.5;205
444.566;206
446.59;207
448.76;208
450.75;209
452.83;210
454.94;211
457.12;212
459.3;213
461.44;214
463.6;215
465.41;216
467.25;217
468.77;218
470.27;219
471.75;220
473.3;221
474.72;222
476.16;223
477.67;224
479.05;225
480.5;226
481.98;227
483.51;228
484.93;229
486.4;230
488.035;231
489.45;232
490.83;233
492.57;234
493.9;235
495.2;236
496.69;237
498.14;238
499.8;239
501.09;240
502.82;241
504.2;242
505.68;243
507.15;244
508.54;245
510.11;246
511.44;247
513.01;248
514.42;249
515.77;250
517.37;251
518.92;252
520.47;253
522.39;254
524.48;255
526.17;256
528.67;257
530.57;258
532.22;259
533.98;260
535.95;261
537.83;262
539.92;263
541.82;264
543.62;265
545.39;266
547.39;267
549.08;268
550.77;269
552.27;270
553.86;271
555.49;272
557.65;273
559.39;274
561.14;275
562.98;276
564.62;277
566.35;278
568.81;279
570.37;280
572.59;281
574.29;282
576.07;283
577.73;284
579.56;285
581.25;286
582.93;287
584.71;288
586.61;289
588.4;290
589.95;291
591.77;292
593.63;293
595.46;294
597.37;295
599.02;296
600.7;297
602.54;298
604.27;299
605.97;300
607.73;301
609.46;302
611.29;303
613.18;304
614.78;305
616.56;306
618.4;307
620.34;308
622.85;309
624.61;310
626.49;311
628.35;312
630.39;313
632.27;314
634.01;315
635.8;316
637.79;317
639.65;318
641.94;319
644.04;320
646.11;321
