start;end;pitch;pitchclass
0.78;0.78;59;11
0.78;0.78;61;1
0.78;0.78;62;2
0.78;0.825;64;4
0.825;0.925;66;6
0.925;1.07;67;7
1.07;1.185;66;6
1.185;1.285;67;7
1.285;1.385;66;6
1.385;1.485;67;7
1.485;1.585;66;6
1.585;1.685;67;7
1.685;1.785;66;6
1.785;1.885;67;7
1.885;1.985;66;6
1.985;2.085;67;7
2.085;2.185;66;6
2.185;2.285;67;7
2.285;2.485;66;6
2.485;2.535;50;2
2.535;2.585;52;4
2.585;2.635;54;6
2.635;2.685;55;7
2.685;2.805;78;6
2.805;2.905;79;7
2.905;3.025;78;6
3.025;3.125;79;7
3.125;3.225;78;6
3.225;3.325;79;7
3.325;3.445;78;6
3.445;3.545;79;7
3.545;3.66;78;6
3.66;3.785;79;7
3.785;3.885;78;6
3.885;3.985;79;7
3.985;4.085;78;6
4.085;4.185;79;7
4.185;4.385;78;6
4.385;4.435;62;2
4.435;4.485;64;4
4.485;4.535;66;6
4.535;4.585;67;7
4.585;4.685;90;6
4.685;4.785;91;7
4.785;4.885;90;6
4.885;5.005;91;7
5.005;5.105;90;6
5.105;5.245;91;7
5.245;5.345;90;6
5.345;5.445;91;7
5.445;5.545;90;6
5.545;5.665;91;7
5.665;5.765;90;6
5.765;5.865;91;7
5.865;6.005;90;6
6.005;6.105;91;7
6.105;6.325;90;6
6.325;6.375;50;2
6.375;6.425;52;4
6.425;6.475;54;6
6.475;6.525;55;7
6.525;6.625;78;6
6.625;6.725;79;7
6.725;6.845;78;6
6.845;6.945;79;7
6.945;7.045;78;6
7.045;7.185;79;7
7.185;7.285;78;6
7.285;7.405;79;7
7.405;7.505;78;6
7.505;7.605;79;7
7.605;7.705;78;6
7.705;7.805;79;7
7.805;7.925;78;6
7.925;8.025;79;7
8.025;8.225;78;6
8.225;8.295;38;2
8.295;8.445;40;4
8.445;8.495;42;6
8.495;8.545;43;7
8.545;8.645;66;6
8.645;8.745;67;7
8.745;8.845;66;6
8.845;8.945;67;7
8.945;9.045;66;6
9.045;9.145;67;7
9.145;9.245;66;6
9.145;9.445;47;11
9.245;9.345;67;7
