start;end;pitch;pitchclass
1;1;59;11
1;1;61;1
1;1;62;2
1;1.025;64;4
1.025;1.125;66;6
1.125;1.225;67;7
1.225;1.325;66;6
1.325;1.425;67;7
1.425;1.525;66;6
1.525;1.625;67;7
1.625;1.725;66;6
1.725;1.825;67;7
1.825;1.925;66;6
1.925;2.025;67;7
2.025;2.125;66;6
2.125;2.225;67;7
2.225;2.365;66;6
2.365;2.465;67;7
2.465;2.665;66;6
2.665;2.715;50;2
2.715;2.765;52;4
2.765;2.815;54;6
2.815;2.865;55;7
2.865;2.965;78;6
2.965;3.065;79;7
3.065;3.165;78;6
3.165;3.265;79;7
3.265;3.365;78;6
3.365;3.465;79;7
3.465;3.565;78;6
3.565;3.665;79;7
3.665;3.765;78;6
3.765;3.865;79;7
3.865;3.965;78;6
3.965;4.065;79;7
4.065;4.165;78;6
4.165;4.265;79;7
4.265;4.465;78;6
4.465;4.515;62;2
4.515;4.565;64;4
4.565;4.6025;66;6
4.6025;4.645;67;7
4.645;4.745;90;6
4.745;4.845;91;7
4.845;4.945;90;6
4.945;5.025;91;7
5.025;5.0883;90;6
5.0883;5.185;91;7
5.185;5.285;90;6
5.285;5.385;91;7
5.385;5.445;90;6
5.445;5.5217;91;7
5.5217;5.605;90;6
5.605;5.705;91;7
5.705;5.805;90;6
5.805;5.905;91;7
5.905;6.0488;90;6
6.0488;6.095;50;2
6.095;6.145;52;4
6.145;6.195;54;6
6.195;6.245;55;7
6.245;6.345;78;6
6.345;6.445;79;7
6.445;6.565;78;6
6.565;6.665;79;7
6.665;6.765;78;6
6.765;6.865;79;7
6.865;6.965;78;6
6.965;7.065;79;7
7.065;7.165;78;6
7.165;7.265;79;7
7.265;7.385;78;6
7.385;7.485;79;7
7.485;7.585;78;6
7.585;7.685;79;7
7.685;7.885;78;6
7.885;7.94;38;2
7.94;8.035;40;4
8.035;8.095;42;6
8.095;8.145;43;7
8.145;8.32;66;6
8.32;8.545;67;7
8.545;8.645;66;6
8.645;8.745;67;7
8.745;8.845;66;6
8.845;8.96;67;7
8.96;9.065;66;6
8.96;9.265;47;11
9.065;9.165;67;7
9.165;9.265;66;6
9.265;9.365;67;7
9.265;9.365;59;11
9.365;9.465;66;6
9.365;9.565;54;6
9.465;9.565;67;7
9.565;9.765;66;6
9.565;9.865;54;6
9.865;9.965;66;6
9.965;10.015;71;11
9.965;10.165;59;11
10.015;10.065;73;1
10.065;10.115;74;2
10.115;10.165;76;4
10.165;10.265;78;6
10.265;10.365;79;7
10.365;10.465;78;6
10.465;10.565;79;7
10.565;10.665;78;6
10.665;10.765;79;7
10.765;10.848;78;6
10.765;11.045;47;11
10.848;10.945;79;7
10.945;11.045;78;6
11.045;11.145;79;7
11.045;11.145;59;11
11.145;11.225;78;6
11.145;11.325;54;6
11.225;11.325;79;7
11.325;11.525;78;6
11.325;11.625;54;6
11.625;11.725;66;6
11.725;11.775;83;11
11.725;11.925;59;11
11.775;11.825;85;1
11.825;11.875;86;2
11.875;11.925;88;4
11.925;12.025;90;6
12.025;12.125;91;7
12.125;12.225;90;6
12.225;12.405;91;7
12.405;12.52;90;6
12.52;12.765;91;7
12.765;12.865;90;6
12.765;13.065;47;11
12.865;12.965;91;7
12.965;13.065;90;6
13.065;13.165;91;7
13.065;13.165;59;11
13.165;13.265;90;6
13.165;13.365;54;6
13.265;13.365;91;7
13.365;13.565;90;6
13.365;13.665;54;6
13.665;13.765;66;6
13.765;13.815;71;11
13.765;13.965;59;11
13.815;13.865;73;1
13.865;13.915;74;2
13.915;13.965;76;4
13.965;14.065;78;6
14.065;14.165;79;7
14.165;14.265;78;6
14.265;14.365;79;7
14.365;14.48;78;6
14.48;14.645;79;7
14.645;14.745;78;6
14.645;14.945;47;11
14.745;14.845;79;7
14.845;14.945;78;6
14.945;15.045;79;7
14.945;15.045;59;11
15.045;15.145;78;6
15.045;15.245;54;6
15.145;15.245;79;7
15.245;15.445;78;6
15.245;15.545;54;6
15.545;15.645;66;6
15.645;15.845;59;11
15.845;16.465;66;6
15.945;16.045;78;6
16.045;16.145;90;6
16.145;16.245;86;2
16.245;16.345;83;11
16.345;16.465;78;6
16.465;16.765;47;11
16.565;16.665;74;2
16.665;16.765;86;2
16.765;16.865;83;11
16.765;16.865;59;11
16.865;16.985;78;6
16.865;17.085;54;6
16.985;17.085;74;2
17.085;17.385;54;6
17.185;17.285;71;11
17.285;17.385;83;11
17.385;17.545;78;6
17.385;17.545;66;6
17.545;17.645;74;2
17.545;17.745;59;11
17.645;17.745;71;11
17.745;18.345;66;6
17.845;17.945;78;6
17.945;18.045;90;6
18.045;18.145;86;2
18.145;18.245;83;11
18.245;18.345;78;6
18.345;18.66;47;11
18.445;18.545;74;2
18.545;18.66;86;2
18.66;18.765;83;11
18.66;18.765;59;11
18.765;18.865;78;6
18.765;18.965;54;6
18.865;18.965;74;2
18.965;19.28;54;6
19.065;19.165;71;11
19.165;19.28;83;11
19.28;19.385;78;6
19.28;19.385;66;6
19.385;19.485;74;2
19.385;19.585;59;11
19.485;19.585;71;11
19.585;20.185;66;6
19.685;19.785;78;6
19.785;19.885;90;6
19.885;19.985;86;2
19.985;20.085;83;11
20.085;20.185;78;6
20.185;20.485;47;11
20.285;20.385;74;2
20.385;20.485;86;2
20.485;20.585;83;11
20.485;20.585;59;11
20.585;20.685;78;6
20.585;20.785;54;6
20.685;20.785;74;2
20.785;21.085;54;6
20.885;20.985;71;11
20.985;21.085;83;11
21.085;21.205;78;6
21.085;21.205;66;6
21.205;21.305;74;2
21.205;21.405;59;11
21.305;21.405;71;11
21.405;22.005;66;6
21.505;21.605;78;6
21.605;21.705;90;6
21.705;21.805;86;2
21.805;21.905;83;11
21.905;22.005;78;6
22.005;22.305;47;11
22.105;22.205;74;2
22.205;22.305;86;2
22.305;22.405;83;11
22.305;22.405;59;11
22.405;22.505;78;6
22.405;22.62;54;6
22.505;22.62;74;2
22.62;22.825;66;6
22.725;22.825;71;11
22.825;22.925;83;11
22.925;23.085;78;6
23.085;23.305;74;2
23.085;23.405;54;6
23.305;23.405;71;11
23.405;23.705;59;11
23.505;23.605;74;2
23.605;23.705;86;2
23.705;23.825;83;11
23.705;23.825;54;6
23.825;23.925;78;6
23.825;24.025;59;11
23.925;24.025;74;2
24.025;24.67;62;2
24.125;24.225;71;11
24.225;24.325;83;11
24.325;24.425;78;6
24.425;24.525;74;2
24.525;24.67;71;11
24.67;25.305;59;11
24.785;24.885;66;6
24.885;24.985;78;6
24.985;25.1;74;2
25.1;25.205;71;11
25.205;25.305;66;6
25.305;25.605;62;2
25.405;25.505;78;6
25.505;25.605;90;6
25.605;25.725;86;2
25.605;25.725;59;11
25.725;25.825;83;11
25.725;25.925;62;2
25.825;25.925;78;6
25.925;26.605;66;6
26.025;26.125;74;2
26.125;26.26;86;2
26.26;26.405;83;11
26.405;26.505;78;6
26.505;26.605;74;2
26.605;27.325;62;2
26.765;26.865;71;11
26.865;27.01;83;11
27.01;27.125;78;6
27.125;27.225;74;2
27.225;27.325;71;11
27.325;27.625;66;6
27.425;27.525;81;9
27.525;27.625;93;9
27.625;27.76;90;6
27.625;27.76;62;2
27.76;27.945;86;2
27.76;28.085;66;6
27.945;28.085;81;9
28.085;28.685;69;9
28.185;28.285;78;6
28.285;28.385;90;6
28.385;28.485;86;2
28.485;28.585;81;9
28.585;28.685;78;6
28.685;29.285;57;9
28.785;28.885;76;4
28.885;28.985;88;4
28.985;29.085;85;1
29.085;29.185;81;9
29.185;29.285;76;4
29.285;29.585;62;2
29.385;29.485;81;9
29.485;29.585;93;9
29.585;29.685;90;6
29.585;29.685;57;9
29.685;29.785;86;2
29.685;29.885;62;2
29.785;29.885;81;9
29.885;31.265;66;6
29.985;30.085;78;6
30.085;30.185;90;6
30.185;30.285;86;2
30.285;30.385;81;9
30.385;30.485;78;6
30.585;30.685;74;2
30.685;30.785;86;2
30.785;30.885;81;9
30.885;31.15;78;6
31.15;31.265;74;2
31.265;31.925;69;9
31.365;31.465;81;9
31.465;31.625;93;9
31.625;31.725;90;6
31.725;31.825;86;2
31.825;31.925;81;9
31.925;32.225;50;2
32.025;32.125;78;6
32.125;32.225;90;6
32.225;32.355;86;2
32.225;32.355;62;2
32.355;32.465;81;9
32.355;32.565;57;9
32.465;32.565;78;6
32.565;32.885;57;9
32.665;32.765;74;2
32.765;32.885;86;2
32.885;32.985;81;9
32.885;32.985;69;9
32.985;33.085;78;6
32.985;33.185;62;2
33.085;33.185;74;2
33.185;33.785;69;9
33.285;33.385;81;9
33.385;33.485;93;9
33.485;33.585;90;6
33.585;33.685;86;2
33.685;33.785;81;9
33.785;34.085;50;2
33.885;33.985;78;6
33.985;34.085;90;6
34.085;34.185;86;2
34.085;34.185;62;2
34.185;34.285;81;9
34.185;34.385;57;9
34.285;34.385;78;6
34.385;34.715;57;9
34.485;34.585;74;2
34.585;34.715;86;2
34.715;34.825;81;9
34.715;34.825;69;9
34.825;34.925;78;6
34.825;35.025;62;2
34.925;35.025;74;2
35.025;35.625;69;9
35.125;35.225;81;9
35.225;35.325;93;9
35.325;35.425;90;6
35.425;35.525;86;2
35.525;35.625;81;9
35.625;35.925;50;2
35.725;35.825;78;6
35.825;35.925;90;6
35.925;36.025;86;2
35.925;36.025;62;2
36.025;36.125;81;9
36.025;36.225;57;9
36.125;36.225;78;6
36.225;36.425;69;9
36.325;36.425;74;2
36.425;36.525;86;2
36.525;36.745;81;9
36.745;36.845;78;6
36.745;36.945;57;9
36.845;36.945;74;2
36.945;37.245;62;2
37.045;37.145;78;6
37.145;37.245;90;6
37.245;37.345;86;2
37.245;37.345;57;9
37.345;37.445;81;9
37.345;37.545;62;2
37.445;37.545;78;6
37.545;38.245;66;6
37.645;37.745;74;2
37.745;37.845;86;2
37.845;37.96;81;9
37.96;38.145;78;6
38.145;38.245;74;2
38.245;38.985;62;2
38.385;38.485;69;9
38.485;38.685;81;9
38.685;38.785;78;6
38.785;38.885;74;2
38.885;38.985;69;9
38.985;39.345;66;6
39.085;39.205;81;9
39.205;39.345;93;9
39.345;39.485;90;6
39.345;39.485;62;2
39.485;39.585;86;2
39.485;39.685;66;6
39.585;39.685;81;9
39.685;40.285;69;9
39.785;39.885;78;6
39.885;39.985;90;6
39.985;40.085;86;2
40.085;40.185;81;9
40.185;40.285;78;6
40.285;40.925;66;6
40.385;40.485;74;2
40.485;40.585;86;2
40.585;40.685;81;9
40.685;40.785;78;6
40.785;40.925;74;2
40.925;41.225;69;9
41.025;41.125;85;1
41.125;41.225;97;1
41.225;41.325;93;9
41.225;41.325;66;6
41.325;41.425;90;6
41.325;41.525;69;9
41.425;41.525;85;1
41.525;42.125;73;1
41.625;41.725;81;9
41.725;41.825;93;9
41.825;41.925;90;6
41.925;42.025;85;1
42.025;42.125;81;9
42.125;42.905;61;1
42.225;42.325;80;8
42.325;42.565;92;8
42.565;42.665;89;5
42.665;42.765;85;1
42.765;42.905;80;8
42.905;43.225;66;6
43.025;43.125;78;6
43.125;43.225;90;6
43.225;43.325;85;1
43.225;43.325;61;1
43.325;43.425;82;10
43.325;43.525;66;6
43.425;43.525;78;6
43.525;44.125;70;10
43.625;43.725;73;1
43.725;43.825;85;1
43.825;43.925;82;10
43.925;44.025;78;6
44.025;44.125;73;1
44.125;44.425;54;6
44.225;44.325;70;10
44.325;44.425;82;10
44.425;44.525;78;6
44.425;44.525;66;6
44.525;44.625;73;1
44.525;44.725;61;1
44.625;44.725;70;10
44.725;45.365;66;6
44.725;45.365;70;10
44.825;44.925;78;6
44.925;45.025;90;6
45.025;45.145;85;1
45.145;45.265;82;10
45.265;45.365;78;6
45.365;45.725;42;6
45.465;45.58;73;1
45.58;45.725;85;1
45.725;45.825;82;10
45.725;45.825;61;1
45.825;45.925;78;6
45.825;46.025;54;6
45.925;46.025;73;1
46.025;46.325;54;6
46.125;46.225;70;10
46.225;46.325;82;10
46.325;46.465;78;6
46.325;46.465;66;6
46.465;46.565;73;1
46.465;46.665;61;1
46.565;46.665;70;10
46.665;47.265;66;6
46.665;47.265;70;10
46.765;46.865;78;6
46.865;46.965;90;6
46.965;47.065;85;1
47.065;47.165;82;10
47.165;47.265;78;6
47.265;47.565;42;6
47.365;47.465;73;1
47.465;47.565;85;1
47.565;47.685;82;10
47.565;47.685;61;1
47.685;47.785;78;6
47.685;47.885;54;6
47.785;47.885;73;1
47.885;48.205;54;6
47.985;48.085;70;10
48.085;48.205;82;10
48.205;48.305;78;6
48.205;48.305;66;6
48.305;48.405;73;1
48.305;48.505;61;1
48.405;48.505;70;10
48.505;49.185;66;6
48.505;49.185;70;10
48.605;48.765;78;6
48.765;48.865;90;6
48.865;48.965;85;1
48.965;49.085;82;10
49.085;49.185;78;6
49.185;49.485;42;6
49.285;49.385;73;1
49.385;49.485;85;1
49.485;49.585;82;10
49.485;49.585;61;1
49.585;49.715;78;6
49.585;49.865;54;6
49.715;49.865;73;1
49.865;50.065;66;6
49.965;50.065;70;10
50.065;50.165;82;10
50.165;50.265;78;6
50.265;50.365;73;1
50.265;50.465;54;6
50.365;50.465;70;10
50.465;50.765;55;7
50.565;50.665;76;4
50.665;50.765;88;4
50.765;50.965;83;11
50.765;50.965;52;4
50.965;51.065;79;7
50.965;51.165;55;7
51.065;51.165;76;4
51.165;52.105;59;11
51.285;51.385;74;2
51.385;51.565;86;2
51.565;51.665;83;11
51.665;51.765;78;6
51.765;51.865;74;2
51.965;52.105;71;11
52.105;52.205;83;11
52.205;52.305;78;6
52.305;52.405;74;2
52.305;52.505;66;6
52.405;52.505;71;11
52.505;52.805;67;7
52.605;52.705;76;4
52.705;52.805;88;4
52.805;52.905;83;11
52.805;52.905;64;4
52.905;53.005;79;7
52.905;53.105;67;7
53.005;53.105;76;4
53.105;54.005;71;11
53.225;53.365;74;2
53.365;53.465;86;2
53.465;53.565;83;11
53.565;53.665;78;6
53.665;53.8;74;2
53.905;54.005;71;11
54.005;54.105;83;11
54.105;54.205;78;6
54.205;54.305;74;2
54.205;54.405;54;6
54.205;54.405;66;6
54.305;54.405;71;11
54.405;54.705;55;7
54.405;54.705;67;7
54.505;54.605;76;4
54.605;54.705;88;4
54.705;54.805;83;11
54.705;54.805;52;4
54.705;54.805;64;4
54.805;54.905;79;7
54.805;55.005;55;7
54.805;55.005;67;7
54.905;55.005;76;4
55.005;55.665;60;0
55.005;55.665;72;0
