start;end;pitch;pitchclass
3.26;3.26;59;11
3.26;3.26;61;1
3.26;3.26;62;2
3.26;3.285;64;4
3.285;3.385;66;6
3.385;3.485;67;7
3.485;3.585;66;6
3.585;3.685;67;7
3.685;3.785;66;6
3.785;3.885;67;7
3.885;3.985;66;6
3.985;4.085;67;7
4.085;4.185;66;6
4.185;4.285;67;7
4.285;4.385;66;6
4.385;4.485;67;7
4.485;4.585;66;6
4.585;4.685;67;7
4.685;4.885;66;6
4.885;4.935;50;2
4.935;4.985;52;4
4.985;5.035;54;6
5.035;5.105;55;7
5.105;5.205;78;6
5.205;5.305;79;7
5.305;5.405;78;6
5.405;5.505;79;7
5.505;5.605;78;6
5.605;5.705;79;7
5.705;5.805;78;6
5.805;5.885;79;7
5.885;5.985;78;6
5.985;6.085;79;7
6.085;6.185;78;6
6.185;6.285;79;7
6.285;6.385;78;6
6.385;6.485;79;7
6.485;6.685;78;6
6.685;6.735;62;2
6.735;6.785;64;4
6.785;6.835;66;6
6.835;6.885;67;7
6.885;6.985;90;6
6.985;7.085;91;7
7.085;7.185;90;6
7.185;7.285;91;7
7.285;7.385;90;6
7.385;7.485;91;7
7.485;7.585;90;6
7.585;7.685;91;7
7.685;7.785;90;6
7.785;7.885;91;7
7.885;7.975;90;6
7.975;8.045;91;7
8.045;8.145;90;6
8.145;8.245;91;7
8.245;8.445;90;6
8.445;8.495;50;2
8.495;8.545;52;4
8.545;8.595;54;6
8.595;8.645;55;7
8.645;8.745;78;6
8.745;8.845;79;7
8.845;8.925;78;6
8.925;9.025;79;7
9.025;9.125;78;6
9.125;9.225;79;7
9.225;9.325;78;6
9.325;9.425;79;7
9.425;9.525;78;6
9.525;9.625;79;7
9.625;9.725;78;6
9.725;9.825;79;7
9.825;9.925;78;6
9.925;10.025;79;7
10.025;10.225;78;6
10.225;10.275;38;2
10.275;10.325;40;4
10.325;10.375;42;6
10.375;10.425;43;7
10.425;10.525;66;6
10.525;10.625;67;7
10.625;10.725;66;6
10.725;10.825;67;7
10.825;10.925;66;6
10.925;11.065;67;7
11.065;11.165;66;6
11.065;11.365;47;11
11.165;11.265;67;7
11.265;11.365;66;6
11.365;11.5;67;7
11.365;11.5;59;11
11.5;11.605;66;6
11.5;11.705;54;6
11.605;11.705;67;7
11.705;11.905;66;6
11.705;12.005;54;6
12.005;12.105;66;6
12.105;12.155;71;11
12.105;12.345;59;11
12.155;12.205;73;1
12.205;12.255;74;2
12.255;12.345;76;4
12.345;12.445;78;6
12.445;12.545;79;7
12.545;12.645;78;6
12.645;12.745;79;7
12.745;12.845;78;6
12.845;12.945;79;7
12.945;13.045;78;6
12.945;13.245;47;11
13.045;13.145;79;7
13.145;13.245;78;6
13.245;13.345;79;7
13.245;13.345;59;11
13.345;13.445;78;6
13.345;13.545;54;6
13.445;13.545;79;7
13.545;13.745;78;6
13.545;13.845;54;6
13.845;13.945;66;6
13.945;13.995;83;11
13.945;14.145;59;11
13.995;14.045;85;1
14.045;14.095;86;2
14.095;14.145;88;4
14.145;14.285;90;6
14.285;14.385;91;7
14.385;14.545;90;6
14.545;14.645;91;7
14.645;14.745;90;6
14.745;14.845;91;7
14.845;14.945;90;6
14.845;15.145;47;11
14.945;15.045;91;7
15.045;15.145;90;6
15.145;15.265;91;7
15.145;15.265;59;11
15.265;15.365;90;6
15.265;15.485;54;6
15.365;15.485;91;7
15.485;15.685;90;6
15.485;15.785;54;6
15.785;15.885;66;6
15.885;15.935;71;11
15.885;16.085;59;11
15.935;15.985;73;1
15.985;16.035;74;2
16.035;16.085;76;4
16.085;16.185;78;6
16.185;16.285;79;7
16.285;16.385;78;6
16.385;16.485;79;7
16.485;16.585;78;6
16.585;16.725;79;7
16.725;16.825;78;6
16.725;17.025;47;11
16.825;16.925;79;7
16.925;17.025;78;6
17.025;17.125;79;7
17.025;17.125;59;11
17.125;17.225;78;6
17.125;17.325;54;6
17.225;17.325;79;7
17.325;17.525;78;6
17.325;17.625;54;6
17.625;17.725;66;6
17.725;17.925;59;11
17.925;18.545;66;6
18.025;18.125;78;6
18.125;18.225;90;6
18.225;18.325;86;2
18.325;18.425;83;11
18.425;18.545;78;6
18.545;18.865;47;11
18.645;18.765;74;2
18.765;18.865;86;2
18.865;18.965;83;11
18.865;18.965;59;11
18.965;19.065;78;6
18.965;19.165;54;6
19.065;19.165;74;2
19.165;19.465;54;6
19.265;19.365;71;11
19.365;19.465;83;11
19.465;19.565;78;6
19.465;19.565;66;6
19.565;19.665;74;2
19.565;19.765;59;11
19.665;19.765;71;11
19.765;20.365;66;6
19.865;19.965;78;6
19.965;20.065;90;6
20.065;20.165;86;2
20.165;20.265;83;11
20.265;20.365;78;6
20.365;20.665;47;11
20.465;20.565;74;2
20.565;20.665;86;2
20.665;20.785;83;11
20.665;20.785;59;11
20.785;20.885;78;6
20.785;20.985;54;6
20.885;20.985;74;2
20.985;21.285;54;6
21.085;21.185;71;11
21.185;21.285;83;11
21.285;21.385;78;6
21.285;21.385;66;6
21.385;21.485;74;2
21.385;21.605;59;11
21.485;21.605;71;11
21.605;22.205;66;6
21.705;21.805;78;6
21.805;21.905;90;6
21.905;22.005;86;2
22.005;22.105;83;11
22.105;22.205;78;6
22.205;22.525;47;11
22.305;22.405;74;2
22.405;22.525;86;2
22.525;22.625;83;11
22.525;22.625;59;11
22.625;22.725;78;6
22.625;22.825;54;6
22.725;22.825;74;2
22.825;23.165;54;6
22.945;23.065;71;11
23.065;23.165;83;11
23.165;23.285;78;6
23.165;23.285;66;6
23.285;23.385;74;2
23.285;23.485;59;11
23.385;23.485;71;11
23.485;24.085;66;6
23.585;23.685;78;6
23.685;23.785;90;6
23.785;23.885;86;2
23.885;23.985;83;11
23.985;24.085;78;6
24.085;24.385;47;11
24.185;24.285;74;2
24.285;24.385;86;2
24.385;24.485;83;11
24.385;24.485;59;11
24.485;24.585;78;6
24.485;24.685;54;6
24.585;24.685;74;2
24.685;24.885;66;6
24.785;24.885;71;11
