start;end;pitch;pitchclass
1.44;1.44;59;11
1.44;1.44;61;1
1.44;1.44;62;2
1.44;1.465;64;4
1.465;1.565;66;6
1.565;1.665;67;7
1.665;1.765;66;6
1.765;1.865;67;7
1.865;1.965;66;6
1.965;2.065;67;7
2.065;2.165;66;6
2.165;2.265;67;7
2.265;2.365;66;6
2.365;2.465;67;7
2.465;2.565;66;6
2.565;2.665;67;7
2.665;2.805;66;6
2.805;2.905;67;7
2.905;3.105;66;6
3.105;3.155;50;2
3.155;3.205;52;4
3.205;3.255;54;6
3.255;3.305;55;7
3.305;3.565;78;6
3.565;3.665;79;7
3.665;3.765;78;6
3.765;3.865;79;7
3.865;3.985;78;6
3.985;4.085;79;7
4.085;4.185;78;6
4.185;4.285;79;7
4.285;4.385;78;6
4.385;4.485;79;7
4.485;4.585;78;6
4.585;4.685;79;7
4.685;4.785;78;6
4.785;4.885;79;7
4.885;5.085;78;6
5.085;5.135;62;2
5.135;5.185;64;4
5.185;5.235;66;6
5.235;5.285;67;7
5.285;5.385;90;6
5.385;5.485;91;7
5.485;5.585;90;6
5.585;5.685;91;7
5.685;5.785;90;6
5.785;5.885;91;7
5.885;5.985;90;6
5.985;6.085;91;7
6.085;6.185;90;6
6.185;6.285;91;7
6.285;6.385;90;6
6.385;6.485;91;7
6.485;6.585;90;6
6.585;6.685;91;7
6.685;6.885;90;6
6.885;6.935;50;2
6.935;6.985;52;4
6.985;7.035;54;6
7.035;7.085;55;7
7.085;7.185;78;6
7.185;7.285;79;7
7.285;7.385;78;6
7.385;7.465;79;7
7.465;7.565;78;6
7.565;7.665;79;7
7.665;7.765;78;6
7.765;7.865;79;7
7.865;7.965;78;6
7.965;8.065;79;7
8.065;8.165;78;6
8.165;8.265;79;7
8.265;8.365;78;6
8.365;8.465;79;7
8.465;8.665;78;6
8.665;8.715;38;2
8.715;8.765;40;4
8.765;8.815;42;6
8.815;8.865;43;7
8.865;8.965;66;6
8.965;9.065;67;7
9.065;9.165;66;6
9.165;9.265;67;7
9.265;9.365;66;6
9.365;9.465;67;7
9.465;9.565;66;6
9.465;9.845;47;11
9.565;9.68;67;7
9.68;9.845;66;6
9.845;9.945;67;7
9.845;9.945;59;11
9.945;10.045;66;6
9.945;10.145;54;6
10.045;10.145;67;7
10.145;10.365;66;6
10.145;10.465;54;6
10.465;10.565;66;6
10.565;10.615;71;11
10.565;10.765;59;11
10.615;10.665;73;1
10.665;10.715;74;2
10.715;10.765;76;4
10.765;10.865;78;6
10.865;10.965;79;7
10.965;11.085;78;6
11.085;11.185;79;7
11.185;11.35;78;6
11.35;11.465;79;7
11.465;11.565;78;6
11.465;11.765;47;11
11.565;11.665;79;7
11.665;11.765;78;6
11.765;11.865;79;7
11.765;11.865;59;11
11.865;11.965;78;6
11.865;12.065;54;6
11.965;12.065;79;7
12.065;12.265;78;6
12.065;12.365;54;6
12.365;12.465;66;6
12.465;12.515;83;11
12.465;12.665;59;11
12.515;12.565;85;1
12.565;12.615;86;2
12.615;12.665;88;4
12.665;12.765;90;6
12.765;12.865;91;7
12.865;12.965;90;6
12.965;13.105;91;7
13.105;13.205;90;6
13.205;13.305;91;7
13.305;13.405;90;6
13.305;13.605;47;11
13.405;13.505;91;7
13.505;13.605;90;6
13.605;13.705;91;7
13.605;13.705;59;11
13.705;13.805;90;6
13.705;13.905;54;6
13.805;13.905;91;7
13.905;14.105;90;6
13.905;14.205;54;6
14.205;14.305;66;6
14.305;14.355;71;11
14.305;14.505;59;11
14.355;14.405;73;1
14.405;14.455;74;2
14.455;14.505;76;4
14.505;14.605;78;6
14.605;14.705;79;7
14.705;14.805;78;6
14.805;14.95;79;7
14.95;15.065;78;6
15.065;15.165;79;7
15.165;15.265;78;6
15.165;15.465;47;11
15.265;15.365;79;7
15.365;15.465;78;6
15.465;15.565;79;7
15.465;15.565;59;11
15.565;15.665;78;6
15.565;15.765;54;6
15.665;15.765;79;7
15.765;15.965;78;6
15.765;16.065;54;6
16.065;16.165;66;6
16.165;16.365;59;11
16.365;17.005;66;6
16.505;16.605;78;6
16.605;16.705;90;6
16.705;16.805;86;2
16.805;16.905;83;11
16.905;17.005;78;6
17.005;17.305;47;11
17.105;17.205;74;2
17.205;17.305;86;2
17.305;17.405;83;11
17.305;17.405;59;11
17.405;17.505;78;6
17.405;17.605;54;6
17.505;17.605;74;2
17.605;17.905;54;6
17.705;17.805;71;11
17.805;17.905;83;11
17.905;18.005;78;6
17.905;18.005;66;6
18.005;18.105;74;2
18.005;18.265;59;11
18.105;18.265;71;11
18.265;18.865;66;6
18.365;18.465;78;6
18.465;18.565;90;6
18.565;18.665;86;2
18.665;18.765;83;11
18.765;18.865;78;6
18.865;19.165;47;11
18.965;19.065;74;2
19.065;19.165;86;2
19.165;19.265;83;11
19.165;19.265;59;11
19.265;19.365;78;6
19.265;19.465;54;6
19.365;19.465;74;2
19.465;19.765;54;6
19.565;19.665;71;11
19.665;19.765;83;11
19.765;19.865;78;6
19.765;19.865;66;6
19.865;19.985;74;2
19.865;20.085;59;11
19.985;20.085;71;11
20.085;20.685;66;6
20.185;20.285;78;6
20.285;20.385;90;6
20.385;20.485;86;2
20.485;20.585;83;11
20.585;20.685;78;6
20.685;20.985;47;11
20.785;20.885;74;2
20.885;20.985;86;2
20.985;21.085;83;11
20.985;21.085;59;11
21.085;21.185;78;6
21.085;21.285;54;6
21.185;21.285;74;2
21.285;21.585;54;6
21.385;21.485;71;11
21.485;21.585;83;11
21.585;21.685;78;6
21.585;21.685;66;6
21.685;21.785;74;2
21.685;21.92;59;11
21.785;21.92;71;11
21.92;22.525;66;6
22.025;22.125;78;6
22.125;22.225;90;6
22.225;22.325;86;2
22.325;22.425;83;11
22.425;22.525;78;6
22.525;22.825;47;11
22.625;22.725;74;2
22.725;22.825;86;2
22.825;22.925;83;11
22.825;22.925;59;11
22.925;23.025;78;6
22.925;23.125;54;6
23.025;23.125;74;2
23.125;23.325;66;6
23.225;23.325;71;11
23.325;23.425;83;11
23.425;23.525;78;6
23.525;23.625;74;2
23.525;23.725;54;6
23.625;23.725;71;11
23.725;24.025;59;11
23.825;23.925;74;2
23.925;24.025;86;2
24.025;24.125;83;11
24.025;24.125;54;6
24.125;24.225;78;6
24.125;24.325;59;11
24.225;24.325;74;2
24.325;24.945;62;2
24.425;24.525;71;11
24.525;24.625;83;11
24.625;24.725;78;6
24.725;24.845;74;2
24.845;24.945;71;11
24.945;25.605;59;11
25.045;25.145;66;6
25.145;25.305;78;6
25.305;25.405;74;2
25.405;25.505;71;11
25.505;25.605;66;6
25.605;25.905;62;2
25.705;25.805;78;6
25.805;25.905;90;6
25.905;26.005;86;2
25.905;26.005;59;11
26.005;26.105;83;11
26.005;26.205;62;2
26.105;26.205;78;6
26.205;26.805;66;6
26.305;26.405;74;2
26.405;26.505;86;2
26.505;26.605;83;11
26.605;26.705;78;6
26.705;26.805;74;2
26.805;27.405;62;2
26.905;27.005;71;11
27.005;27.105;83;11
27.105;27.205;78;6
27.205;27.305;74;2
27.305;27.405;71;11
27.405;27.705;66;6
27.505;27.605;81;9
27.605;27.705;93;9
27.705;27.805;90;6
27.705;27.805;62;2
27.805;27.905;86;2
27.805;28.005;66;6
27.905;28.005;81;9
28.005;28.645;69;9
28.105;28.205;78;6
28.205;28.345;90;6
28.345;28.445;86;2
28.445;28.545;81;9
28.545;28.645;78;6
28.645;29.245;57;9
28.745;28.845;76;4
28.845;28.945;88;4
28.945;29.045;85;1
29.045;29.145;81;9
29.145;29.245;76;4
29.245;29.545;62;2
29.345;29.445;81;9
29.445;29.545;93;9
29.545;29.645;90;6
29.545;29.645;57;9
29.645;29.745;86;2
29.645;29.845;62;2
29.745;29.845;81;9
29.845;31.085;66;6
29.985;30.085;78;6
30.085;30.185;90;6
30.185;30.285;86;2
30.285;30.385;81;9
30.385;30.485;78;6
30.585;30.685;74;2
30.685;30.785;86;2
30.785;30.885;81;9
30.885;30.985;78;6
30.985;31.085;74;2
31.085;31.685;69;9
31.185;31.285;81;9
31.285;31.385;93;9
31.385;31.485;90;6
31.485;31.585;86;2
31.585;31.685;81;9
31.685;31.985;50;2
31.785;31.885;78;6
31.885;31.985;90;6
31.985;32.085;86;2
31.985;32.085;62;2
32.085;32.185;81;9
32.085;32.285;57;9
32.185;32.285;78;6
32.285;32.585;57;9
32.385;32.485;74;2
32.485;32.585;86;2
32.585;32.685;81;9
32.585;32.685;69;9
32.685;32.785;78;6
32.685;32.885;62;2
32.785;32.885;74;2
32.885;33.485;69;9
32.985;33.085;81;9
33.085;33.185;93;9
33.185;33.285;90;6
33.285;33.385;86;2
33.385;33.485;81;9
33.485;33.785;50;2
33.585;33.685;78;6
33.685;33.785;90;6
33.785;33.867;86;2
33.785;33.867;62;2
33.867;33.965;81;9
33.867;34.065;57;9
33.965;34.065;78;6
34.065;34.365;57;9
34.165;34.265;74;2
34.265;34.365;86;2
34.365;34.465;81;9
34.365;34.465;69;9
34.465;34.565;78;6
34.465;34.665;62;2
34.565;34.665;74;2
34.665;35.265;69;9
34.765;34.865;81;9
34.865;34.965;93;9
34.965;35.065;90;6
35.065;35.165;86;2
35.165;35.265;81;9
35.265;35.585;50;2
35.38;35.485;78;6
35.485;35.585;90;6
35.585;35.685;86;2
35.585;35.685;62;2
35.685;35.785;81;9
35.685;35.885;57;9
35.785;35.885;78;6
35.885;36.085;69;9
35.985;36.085;74;2
36.085;36.185;86;2
36.185;36.285;81;9
36.285;36.385;78;6
36.285;36.485;57;9
36.385;36.485;74;2
36.485;36.785;62;2
36.585;36.685;78;6
36.685;36.785;90;6
36.785;36.885;86;2
36.785;36.885;57;9
36.885;36.985;81;9
36.885;37.085;62;2
36.985;37.085;78;6
37.085;37.685;66;6
37.185;37.285;74;2
37.285;37.385;86;2
37.385;37.485;81;9
37.485;37.585;78;6
37.585;37.685;74;2
37.685;38.285;62;2
37.785;37.885;69;9
37.885;37.985;81;9
37.985;38.085;78;6
38.085;38.185;74;2
38.185;38.285;69;9
38.285;38.585;66;6
38.385;38.485;81;9
38.485;38.585;93;9
38.585;38.685;90;6
38.585;38.685;62;2
38.685;38.785;86;2
38.685;38.885;66;6
38.785;38.885;81;9
38.885;39.485;69;9
38.985;39.085;78;6
39.085;39.185;90;6
39.185;39.285;86;2
39.285;39.385;81;9
39.385;39.485;78;6
39.485;40.125;66;6
39.585;39.685;74;2
39.685;39.785;86;2
39.785;39.9;81;9
39.9;40.025;78;6
40.025;40.125;74;2
40.125;40.425;69;9
40.225;40.325;85;1
40.325;40.425;97;1
40.425;40.525;93;9
40.425;40.525;66;6
40.525;40.625;90;6
40.525;40.725;69;9
40.625;40.725;85;1
40.725;41.305;73;1
40.825;40.925;81;9
40.925;41.008;93;9
41.008;41.105;90;6
41.105;41.205;85;1
41.205;41.305;81;9
41.305;41.905;61;1
41.405;41.505;80;8
41.505;41.605;92;8
41.605;41.705;89;5
41.705;41.805;85;1
41.805;41.905;80;8
41.905;42.205;66;6
42.005;42.105;78;6
42.105;42.205;90;6
42.205;42.305;85;1
42.205;42.305;61;1
42.305;42.405;82;10
42.305;42.505;66;6
42.405;42.505;78;6
42.505;43.125;70;10
42.605;42.725;73;1
42.725;42.825;85;1
42.825;42.925;82;10
42.925;43.025;78;6
43.025;43.125;73;1
43.125;43.425;54;6
43.225;43.325;70;10
43.325;43.425;82;10
43.425;43.525;78;6
43.425;43.525;66;6
43.525;43.625;73;1
43.525;43.725;61;1
43.625;43.725;70;10
43.725;44.325;66;6
43.725;44.325;70;10
43.825;43.925;78;6
43.925;44.025;90;6
44.025;44.125;85;1
44.125;44.225;82;10
44.225;44.325;78;6
44.325;44.625;42;6
44.425;44.525;73;1
44.525;44.625;85;1
44.625;44.725;82;10
44.625;44.725;61;1
44.725;44.825;78;6
44.725;44.925;54;6
44.825;44.925;73;1
44.925;45.265;54;6
45.025;45.145;70;10
45.145;45.265;82;10
45.265;45.365;78;6
45.265;45.365;66;6
45.365;45.465;73;1
45.365;45.565;61;1
45.465;45.565;70;10
45.565;46.165;66;6
45.565;46.165;70;10
45.665;45.765;78;6
45.765;45.865;90;6
45.865;45.965;85;1
45.965;46.065;82;10
46.065;46.165;78;6
46.165;46.465;42;6
46.265;46.365;73;1
46.365;46.465;85;1
46.465;46.565;82;10
46.465;46.565;61;1
46.565;46.665;78;6
46.565;46.765;54;6
46.665;46.765;73;1
46.765;47.065;54;6
46.865;46.965;70;10
46.965;47.065;82;10
47.065;47.165;78;6
47.065;47.165;66;6
47.165;47.265;73;1
47.165;47.365;61;1
47.265;47.365;70;10
47.365;47.965;66;6
47.365;47.965;70;10
47.465;47.565;78;6
47.565;47.665;90;6
47.665;47.765;85;1
47.765;47.865;82;10
47.865;47.965;78;6
47.965;48.265;42;6
48.065;48.165;73;1
48.165;48.265;85;1
48.265;48.365;82;10
48.265;48.365;61;1
48.365;48.465;78;6
48.365;48.565;54;6
48.465;48.565;73;1
48.565;48.745;66;6
48.665;48.745;70;10
48.745;48.845;82;10
48.845;48.945;78;6
48.945;49.045;73;1
48.945;49.145;54;6
49.045;49.145;70;10
49.145;49.445;55;7
49.245;49.345;76;4
49.345;49.445;88;4
49.445;49.545;83;11
49.445;49.545;52;4
49.545;49.645;79;7
49.545;49.745;55;7
49.645;49.745;76;4
49.745;50.545;59;11
49.845;49.945;74;2
49.945;50.045;86;2
50.045;50.145;83;11
50.145;50.245;78;6
50.245;50.345;74;2
50.445;50.545;71;11
50.545;50.645;83;11
50.645;50.745;78;6
50.745;50.845;74;2
50.745;50.945;66;6
50.845;50.945;71;11
50.945;51.245;67;7
51.045;51.145;76;4
51.145;51.245;88;4
51.245;51.345;83;11
51.245;51.345;64;4
51.345;51.445;79;7
51.345;51.545;67;7
51.445;51.545;76;4
51.545;52.425;71;11
51.66;51.765;74;2
51.765;51.865;86;2
51.865;51.965;83;11
51.965;52.065;78;6
52.065;52.205;74;2
52.32;52.425;71;11
52.425;52.525;83;11
52.525;52.625;78;6
52.625;52.725;74;2
52.625;52.825;54;6
52.625;52.825;66;6
52.725;52.825;71;11
52.825;53.125;55;7
52.825;53.125;67;7
52.925;53.025;76;4
53.025;53.125;88;4
53.125;53.225;83;11
53.125;53.225;52;4
53.125;53.225;64;4
53.225;53.325;79;7
53.225;53.425;55;7
53.225;53.425;67;7
53.325;53.425;76;4
53.425;54.025;60;0
53.425;54.025;72;0
53.525;53.625;76;4
53.625;53.725;88;4
53.725;53.825;84;0
53.825;53.925;79;7
53.925;54.025;76;4
54.025;54.685;54;6
54.025;54.685;66;6
54.185;54.285;78;6
54.285;54.385;90;6
54.385;54.485;85;1
54.485;54.585;82;10
54.585;54.685;78;6
54.685;55.045;54;6
54.685;55.045;59;11
54.685;55.045;62;2
54.845;54.945;78;6
54.945;55.045;90;6
55.045;55.145;86;2
55.045;55.145;59;11
55.045;55.145;62;2
55.045;55.145;66;6
55.145;55.245;83;11
55.145;55.345;62;2
55.145;55.345;66;6
55.145;55.345;71;11
55.245;55.345;78;6
55.345;55.945;66;6
55.345;55.945;71;11
55.345;55.945;74;2
55.445;55.545;78;6
55.545;55.645;90;6
55.645;55.745;86;2
55.745;55.845;83;11
55.845;55.945;78;6
55.945;56.245;54;6
56.045;56.145;74;2
56.145;56.245;86;2
56.245;56.345;83;11
56.245;56.345;66;6
56.345;56.445;78;6
56.345;56.545;59;11
56.445;56.545;74;2
56.545;57.145;66;6
56.645;56.745;78;6
56.745;56.845;90;6
56.845;56.945;86;2
56.945;57.045;83;11
57.045;57.145;78;6
57.145;57.445;47;11
57.245;57.345;74;2
57.345;57.445;86;2
57.445;57.545;83;11
57.445;57.545;59;11
57.545;57.645;78;6
57.545;57.745;54;6
57.645;57.745;74;2
57.745;57.945;66;6
57.845;57.945;71;11
57.945;58.085;83;11
58.085;58.185;78;6
58.185;58.305;74;2
58.185;58.425;54;6
58.305;58.425;71;11
58.425;58.725;55;7
58.525;58.625;76;4
58.625;58.725;88;4
58.725;58.825;83;11
58.725;58.825;52;4
58.825;58.925;79;7
58.825;59.025;55;7
58.925;59.025;76;4
59.025;59.865;59;11
59.125;59.225;74;2
59.225;59.325;86;2
59.325;59.425;83;11
59.425;59.525;78;6
59.525;59.625;74;2
59.765;59.865;71;11
59.865;59.965;83;11
59.965;60.065;78;6
60.065;60.165;74;2
60.065;60.265;66;6
60.165;60.265;71;11
60.265;60.565;67;7
60.365;60.465;76;4
60.465;60.565;88;4
60.565;60.665;83;11
60.565;60.665;64;4
60.665;60.765;79;7
60.665;60.865;67;7
60.765;60.865;76;4
60.865;61.665;71;11
60.965;61.065;74;2
61.065;61.165;86;2
61.165;61.265;83;11
61.265;61.365;78;6
61.365;61.465;74;2
61.565;61.665;71;11
61.665;61.825;83;11
61.825;61.945;78;6
61.945;62.045;74;2
61.945;62.145;54;6
61.945;62.145;66;6
62.045;62.145;71;11
62.145;62.445;55;7
62.145;62.445;67;7
62.245;62.345;76;4
62.345;62.445;88;4
62.445;62.545;83;11
62.445;62.545;52;4
62.445;62.545;64;4
62.545;62.645;79;7
62.545;62.745;55;7
62.545;62.745;67;7
62.645;62.745;76;4
62.745;63.345;61;1
62.745;63.345;73;1
62.845;62.945;76;4
62.945;63.045;88;4
63.045;63.145;85;1
63.145;63.245;79;7
63.245;63.345;76;4
63.345;64.065;54;6
63.345;64.065;66;6
63.445;63.545;78;6
63.545;63.645;90;6
63.645;63.845;85;1
63.845;63.965;82;10
63.965;64.065;78;6
64.065;64.365;59;11
64.065;64.365;63;3
64.065;64.365;66;6
64.165;64.265;78;6
