start;end;pitch;pitchclass
0.74;0.74;59;11
0.74;0.74;61;1
0.74;0.74;62;2
0.74;0.765;64;4
0.765;0.8575;66;6
0.8575;0.945;67;7
0.945;1.0188;66;6
1.0188;1.085;67;7
1.085;1.185;66;6
1.185;1.285;67;7
1.285;1.385;66;6
1.385;1.485;67;7
1.485;1.585;66;6
1.585;1.685;67;7
1.685;1.785;66;6
1.785;1.885;67;7
1.885;1.985;66;6
1.985;2.085;67;7
2.085;2.2775;66;6
2.2775;2.315;50;2
2.315;2.365;52;4
2.365;2.395;54;6
2.395;2.405;55;7
2.405;2.485;78;6
2.485;2.5288;79;7
2.5288;2.625;78;6
2.625;2.705;79;7
2.705;2.805;78;6
2.805;2.905;79;7
2.905;3.005;78;6
3.005;3.105;79;7
3.105;3.205;78;6
3.205;3.305;79;7
3.305;3.405;78;6
3.405;3.505;79;7
3.505;3.605;78;6
3.605;3.705;79;7
3.705;3.905;78;6
3.905;3.955;62;2
3.955;4.005;64;4
4.005;4.055;66;6
4.055;4.105;67;7
4.105;4.165;90;6
4.165;4.2538;91;7
4.2538;4.305;90;6
4.305;4.405;91;7
4.405;4.505;90;6
4.505;4.605;91;7
4.605;4.705;90;6
4.705;4.805;91;7
4.805;4.905;90;6
4.905;5.005;91;7
5.005;5.105;90;6
5.105;5.205;91;7
5.205;5.305;90;6
5.305;5.405;91;7
5.405;5.605;90;6
5.605;5.655;50;2
5.655;5.705;52;4
5.705;5.755;54;6
5.755;5.805;55;7
5.805;5.905;78;6
5.905;5.965;79;7
5.965;6.065;78;6
6.065;6.125;79;7
6.125;6.225;78;6
6.225;6.325;79;7
6.325;6.425;78;6
6.425;6.525;79;7
6.525;6.625;78;6
6.625;6.725;79;7
6.725;6.825;78;6
6.825;6.925;79;7
6.925;6.985;78;6
6.985;7.085;79;7
7.085;7.285;78;6
7.285;7.335;38;2
7.335;7.385;40;4
7.385;7.435;42;6
7.435;7.485;43;7
7.485;7.585;66;6
7.585;7.685;67;7
7.685;7.765;66;6
7.765;7.865;67;7
7.865;7.965;66;6
7.965;8.065;67;7
8.065;8.165;66;6
8.065;8.365;47;11
8.165;8.265;67;7
8.265;8.365;66;6
8.365;8.465;67;7
8.365;8.465;59;11
8.465;8.565;66;6
8.465;8.665;54;6
8.565;8.665;67;7
8.665;8.865;66;6
8.665;8.965;54;6
8.965;9.065;66;6
9.065;9.115;71;11
9.065;9.265;59;11
9.115;9.165;73;1
9.165;9.215;74;2
9.215;9.265;76;4
9.265;9.345;78;6
9.345;9.385;79;7
9.385;9.465;78;6
9.465;9.565;79;7
9.565;9.665;78;6
9.665;9.765;79;7
9.765;9.865;78;6
9.765;10.065;47;11
9.865;9.965;79;7
9.965;10.065;78;6
10.065;10.165;79;7
10.065;10.165;59;11
10.165;10.265;78;6
10.165;10.365;54;6
10.265;10.365;79;7
10.365;10.565;78;6
10.365;10.665;54;6
10.665;10.745;66;6
10.745;10.795;83;11
10.745;10.945;59;11
10.795;10.845;85;1
10.845;10.895;86;2
10.895;10.945;88;4
10.945;11.045;90;6
11.045;11.145;91;7
11.145;11.245;90;6
11.245;11.345;91;7
11.345;11.445;90;6
11.445;11.545;91;7
11.545;11.645;90;6
11.545;11.845;47;11
11.645;11.745;91;7
11.745;11.845;90;6
11.845;11.945;91;7
11.845;11.945;59;11
11.945;12.045;90;6
11.945;12.145;54;6
12.045;12.145;91;7
12.145;12.345;90;6
12.145;12.465;54;6
12.465;12.595;66;6
12.595;12.655;71;11
12.595;12.805;59;11
12.655;12.705;73;1
12.705;12.755;74;2
12.755;12.805;76;4
12.805;12.905;78;6
12.905;13.005;79;7
13.005;13.105;78;6
13.105;13.168;79;7
13.168;13.265;78;6
13.265;13.365;79;7
13.365;13.465;78;6
13.365;13.665;47;11
13.465;13.565;79;7
13.565;13.665;78;6
13.665;13.765;79;7
13.665;13.765;59;11
13.765;13.865;78;6
13.765;13.965;54;6
13.865;13.965;79;7
13.965;14.165;78;6
13.965;14.265;54;6
14.265;14.365;66;6
14.365;14.565;59;11
14.565;15.165;66;6
14.665;14.765;78;6
14.765;14.865;90;6
14.865;14.965;86;2
14.965;15.065;83;11
15.065;15.165;78;6
15.165;15.465;47;11
15.265;15.365;74;2
15.365;15.465;86;2
15.465;15.565;83;11
15.465;15.565;59;11
15.565;15.665;78;6
15.565;15.765;54;6
15.665;15.765;74;2
15.765;16.065;54;6
15.865;15.965;71;11
15.965;16.065;83;11
16.065;16.165;78;6
16.065;16.165;66;6
16.165;16.265;74;2
16.165;16.365;59;11
16.265;16.365;71;11
16.365;16.965;66;6
16.465;16.565;78;6
16.565;16.665;90;6
16.665;16.765;86;2
16.765;16.865;83;11
16.865;16.965;78;6
16.965;17.233;47;11
17.065;17.165;74;2
17.165;17.233;86;2
17.233;17.265;83;11
17.233;17.265;59;11
17.265;17.365;78;6
17.265;17.465;54;6
17.365;17.465;74;2
17.465;17.765;54;6
17.565;17.665;71;11
17.665;17.765;83;11
17.765;17.865;78;6
17.765;17.865;66;6
17.865;17.965;74;2
17.865;18.065;59;11
17.965;18.065;71;11
18.065;18.685;66;6
18.185;18.285;78;6
18.285;18.385;90;6
18.385;18.485;86;2
18.485;18.585;83;11
18.585;18.685;78;6
18.685;18.985;47;11
18.785;18.885;74;2
18.885;18.985;86;2
18.985;19.085;83;11
18.985;19.085;59;11
19.085;19.185;78;6
19.085;19.285;54;6
19.185;19.285;74;2
19.285;19.585;54;6
19.385;19.485;71;11
19.485;19.585;83;11
19.585;19.745;78;6
19.585;19.745;66;6
19.745;19.865;74;2
19.745;19.965;59;11
19.865;19.965;71;11
19.965;20.565;66;6
20.065;20.165;78;6
20.165;20.265;90;6
20.265;20.365;86;2
20.365;20.465;83;11
20.465;20.565;78;6
20.565;20.772;47;11
20.654;20.688;74;2
20.688;20.772;86;2
20.772;20.784;83;11
20.772;20.784;59;11
20.784;20.845;78;6
20.784;20.945;54;6
20.845;20.945;74;2
20.945;21.145;66;6
21.045;21.145;71;11
21.145;21.245;83;11
21.245;21.345;78;6
21.345;21.445;74;2
21.345;21.545;54;6
21.445;21.545;71;11
21.545;21.845;59;11
21.645;21.745;74;2
21.745;21.845;86;2
21.845;21.945;83;11
21.845;21.945;54;6
