start;end;pitch;pitchclass
2.66;2.66;59;11
2.66;2.66;61;1
2.66;2.66;62;2
2.66;2.685;64;4
2.685;2.785;66;6
2.785;2.885;67;7
2.885;2.985;66;6
2.985;3.085;67;7
3.085;3.345;66;6
3.345;3.445;67;7
3.445;3.545;66;6
3.545;3.645;67;7
3.645;3.745;66;6
3.745;3.845;67;7
3.845;3.945;66;6
3.945;4.085;67;7
4.085;4.185;66;6
4.185;4.285;67;7
4.285;4.505;66;6
4.505;4.555;50;2
4.555;4.605;52;4
4.605;4.655;54;6
4.655;4.705;55;7
4.705;4.805;78;6
4.805;4.965;79;7
4.965;5.085;78;6
5.085;5.185;79;7
5.185;5.285;78;6
5.285;5.385;79;7
5.385;5.485;78;6
5.485;5.585;79;7
5.585;5.685;78;6
5.685;5.785;79;7
5.785;5.885;78;6
5.885;5.985;79;7
5.985;6.085;78;6
6.085;6.185;79;7
6.185;6.385;78;6
6.385;6.435;62;2
6.435;6.485;64;4
6.485;6.535;66;6
6.535;6.585;67;7
6.585;6.685;90;6
6.685;6.785;91;7
6.785;6.945;90;6
6.945;7.045;91;7
7.045;7.145;90;6
7.145;7.245;91;7
7.245;7.345;90;6
7.345;7.445;91;7
7.445;7.545;90;6
7.545;7.665;91;7
7.665;7.765;90;6
7.765;7.865;91;7
7.865;7.965;90;6
7.965;8.065;91;7
8.065;8.265;90;6
8.265;8.315;50;2
8.315;8.365;52;4
8.365;8.415;54;6
8.415;8.465;55;7
8.465;8.565;78;6
8.565;8.665;79;7
8.665;8.765;78;6
8.765;8.865;79;7
8.865;8.965;78;6
8.965;9.065;79;7
9.065;9.165;78;6
9.165;9.265;79;7
9.265;9.365;78;6
9.365;9.465;79;7
9.465;9.565;78;6
9.565;9.665;79;7
9.665;9.765;78;6
9.765;9.865;79;7
9.865;10.085;78;6
10.085;10.135;38;2
10.135;10.185;40;4
10.185;10.235;42;6
10.235;10.285;43;7
10.285;10.385;66;6
10.385;10.485;67;7
10.485;10.585;66;6
10.585;10.685;67;7
10.685;10.785;66;6
10.785;10.885;67;7
10.885;10.985;66;6
10.885;11.185;47;11
10.985;11.085;67;7
11.085;11.185;66;6
11.185;11.285;67;7
11.185;11.285;59;11
11.285;11.405;66;6
11.285;11.505;54;6
11.405;11.505;67;7
11.505;11.705;66;6
11.505;11.885;54;6
11.885;11.985;66;6
11.985;12.035;71;11
11.985;12.185;59;11
12.035;12.085;73;1
12.085;12.135;74;2
12.135;12.185;76;4
12.185;12.285;78;6
12.285;12.385;79;7
12.385;12.485;78;6
12.485;12.585;79;7
12.585;12.765;78;6
12.765;12.865;79;7
12.865;12.965;78;6
12.865;13.165;47;11
12.965;13.065;79;7
