start;end;pitch;pitchclass
1.24;1.245;66;6
1.24;1.24;59;11
1.24;1.24;61;1
1.24;1.24;62;2
1.24;1.24;64;4
1.245;1.2683;67;7
1.2683;1.3088;66;6
1.3088;1.405;67;7
1.405;1.505;66;6
1.505;1.605;67;7
1.605;1.705;66;6
1.705;1.805;67;7
1.805;1.905;66;6
1.905;2.005;67;7
2.005;2.105;66;6
2.105;2.205;67;7
2.205;2.305;66;6
2.305;2.405;67;7
2.405;2.605;66;6
2.605;2.655;50;2
2.655;2.705;52;4
2.705;2.755;54;6
2.755;2.7875;55;7
2.7875;2.885;78;6
2.885;2.945;79;7
2.945;3.0375;78;6
3.0375;3.0562;79;7
3.0563;3.0646;78;6
3.0646;3.105;79;7
3.105;3.185;78;6
3.185;3.2675;79;7
3.2675;3.365;78;6
3.365;3.465;79;7
3.465;3.5575;78;6
3.5575;3.645;79;7
3.645;3.745;78;6
3.745;3.845;79;7
3.845;4.045;78;6
4.045;4.095;62;2
4.095;4.145;64;4
4.145;4.195;66;6
4.195;4.245;67;7
4.245;4.2888;90;6
4.2888;4.3738;91;7
4.3738;4.425;90;6
4.425;4.525;91;7
4.525;4.625;90;6
4.625;4.725;91;7
4.725;4.8138;90;6
4.8138;4.865;91;7
4.865;4.9575;90;6
4.9575;5.025;91;7
5.025;5.0688;90;6
5.0688;5.1283;91;7
5.1283;5.185;90;6
5.185;5.2675;91;7
5.2675;5.465;90;6
5.465;5.515;50;2
5.515;5.565;52;4
5.565;5.615;54;6
5.615;5.665;55;7
5.665;5.765;78;6
5.765;5.865;79;7
5.865;5.965;78;6
5.965;6.065;79;7
6.065;6.165;78;6
6.165;6.265;79;7
6.265;6.365;78;6
6.365;6.465;79;7
6.465;6.565;78;6
6.565;6.665;79;7
6.665;6.765;78;6
6.765;6.865;79;7
6.865;6.965;78;6
6.965;7.065;79;7
7.065;7.1944;78;6
7.1944;7.2006;38;2
7.2006;7.2069;40;4
7.2069;7.2183;42;6
7.2183;7.245;43;7
7.245;7.345;66;6
7.345;7.445;67;7
7.445;7.545;66;6
7.545;7.645;67;7
7.645;7.745;66;6
7.745;7.845;67;7
7.845;7.945;66;6
7.845;8.145;47;11
7.945;8.045;67;7
8.045;8.145;66;6
8.145;8.245;67;7
8.145;8.245;59;11
8.245;8.345;66;6
8.245;8.445;54;6
8.345;8.445;67;7
8.445;8.645;66;6
8.445;8.745;54;6
8.745;8.845;66;6
8.845;8.8763;71;11
8.845;8.985;59;11
8.8763;8.8888;73;1
8.8888;8.935;74;2
8.935;8.985;76;4
8.985;9.085;78;6
9.085;9.185;79;7
9.185;9.285;78;6
9.285;9.385;79;7
9.385;9.485;78;6
9.485;9.585;79;7
9.585;9.685;78;6
9.585;9.8388;47;11
9.685;9.765;79;7
9.765;9.8388;78;6
9.8388;9.905;79;7
9.8388;9.905;59;11
9.905;10.005;78;6
9.905;10.105;54;6
10.005;10.105;79;7
10.105;10.305;78;6
10.105;10.405;54;6
10.405;10.505;66;6
10.505;10.555;83;11
10.505;10.705;59;11
10.555;10.605;85;1
10.605;10.655;86;2
10.655;10.705;88;4
10.705;10.805;90;6
10.805;10.898;91;7
10.898;10.985;90;6
10.985;11.085;91;7
11.085;11.185;90;6
11.185;11.285;91;7
11.285;11.365;90;6
11.285;11.565;47;11
11.365;11.465;91;7
11.465;11.565;90;6
11.565;11.665;91;7
11.565;11.665;59;11
11.665;11.765;90;6
11.665;11.821;54;6
11.765;11.821;91;7
11.821;11.985;90;6
11.821;12.085;54;6
12.085;12.159;66;6
12.159;12.175;71;11
12.159;12.325;59;11
12.175;12.225;73;1
12.225;12.275;74;2
12.275;12.325;76;4
12.325;12.425;78;6
12.425;12.525;79;7
12.525;12.625;78;6
12.625;12.725;79;7
12.725;12.825;78;6
12.825;12.925;79;7
12.925;13.025;78;6
12.925;13.225;47;11
13.025;13.125;79;7
13.125;13.225;78;6
13.225;13.325;79;7
13.225;13.325;59;11
13.325;13.425;78;6
13.325;13.525;54;6
