start;end;pitch;pitchclass
2.22;2.22;59;11
2.22;2.22;61;1
2.22;2.22;62;2
2.22;2.245;64;4
2.245;2.325;66;6
2.325;2.425;67;7
2.425;2.525;66;6
2.525;2.625;67;7
2.625;2.725;66;6
2.725;2.825;67;7
2.825;2.925;66;6
2.925;3.025;67;7
3.025;3.125;66;6
3.125;3.225;67;7
3.225;3.3119;66;6
3.3119;3.3244;67;7
3.3244;3.385;66;6
3.385;3.485;67;7
3.485;3.685;66;6
3.685;3.735;50;2
3.735;3.785;52;4
3.785;3.835;54;6
3.835;3.885;55;7
3.885;3.985;78;6
3.985;4.085;79;7
4.085;4.185;78;6
4.185;4.285;79;7
4.285;4.385;78;6
4.385;4.485;79;7
4.485;4.585;78;6
4.585;4.685;79;7
4.685;4.785;78;6
4.785;4.885;79;7
4.885;4.985;78;6
4.985;5.085;79;7
5.085;5.185;78;6
5.185;5.285;79;7
5.285;5.425;78;6
5.425;5.4413;62;2
5.4413;5.465;64;4
5.465;5.515;66;6
5.515;5.565;67;7
5.565;5.665;90;6
5.665;5.765;91;7
5.765;5.865;90;6
5.865;5.965;91;7
5.965;6.065;90;6
6.065;6.165;91;7
6.165;6.265;90;6
6.265;6.365;91;7
6.365;6.465;90;6
6.465;6.565;91;7
6.565;6.665;90;6
6.665;6.765;91;7
6.765;6.865;90;6
6.865;6.945;91;7
6.945;7.105;90;6
7.105;7.155;50;2
7.155;7.1788;52;4
7.1788;7.195;54;6
7.195;7.245;55;7
7.245;7.325;78;6
7.325;7.365;79;7
7.365;7.445;78;6
7.445;7.545;79;7
7.545;7.645;78;6
7.645;7.725;79;7
7.725;7.825;78;6
7.825;7.925;79;7
7.925;8.025;78;6
8.025;8.125;79;7
8.125;8.225;78;6
8.225;8.325;79;7
8.325;8.425;78;6
8.425;8.525;79;7
8.525;8.725;78;6
8.725;8.775;38;2
8.775;8.825;40;4
8.825;8.875;42;6
8.875;8.925;43;7
8.925;9.005;66;6
9.005;9.105;67;7
9.105;9.145;66;6
9.145;9.205;67;7
9.205;9.305;66;6
9.305;9.405;67;7
9.405;9.505;66;6
9.405;9.705;47;11
9.505;9.605;67;7
9.605;9.705;66;6
9.705;9.805;67;7
9.705;9.805;59;11
9.805;9.905;66;6
9.805;10.005;54;6
9.905;10.005;67;7
10.005;10.205;66;6
10.005;10.305;54;6
10.305;10.405;66;6
10.405;10.455;71;11
