start;end;pitch;pitchclass
0.3;0.3;59;11
0.3;0.3;61;1
0.3;0.3;62;2
0.3;0.325;64;4
0.325;0.425;66;6
0.425;0.54;67;7
0.54;0.645;66;6
0.645;0.745;67;7
0.745;0.845;66;6
0.845;0.945;67;7
0.945;1.045;66;6
1.045;1.145;67;7
1.145;1.245;66;6
1.245;1.345;67;7
1.345;1.445;66;6
1.445;1.545;67;7
1.545;1.645;66;6
1.645;1.745;67;7
1.745;1.945;66;6
1.945;1.995;50;2
1.995;2.045;52;4
2.045;2.095;54;6
2.095;2.145;55;7
2.145;2.245;78;6
2.245;2.345;79;7
2.345;2.445;78;6
2.445;2.545;79;7
2.545;2.645;78;6
2.645;2.745;79;7
2.745;2.845;78;6
2.845;2.945;79;7
2.945;3.045;78;6
3.045;3.145;79;7
3.145;3.245;78;6
3.245;3.345;79;7
3.345;3.445;78;6
3.445;3.545;79;7
3.545;3.745;78;6
3.745;3.795;62;2
3.795;3.845;64;4
3.845;3.895;66;6
3.895;3.945;67;7
3.945;4.045;90;6
4.045;4.165;91;7
4.165;4.265;90;6
4.265;4.365;91;7
4.365;4.485;90;6
4.485;4.585;91;7
4.585;4.685;90;6
4.685;4.785;91;7
4.785;4.885;90;6
4.885;4.985;91;7
4.985;5.085;90;6
5.085;5.185;91;7
5.185;5.285;90;6
5.285;5.385;91;7
5.385;5.585;90;6
5.585;5.635;50;2
5.635;5.685;52;4
5.685;5.735;54;6
5.735;5.785;55;7
5.785;5.885;78;6
5.885;5.9675;79;7
5.9675;6.065;78;6
6.065;6.165;79;7
6.165;6.265;78;6
6.265;6.365;79;7
6.365;6.465;78;6
6.465;6.505;79;7
6.505;6.605;78;6
6.605;6.705;79;7
6.705;6.805;78;6
6.805;6.905;79;7
6.905;7.005;78;6
7.005;7.105;79;7
7.105;7.305;78;6
7.305;7.355;38;2
7.355;7.405;40;4
7.405;7.455;42;6
7.455;7.505;43;7
7.505;7.605;66;6
7.605;7.705;67;7
7.705;7.805;66;6
7.805;7.905;67;7
7.905;8.005;66;6
8.005;8.105;67;7
8.105;8.205;66;6
8.105;8.405;47;11
8.205;8.305;67;7
8.305;8.405;66;6
8.405;8.505;67;7
8.405;8.505;59;11
8.505;8.605;66;6
8.505;8.705;54;6
8.605;8.705;67;7
8.705;8.905;66;6
8.705;9.005;54;6
9.005;9.105;66;6
9.105;9.155;71;11
9.105;9.305;59;11
9.155;9.205;73;1
9.205;9.255;74;2
9.255;9.305;76;4
9.305;9.405;78;6
9.405;9.505;79;7
9.505;9.605;78;6
9.605;9.705;79;7
9.705;9.805;78;6
9.805;9.905;79;7
9.905;10.005;78;6
9.905;10.205;47;11
10.005;10.105;79;7
10.105;10.205;78;6
10.205;10.305;79;7
10.205;10.305;59;11
10.305;10.405;78;6
10.305;10.505;54;6
10.405;10.505;79;7
