start;end;pitch;pitchclass
5.94;5.94;59;11
5.94;5.94;61;1
5.94;5.94;62;2
5.94;5.965;64;4
5.965;6.037;66;6
6.037;6.0775;67;7
6.0775;6.165;66;6
6.165;6.265;67;7
6.265;6.365;66;6
6.365;6.465;67;7
6.465;6.565;66;6
6.565;6.665;67;7
6.665;6.745;66;6
6.745;6.8375;67;7
6.8375;6.925;66;6
6.925;7.025;67;7
7.025;7.125;66;6
7.125;7.225;67;7
7.225;7.385;66;6
7.385;7.435;50;2
7.435;7.485;52;4
7.485;7.5325;54;6
7.5325;7.565;55;7
7.565;7.665;78;6
7.665;7.765;79;7
7.765;7.865;78;6
7.865;8.005;79;7
8.005;8.105;78;6
8.105;8.205;79;7
8.205;8.305;78;6
8.305;8.405;79;7
8.405;8.505;78;6
8.505;8.605;79;7
8.605;8.705;78;6
8.705;8.805;79;7
8.805;8.905;78;6
8.905;9.005;79;7
9.005;9.225;78;6
9.225;9.275;62;2
9.275;9.325;64;4
9.325;9.375;66;6
9.375;9.425;67;7
9.425;9.525;90;6
9.525;9.625;91;7
9.625;9.725;90;6
9.725;9.825;91;7
9.825;9.925;90;6
9.925;10.025;91;7
10.025;10.125;90;6
10.125;10.225;91;7
10.225;10.325;90;6
10.325;10.44;91;7
10.44;10.545;90;6
10.545;10.645;91;7
10.645;10.745;90;6
10.745;10.845;91;7
10.845;11.045;90;6
11.045;11.095;50;2
11.095;11.145;52;4
11.145;11.195;54;6
11.195;11.245;55;7
11.245;11.345;78;6
11.345;11.445;79;7
11.445;11.565;78;6
11.565;11.665;79;7
11.665;11.765;78;6
11.765;11.865;79;7
11.865;11.985;78;6
11.985;12.085;79;7
12.085;12.185;78;6
12.185;12.285;79;7
12.285;12.385;78;6
12.385;12.545;79;7
12.545;12.645;78;6
12.645;12.745;79;7
12.745;12.945;78;6
12.945;12.995;38;2
12.995;13.045;40;4
13.045;13.095;42;6
13.095;13.145;43;7
13.145;13.245;66;6
13.245;13.345;67;7
13.345;13.445;66;6
13.445;13.545;67;7
13.545;13.645;66;6
13.645;13.745;67;7
13.745;13.845;66;6
13.745;14.045;47;11
13.845;13.945;67;7
13.945;14.045;66;6
14.045;14.145;67;7
14.045;14.145;59;11
14.145;14.425;66;6
14.145;14.525;54;6
14.425;14.525;67;7
14.525;14.725;66;6
14.525;14.825;54;6
14.825;14.925;66;6
14.925;14.975;71;11
14.925;15.125;59;11
14.975;15.025;73;1
15.025;15.075;74;2
15.075;15.125;76;4
15.125;15.225;78;6
15.225;15.325;79;7
15.325;15.425;78;6
15.425;15.585;79;7
15.585;15.685;78;6
15.685;15.805;79;7
15.805;15.905;78;6
15.805;16.105;47;11
15.905;16.005;79;7
16.005;16.105;78;6
16.105;16.205;79;7
16.105;16.205;59;11
16.205;16.305;78;6
16.205;16.405;54;6
