start;end;pitch;pitchclass
3.54;3.54;59;11
3.54;3.54;61;1
3.54;3.54;62;2
3.54;3.565;64;4
3.565;3.665;66;6
3.665;3.805;67;7
3.805;3.905;66;6
3.905;4.005;67;7
4.005;4.105;66;6
4.105;4.205;67;7
4.205;4.305;66;6
4.305;4.405;67;7
4.405;4.505;66;6
4.505;4.605;67;7
4.605;4.705;66;6
4.705;4.805;67;7
4.805;4.905;66;6
4.905;5.005;67;7
5.005;5.205;66;6
5.205;5.255;50;2
5.255;5.305;52;4
5.305;5.355;54;6
5.355;5.405;55;7
5.405;5.505;78;6
5.505;5.605;79;7
5.605;5.745;78;6
5.745;5.845;79;7
5.845;5.945;78;6
5.945;6.045;79;7
6.045;6.145;78;6
6.145;6.245;79;7
6.245;6.345;78;6
6.345;6.445;79;7
6.445;6.545;78;6
6.545;6.665;79;7
6.665;6.765;78;6
6.765;7.025;79;7
7.025;7.225;78;6
7.225;7.275;62;2
7.275;7.325;64;4
7.325;7.375;66;6
7.375;7.425;67;7
7.425;7.525;90;6
7.525;7.625;91;7
7.625;7.725;90;6
7.725;7.825;91;7
7.825;7.925;90;6
7.925;8.025;91;7
8.025;8.125;90;6
8.125;8.225;91;7
8.225;8.325;90;6
8.325;8.425;91;7
8.425;8.525;90;6
8.525;8.625;91;7
8.625;8.725;90;6
8.725;8.825;91;7
8.825;9.025;90;6
9.025;9.075;50;2
9.075;9.125;52;4
9.125;9.175;54;6
9.175;9.225;55;7
9.225;9.325;78;6
9.325;9.425;79;7
9.425;9.525;78;6
9.525;9.625;79;7
9.625;9.845;78;6
9.845;9.945;79;7
9.945;10.09;78;6
10.09;10.205;79;7
10.205;10.305;78;6
10.305;10.405;79;7
10.405;10.505;78;6
10.505;10.605;79;7
10.605;10.705;78;6
10.705;10.805;79;7
10.805;11.005;78;6
11.005;11.055;38;2
11.055;11.105;40;4
11.105;11.155;42;6
11.155;11.205;43;7
11.205;11.305;66;6
11.305;11.405;67;7
11.405;11.505;66;6
11.505;11.605;67;7
11.605;11.705;66;6
11.705;11.805;67;7
11.805;11.905;66;6
11.805;12.105;47;11
11.905;12.005;67;7
12.005;12.105;66;6
12.105;12.205;67;7
12.105;12.205;59;11
12.205;12.325;66;6
12.205;12.425;54;6
12.325;12.425;67;7
12.425;12.725;66;6
12.425;12.845;54;6
12.845;13.005;66;6
13.005;13.055;71;11
13.005;13.205;59;11
13.055;13.105;73;1
13.105;13.155;74;2
13.155;13.205;76;4
13.205;13.305;78;6
13.305;13.405;79;7
13.405;13.505;78;6
13.505;13.605;79;7
13.605;13.705;78;6
13.705;13.88;79;7
13.88;13.985;78;6
13.88;14.185;47;11
13.985;14.085;79;7
14.085;14.185;78;6
14.185;14.285;79;7
14.185;14.285;59;11
14.285;14.385;78;6
14.285;14.485;54;6
14.385;14.485;79;7
14.485;14.685;78;6
14.485;14.785;54;6
14.785;14.885;66;6
14.885;14.945;83;11
14.885;15.125;59;11
14.945;15.025;85;1
15.025;15.075;86;2
15.075;15.125;88;4
15.125;15.225;90;6
15.225;15.325;91;7
15.325;15.425;90;6
15.425;15.525;91;7
15.525;15.625;90;6
15.625;15.725;91;7
15.725;15.855;90;6
15.725;16.145;47;11
15.855;16.045;91;7
16.045;16.145;90;6
16.145;16.325;91;7
16.145;16.325;59;11
16.325;16.425;90;6
16.325;16.555;54;6
16.425;16.555;91;7
16.555;16.825;90;6
16.555;16.925;54;6
16.925;17.025;66;6
17.025;17.075;71;11
17.025;17.265;59;11
17.075;17.165;73;1
17.165;17.215;74;2
17.215;17.265;76;4
17.265;17.365;78;6
17.365;17.465;79;7
17.465;17.565;78;6
17.565;17.665;79;7
17.665;17.765;78;6
17.765;17.865;79;7
17.865;17.965;78;6
17.865;18.165;47;11
17.965;18.065;79;7
