start;end;pitch;pitchclass
0.32;0.32;59;11
0.32;0.32;61;1
0.32;0.32;62;2
0.32;0.345;64;4
0.345;0.445;66;6
0.445;0.545;67;7
0.545;0.645;66;6
0.645;0.745;67;7
0.745;0.845;66;6
0.845;0.945;67;7
0.945;1.045;66;6
1.045;1.145;67;7
1.145;1.245;66;6
1.245;1.345;67;7
1.345;1.445;66;6
1.445;1.545;67;7
1.545;1.645;66;6
1.645;1.745;67;7
1.745;1.945;66;6
1.945;1.995;50;2
1.995;2.045;52;4
2.045;2.0925;54;6
2.0925;2.125;55;7
2.125;2.225;78;6
2.225;2.405;79;7
2.405;2.505;78;6
2.505;2.605;79;7
2.605;2.705;78;6
2.705;2.805;79;7
2.805;2.905;78;6
2.905;3.005;79;7
3.005;3.105;78;6
3.105;3.205;79;7
3.205;3.305;78;6
3.305;3.405;79;7
3.405;3.505;78;6
3.505;3.605;79;7
3.605;3.805;78;6
3.805;3.855;62;2
3.855;3.905;64;4
3.905;3.955;66;6
3.955;4.005;67;7
4.005;4.105;90;6
4.105;4.205;91;7
4.205;4.305;90;6
4.305;4.405;91;7
4.405;4.525;90;6
4.525;4.625;91;7
4.625;4.725;90;6
4.725;4.825;91;7
4.825;4.925;90;6
4.925;5.025;91;7
5.025;5.165;90;6
5.165;5.265;91;7
5.265;5.365;90;6
5.365;5.465;91;7
5.465;5.665;90;6
5.665;5.715;50;2
5.715;5.765;52;4
5.765;5.815;54;6
5.815;5.865;55;7
5.865;5.965;78;6
5.965;6.065;79;7
6.065;6.165;78;6
6.165;6.305;79;7
6.305;6.405;78;6
6.405;6.505;79;7
6.505;6.605;78;6
6.605;6.745;79;7
6.745;6.845;78;6
6.845;6.945;79;7
6.945;7.045;78;6
7.045;7.145;79;7
7.145;7.245;78;6
7.245;7.345;79;7
7.345;7.545;78;6
7.545;7.595;38;2
7.595;7.645;40;4
7.645;7.695;42;6
7.695;7.745;43;7
7.745;7.845;66;6
7.845;7.965;67;7
7.965;8.065;66;6
8.065;8.165;67;7
8.165;8.265;66;6
8.265;8.365;67;7
8.365;8.485;66;6
8.365;8.835;47;11
8.485;8.585;67;7
8.585;8.835;66;6
8.835;8.985;67;7
8.835;8.985;59;11
8.985;9.085;66;6
8.985;9.185;54;6
9.085;9.185;67;7
9.185;9.385;66;6
9.185;9.485;54;6
9.485;9.585;66;6
9.585;9.635;71;11
9.585;9.785;59;11
9.635;9.685;73;1
9.685;9.735;74;2
9.735;9.785;76;4
9.785;9.885;78;6
9.885;9.985;79;7
9.985;10.085;78;6
10.085;10.185;79;7
10.185;10.285;78;6
10.285;10.385;79;7
10.385;10.485;78;6
10.385;10.685;47;11
10.485;10.585;79;7
10.585;10.685;78;6
10.685;10.785;79;7
10.685;10.785;59;11
10.785;10.885;78;6
10.785;10.985;54;6
10.885;10.985;79;7
10.985;11.145;78;6
10.985;11.245;54;6
11.245;11.325;66;6
11.325;11.375;83;11
11.325;11.525;59;11
11.375;11.425;85;1
11.425;11.475;86;2
11.475;11.525;88;4
11.525;11.625;90;6
11.625;11.725;91;7
11.725;11.84;90;6
11.84;11.965;91;7
11.965;12.065;90;6
12.065;12.165;91;7
12.165;12.265;90;6
12.165;12.465;47;11
12.265;12.365;91;7
12.365;12.465;90;6
12.465;12.605;91;7
12.465;12.605;59;11
12.605;12.705;90;6
12.605;12.805;54;6
12.705;12.805;91;7
12.805;13.005;90;6
12.805;13.105;54;6
13.105;13.205;66;6
13.205;13.255;71;11
13.205;13.405;59;11
13.255;13.305;73;1
13.305;13.355;74;2
13.355;13.405;76;4
13.405;13.505;78;6
13.505;13.605;79;7
13.605;13.705;78;6
13.705;13.805;79;7
13.805;13.905;78;6
13.905;14.005;79;7
14.005;14.125;78;6
14.005;14.365;47;11
14.125;14.225;79;7
14.225;14.365;78;6
14.365;14.465;79;7
14.365;14.465;59;11
14.465;14.565;78;6
14.465;14.665;54;6
14.565;14.665;79;7
14.665;14.865;78;6
14.665;14.965;54;6
14.965;15.065;66;6
15.065;15.265;59;11
15.265;15.865;66;6
15.365;15.465;78;6
15.465;15.565;90;6
15.565;15.665;86;2
15.665;15.765;83;11
15.765;15.865;78;6
15.865;16.165;47;11
15.965;16.065;74;2
16.065;16.165;86;2
16.165;16.265;83;11
16.165;16.265;59;11
16.265;16.365;78;6
16.265;16.545;54;6
16.365;16.545;74;2
16.545;16.845;54;6
16.645;16.745;71;11
16.745;16.845;83;11
16.845;16.945;78;6
16.845;16.945;66;6
16.945;17.045;74;2
16.945;17.145;59;11
17.045;17.145;71;11
17.145;17.905;66;6
17.245;17.345;78;6
17.345;17.505;90;6
17.505;17.605;86;2
17.605;17.775;83;11
17.775;17.905;78;6
17.905;18.205;47;11
18.005;18.105;74;2
18.105;18.205;86;2
18.205;18.305;83;11
18.205;18.305;59;11
18.305;18.405;78;6
18.305;18.505;54;6
18.405;18.505;74;2
18.505;18.805;54;6
18.605;18.705;71;11
18.705;18.805;83;11
18.805;18.905;78;6
18.805;18.905;66;6
18.905;19.005;74;2
18.905;19.105;59;11
19.005;19.105;71;11
19.105;19.845;66;6
19.285;19.385;78;6
19.385;19.485;90;6
19.485;19.585;86;2
19.585;19.745;83;11
19.745;19.845;78;6
19.845;20.165;47;11
19.945;20.045;74;2
20.045;20.165;86;2
20.165;20.325;83;11
20.165;20.325;59;11
20.325;20.425;78;6
20.325;20.525;54;6
20.425;20.525;74;2
20.525;20.825;54;6
20.625;20.725;71;11
20.725;20.825;83;11
20.825;20.925;78;6
20.825;20.925;66;6
20.925;21.025;74;2
20.925;21.125;59;11
21.025;21.125;71;11
21.125;21.785;66;6
21.225;21.325;78;6
21.325;21.485;90;6
21.485;21.585;86;2
21.585;21.685;83;11
21.685;21.785;78;6
21.785;22.085;47;11
21.885;21.985;74;2
21.985;22.085;86;2
22.085;22.185;83;11
22.085;22.185;59;11
22.185;22.285;78;6
22.185;22.385;54;6
22.285;22.385;74;2
22.385;22.585;66;6
22.485;22.585;71;11
22.585;22.685;83;11
22.685;22.785;78;6
22.785;22.885;74;2
22.785;22.985;54;6
22.885;22.985;71;11
22.985;23.285;59;11
23.085;23.185;74;2
23.185;23.285;86;2
23.285;23.42;83;11
23.285;23.42;54;6
23.42;23.525;78;6
23.42;23.625;59;11
23.525;23.625;74;2
23.625;24.245;62;2
23.725;23.845;71;11
23.845;23.945;83;11
23.945;24.045;78;6
24.045;24.145;74;2
24.145;24.245;71;11
24.245;24.885;59;11
24.345;24.445;66;6
24.445;24.545;78;6
24.545;24.645;74;2
24.645;24.785;71;11
24.785;24.885;66;6
24.885;25.185;62;2
24.985;25.085;78;6
25.085;25.185;90;6
25.185;25.285;86;2
25.185;25.285;59;11
25.285;25.385;83;11
25.285;25.485;62;2
25.385;25.485;78;6
25.485;26.105;66;6
25.585;25.685;74;2
25.685;25.785;86;2
25.785;25.885;83;11
25.885;25.985;78;6
25.985;26.105;74;2
26.105;26.865;62;2
26.245;26.345;71;11
26.345;26.445;83;11
26.445;26.545;78;6
26.545;26.645;74;2
26.645;26.865;71;11
26.865;27.165;66;6
26.965;27.065;81;9
27.065;27.165;93;9
27.165;27.265;90;6
27.165;27.265;62;2
27.265;27.365;86;2
27.265;27.485;66;6
27.365;27.485;81;9
27.485;28.085;69;9
27.585;27.685;78;6
27.685;27.785;90;6
27.785;27.885;86;2
27.885;27.985;81;9
27.985;28.085;78;6
28.085;28.745;57;9
28.245;28.345;76;4
28.345;28.445;88;4
28.445;28.545;85;1
28.545;28.645;81;9
28.645;28.745;76;4
28.745;29.045;62;2
28.845;28.945;81;9
28.945;29.045;93;9
29.045;29.145;90;6
29.045;29.145;57;9
29.145;29.285;86;2
29.145;29.385;62;2
29.285;29.385;81;9
29.385;30.685;66;6
29.485;29.585;78;6
29.585;29.685;90;6
29.685;29.785;86;2
29.785;29.885;81;9
29.885;29.985;78;6
30.085;30.185;74;2
30.185;30.285;86;2
30.285;30.385;81;9
30.385;30.52;78;6
30.52;30.685;74;2
30.685;31.365;69;9
30.845;30.945;81;9
30.945;31.045;93;9
31.045;31.145;90;6
31.145;31.245;86;2
31.245;31.365;81;9
31.365;31.665;50;2
31.465;31.565;78;6
31.565;31.665;90;6
31.665;31.765;86;2
31.665;31.765;62;2
31.765;31.905;81;9
31.765;32.005;57;9
31.905;32.005;78;6
32.005;32.305;57;9
32.105;32.205;74;2
32.205;32.305;86;2
32.305;32.405;81;9
32.305;32.405;69;9
32.405;32.505;78;6
32.405;32.605;62;2
32.505;32.605;74;2
32.605;33.205;69;9
32.705;32.805;81;9
32.805;32.905;93;9
32.905;33.005;90;6
33.005;33.105;86;2
33.105;33.205;81;9
33.205;33.545;50;2
33.345;33.445;78;6
33.445;33.545;90;6
33.545;33.645;86;2
33.545;33.645;62;2
33.645;33.745;81;9
33.645;33.845;57;9
33.745;33.845;78;6
33.845;34.145;57;9
33.945;34.045;74;2
34.045;34.145;86;2
34.145;34.245;81;9
34.145;34.245;69;9
34.245;34.345;78;6
34.245;34.445;62;2
34.345;34.445;74;2
34.445;35.045;69;9
34.545;34.645;81;9
34.645;34.745;93;9
34.745;34.845;90;6
34.845;34.945;86;2
34.945;35.045;81;9
35.045;35.345;50;2
35.145;35.245;78;6
35.245;35.345;90;6
35.345;35.445;86;2
35.345;35.445;62;2
35.445;35.545;81;9
35.445;35.645;57;9
35.545;35.645;78;6
35.645;35.925;69;9
35.825;35.925;74;2
35.925;36.025;86;2
36.025;36.125;81;9
36.125;36.285;78;6
36.125;36.385;57;9
36.285;36.385;74;2
36.385;36.685;62;2
36.485;36.585;78;6
36.585;36.685;90;6
36.685;36.825;86;2
36.685;36.825;57;9
36.825;36.965;81;9
36.825;37.065;62;2
36.965;37.065;78;6
37.065;37.745;66;6
37.165;37.265;74;2
37.265;37.365;86;2
37.365;37.465;81;9
37.465;37.565;78;6
37.565;37.745;74;2
37.745;38.405;62;2
37.845;37.945;69;9
37.945;38.06;81;9
38.06;38.205;78;6
38.205;38.305;74;2
38.305;38.405;69;9
38.405;38.745;66;6
38.505;38.605;81;9
38.605;38.745;93;9
38.745;38.845;90;6
38.745;38.845;62;2
38.845;38.945;86;2
38.845;39.045;66;6
38.945;39.045;81;9
39.045;39.645;69;9
39.145;39.245;78;6
39.245;39.345;90;6
39.345;39.445;86;2
39.445;39.545;81;9
39.545;39.645;78;6
39.645;40.345;66;6
39.745;39.845;74;2
39.845;40.025;86;2
40.025;40.145;81;9
40.145;40.245;78;6
40.245;40.345;74;2
40.345;40.645;69;9
40.445;40.545;85;1
40.545;40.645;97;1
40.645;40.745;93;9
40.645;40.745;66;6
40.745;40.845;90;6
40.745;40.945;69;9
40.845;40.945;85;1
40.945;41.725;73;1
41.045;41.145;81;9
41.145;41.245;93;9
41.245;41.345;90;6
41.345;41.445;85;1
41.445;41.725;81;9
41.725;42.325;61;1
41.825;41.925;80;8
41.925;42.025;92;8
42.025;42.125;89;5
42.125;42.225;85;1
42.225;42.325;80;8
42.325;42.785;66;6
42.525;42.685;78;6
42.685;42.785;90;6
42.785;42.885;85;1
42.785;42.885;61;1
42.885;42.985;82;10
42.885;43.085;66;6
42.985;43.085;78;6
43.085;43.705;70;10
43.185;43.305;73;1
43.305;43.405;85;1
43.405;43.505;82;10
43.505;43.605;78;6
43.605;43.705;73;1
43.705;44.025;54;6
43.825;43.925;70;10
43.925;44.025;82;10
44.025;44.125;78;6
44.025;44.125;66;6
44.125;44.225;73;1
44.125;44.325;61;1
44.225;44.325;70;10
44.325;44.925;66;6
44.325;44.925;70;10
44.425;44.525;78;6
44.525;44.625;90;6
44.625;44.725;85;1
44.725;44.825;82;10
44.825;44.925;78;6
44.925;45.245;42;6
45.045;45.145;73;1
45.145;45.245;85;1
45.245;45.345;82;10
45.245;45.345;61;1
45.345;45.445;78;6
45.345;45.545;54;6
45.445;45.545;73;1
45.545;45.845;54;6
45.645;45.745;70;10
45.745;45.845;82;10
45.845;45.945;78;6
45.845;45.945;66;6
45.945;46.045;73;1
45.945;46.145;61;1
46.045;46.145;70;10
46.145;46.835;66;6
46.145;46.835;70;10
46.245;46.345;78;6
46.345;46.46;90;6
46.46;46.605;85;1
46.605;46.705;82;10
46.705;46.835;78;6
46.835;47.145;42;6
46.945;47.045;73;1
47.045;47.145;85;1
47.145;47.245;82;10
47.145;47.245;61;1
47.245;47.345;78;6
47.245;47.445;54;6
47.345;47.445;73;1
47.445;47.745;54;6
47.545;47.645;70;10
47.645;47.745;82;10
47.745;47.845;78;6
47.745;47.845;66;6
47.845;47.945;73;1
47.845;48.045;61;1
47.945;48.045;70;10
48.045;48.785;66;6
48.045;48.785;70;10
48.165;48.265;78;6
48.265;48.385;90;6
48.385;48.585;85;1
48.585;48.685;82;10
48.685;48.785;78;6
48.785;49.085;42;6
48.885;48.985;73;1
48.985;49.085;85;1
49.085;49.185;82;10
49.085;49.185;61;1
49.185;49.285;78;6
49.185;49.385;54;6
49.285;49.385;73;1
49.385;49.585;66;6
49.485;49.585;70;10
49.585;49.685;82;10
49.685;49.785;78;6
49.785;49.885;73;1
49.785;49.985;54;6
49.885;49.985;70;10
49.985;50.285;55;7
50.085;50.185;76;4
50.185;50.285;88;4
50.285;50.385;83;11
50.285;50.385;52;4
50.385;50.485;79;7
50.385;50.585;55;7
50.485;50.585;76;4
