start;end;pitch;pitchclass
7.28;7.28;59;11
7.28;7.28;61;1
7.28;7.28;62;2
7.28;7.305;64;4
7.305;7.405;66;6
7.405;7.505;67;7
7.505;7.605;66;6
7.605;7.705;67;7
7.705;7.805;66;6
7.805;7.905;67;7
7.905;7.985;66;6
7.985;8.085;67;7
8.085;8.185;66;6
8.185;8.285;67;7
8.285;8.385;66;6
8.385;8.485;67;7
8.485;8.585;66;6
8.585;8.685;67;7
8.685;8.885;66;6
8.885;8.935;50;2
8.935;8.985;52;4
8.985;9.035;54;6
9.035;9.085;55;7
9.085;9.185;78;6
9.185;9.285;79;7
9.285;9.385;78;6
9.385;9.485;79;7
9.485;9.585;78;6
9.585;9.685;79;7
9.685;9.805;78;6
9.805;9.905;79;7
9.905;10.005;78;6
10.005;10.105;79;7
10.105;10.205;78;6
10.205;10.305;79;7
10.305;10.405;78;6
10.405;10.52;79;7
10.52;10.725;78;6
10.725;10.775;62;2
10.775;10.825;64;4
10.825;10.875;66;6
10.875;10.925;67;7
10.925;11.025;90;6
11.025;11.085;91;7
11.085;11.145;90;6
11.145;11.245;91;7
11.245;11.345;90;6
11.345;11.445;91;7
11.445;11.545;90;6
11.545;11.645;91;7
11.645;11.745;90;6
11.745;11.845;91;7
11.845;11.945;90;6
11.945;12.045;91;7
12.045;12.145;90;6
12.145;12.245;91;7
12.245;12.445;90;6
12.445;12.495;50;2
12.495;12.545;52;4
12.545;12.595;54;6
12.595;12.645;55;7
12.645;12.765;78;6
12.765;12.885;79;7
12.885;13.105;78;6
13.105;13.205;79;7
13.205;13.305;78;6
13.305;13.405;79;7
13.405;13.505;78;6
13.505;13.605;79;7
13.605;13.705;78;6
13.705;13.805;79;7
13.805;13.905;78;6
13.905;14.005;79;7
14.005;14.105;78;6
14.105;14.205;79;7
14.205;14.425;78;6
14.425;14.475;38;2
14.475;14.525;40;4
14.525;14.575;42;6
14.575;14.625;43;7
14.625;14.725;66;6
14.725;14.825;67;7
14.825;14.925;66;6
14.925;15.025;67;7
15.025;15.125;66;6
15.125;15.225;67;7
15.225;15.305;66;6
15.225;15.505;47;11
15.305;15.405;67;7
15.405;15.505;66;6
15.505;15.605;67;7
15.505;15.605;59;11
15.605;15.705;66;6
15.605;15.787;54;6
15.705;15.787;67;7
15.787;15.885;66;6
15.787;15.985;54;6
15.985;16.085;66;6
16.085;16.135;71;11
16.085;16.285;59;11
16.135;16.185;73;1
16.185;16.235;74;2
16.235;16.285;76;4
16.285;16.385;78;6
16.385;16.485;79;7
16.485;16.585;78;6
16.585;16.685;79;7
16.685;16.785;78;6
16.785;16.885;79;7
16.885;16.985;78;6
16.885;17.185;47;11
16.985;17.085;79;7
17.085;17.185;78;6
17.185;17.285;79;7
17.185;17.285;59;11
17.285;17.525;78;6
