start;end;pitch;pitchclass
5.44;5.44;59;11
5.44;5.44;61;1
5.44;5.44;62;2
5.44;5.465;64;4
5.465;5.665;66;6
5.665;5.795;67;7
5.795;5.945;66;6
5.945;6.045;67;7
6.045;6.145;66;6
6.145;6.245;67;7
6.245;6.345;66;6
6.345;6.445;67;7
6.445;6.545;66;6
6.545;6.645;67;7
6.645;6.745;66;6
6.745;6.845;67;7
6.845;6.945;66;6
6.945;7.045;67;7
7.045;7.245;66;6
7.245;7.295;50;2
7.295;7.345;52;4
7.345;7.395;54;6
7.395;7.445;55;7
7.445;7.545;78;6
7.545;7.645;79;7
7.645;7.745;78;6
7.745;7.885;79;7
7.885;7.985;78;6
7.985;8.085;79;7
8.085;8.185;78;6
8.185;8.335;79;7
8.335;8.445;78;6
8.445;8.545;79;7
8.545;8.645;78;6
8.645;8.745;79;7
8.745;8.845;78;6
8.845;8.945;79;7
8.945;9.145;78;6
9.145;9.195;62;2
9.195;9.245;64;4
9.245;9.295;66;6
9.295;9.345;67;7
9.345;9.445;90;6
9.445;9.545;91;7
9.545;9.745;90;6
9.745;9.845;91;7
9.845;10.02;90;6
10.02;10.145;91;7
10.145;10.245;90;6
10.245;10.365;91;7
10.365;10.465;90;6
10.465;10.585;91;7
10.585;10.685;90;6
10.685;10.785;91;7
10.785;10.905;90;6
10.905;11.005;91;7
11.005;11.245;90;6
11.245;11.295;50;2
11.295;11.345;52;4
11.345;11.395;54;6
11.395;11.445;55;7
11.445;11.545;78;6
11.545;11.645;79;7
11.645;11.745;78;6
11.745;11.845;79;7
11.845;11.945;78;6
11.945;12.045;79;7
12.045;12.145;78;6
12.145;12.285;79;7
12.285;12.385;78;6
12.385;12.505;79;7
12.505;12.605;78;6
12.605;12.705;79;7
12.705;12.805;78;6
12.805;12.905;79;7
12.905;13.105;78;6
13.105;13.155;38;2
13.155;13.205;40;4
13.205;13.255;42;6
13.255;13.365;43;7
13.365;13.625;66;6
13.625;13.765;67;7
13.765;13.865;66;6
13.865;13.965;67;7
13.965;14.065;66;6
14.065;14.165;67;7
14.165;14.265;66;6
14.165;14.505;47;11
14.265;14.365;67;7
14.365;14.505;66;6
14.505;14.605;67;7
14.505;14.605;59;11
14.605;14.705;66;6
14.605;14.805;54;6
14.705;14.805;67;7
14.805;15.005;66;6
14.805;15.105;54;6
15.105;15.205;66;6
15.205;15.255;71;11
15.205;15.405;59;11
15.255;15.305;73;1
15.305;15.355;74;2
15.355;15.405;76;4
15.405;15.505;78;6
15.505;15.605;79;7
15.605;15.705;78;6
15.705;15.805;79;7
15.805;15.905;78;6
15.905;16.005;79;7
16.005;16.105;78;6
16.005;16.305;47;11
16.105;16.205;79;7
16.205;16.305;78;6
16.305;16.565;79;7
16.305;16.565;59;11
16.565;16.665;78;6
16.565;16.765;54;6
16.665;16.765;79;7
16.765;16.965;78;6
16.765;17.065;54;6
17.065;17.165;66;6
17.165;17.215;83;11
17.165;17.365;59;11
17.215;17.265;85;1
17.265;17.315;86;2
17.315;17.365;88;4
17.365;17.465;90;6
17.465;17.565;91;7
17.565;17.665;90;6
17.665;17.765;91;7
17.765;17.865;90;6
17.865;17.965;91;7
17.965;18.065;90;6
17.965;18.265;47;11
18.065;18.165;91;7
18.165;18.265;90;6
18.265;18.365;91;7
18.265;18.365;59;11
18.365;18.465;90;6
18.365;18.565;54;6
18.465;18.565;91;7
18.565;18.785;90;6
18.565;18.99;54;6
18.99;19.125;66;6
19.125;19.175;71;11
19.125;19.365;59;11
19.175;19.255;73;1
19.255;19.315;74;2
19.315;19.365;76;4
19.365;19.465;78;6
19.465;19.565;79;7
19.565;19.665;78;6
19.665;19.815;79;7
19.815;19.925;78;6
19.925;20.025;79;7
20.025;20.125;78;6
20.025;20.325;47;11
20.125;20.225;79;7
20.225;20.325;78;6
20.325;20.425;79;7
20.325;20.425;59;11
20.425;20.525;78;6
20.425;20.625;54;6
20.525;20.625;79;7
20.625;20.865;78;6
20.625;21.005;54;6
21.005;21.105;66;6
21.105;21.305;59;11
21.305;22.105;66;6
21.525;21.685;78;6
21.685;21.785;90;6
21.785;21.885;86;2
21.885;22;83;11
22;22.105;78;6
22.105;22.405;47;11
22.205;22.305;74;2
22.305;22.405;86;2
22.405;22.505;83;11
22.405;22.505;59;11
22.505;22.605;78;6
22.505;22.705;54;6
22.605;22.705;74;2
22.705;23.005;54;6
22.805;22.905;71;11
22.905;23.005;83;11
23.005;23.105;78;6
23.005;23.105;66;6
23.105;23.205;74;2
23.105;23.305;59;11
23.205;23.305;71;11
23.305;23.965;66;6
23.405;23.565;78;6
23.565;23.665;90;6
23.665;23.765;86;2
23.765;23.865;83;11
23.865;23.965;78;6
23.965;24.265;47;11
24.065;24.165;74;2
24.165;24.265;86;2
24.265;24.365;83;11
24.265;24.365;59;11
24.365;24.465;78;6
24.365;24.565;54;6
24.465;24.565;74;2
24.565;24.865;54;6
24.665;24.765;71;11
24.765;24.865;83;11
24.865;25.005;78;6
24.865;25.005;66;6
25.005;25.105;74;2
25.005;25.205;59;11
25.105;25.205;71;11
25.205;25.805;66;6
25.305;25.405;78;6
25.405;25.505;90;6
25.505;25.605;86;2
25.605;25.705;83;11
25.705;25.805;78;6
25.805;26.105;47;11
25.905;26.005;74;2
26.005;26.105;86;2
26.105;26.24;83;11
26.105;26.24;59;11
26.24;26.425;78;6
26.24;26.585;54;6
26.425;26.585;74;2
26.585;26.885;54;6
26.685;26.785;71;11
26.785;26.885;83;11
26.885;27.185;78;6
26.885;27.185;66;6
27.185;27.305;74;2
27.185;27.425;59;11
27.305;27.425;71;11
27.425;28.025;66;6
27.525;27.625;78;6
27.625;27.725;90;6
27.725;27.825;86;2
27.825;27.925;83;11
27.925;28.025;78;6
28.025;28.325;47;11
28.125;28.225;74;2
28.225;28.325;86;2
28.325;28.425;83;11
28.325;28.425;59;11
28.425;28.525;78;6
28.425;28.625;54;6
28.525;28.625;74;2
28.625;28.965;66;6
28.725;28.965;71;11
28.965;29.065;83;11
29.065;29.165;78;6
29.165;29.265;74;2
29.165;29.365;54;6
29.265;29.365;71;11
29.365;29.725;59;11
29.465;29.565;74;2
29.565;29.725;86;2
29.725;29.825;83;11
29.725;29.825;54;6
29.825;29.925;78;6
29.825;30.025;59;11
29.925;30.025;74;2
30.025;30.725;62;2
30.125;30.225;71;11
30.225;30.325;83;11
30.325;30.445;78;6
30.445;30.565;74;2
30.565;30.725;71;11
30.725;31.385;59;11
30.825;30.985;66;6
30.985;31.085;78;6
31.085;31.185;74;2
31.185;31.285;71;11
31.285;31.385;66;6
31.385;31.685;62;2
31.485;31.585;78;6
31.585;31.685;90;6
31.685;31.785;86;2
31.685;31.785;59;11
31.785;31.885;83;11
31.785;32.025;62;2
31.885;32.025;78;6
32.025;32.645;66;6
32.125;32.225;74;2
32.225;32.325;86;2
32.325;32.445;83;11
32.445;32.545;78;6
32.545;32.645;74;2
32.645;33.485;62;2
32.745;32.845;71;11
32.845;33.1;83;11
33.1;33.225;78;6
33.225;33.385;74;2
33.385;33.485;71;11
33.485;33.785;66;6
33.585;33.685;81;9
33.685;33.785;93;9
33.785;33.985;90;6
33.785;33.985;62;2
33.985;34.085;86;2
33.985;34.185;66;6
34.085;34.185;81;9
34.185;34.905;69;9
34.285;34.385;78;6
34.385;34.485;90;6
34.485;34.605;86;2
34.605;34.705;81;9
34.705;34.905;78;6
34.905;35.525;57;9
35.005;35.105;76;4
35.105;35.205;88;4
35.205;35.325;85;1
35.325;35.425;81;9
35.425;35.525;76;4
35.525;35.87;62;2
35.625;35.725;81;9
35.725;35.87;93;9
35.87;36.075;90;6
35.87;36.075;57;9
36.075;36.205;86;2
36.075;36.305;62;2
36.205;36.305;81;9
36.305;37.645;66;6
36.465;36.625;78;6
36.625;36.745;90;6
36.745;36.845;86;2
36.845;36.945;81;9
36.945;37.045;78;6
37.145;37.245;74;2
37.245;37.345;86;2
37.345;37.445;81;9
37.445;37.545;78;6
37.545;37.645;74;2
37.645;38.245;69;9
37.745;37.845;81;9
37.845;37.945;93;9
37.945;38.045;90;6
38.045;38.145;86;2
38.145;38.245;81;9
38.245;38.545;50;2
38.345;38.445;78;6
38.445;38.545;90;6
38.545;38.705;86;2
38.545;38.705;62;2
38.705;38.805;81;9
38.705;38.905;57;9
38.805;38.905;78;6
38.905;39.34;57;9
39.005;39.105;74;2
39.105;39.34;86;2
39.34;39.545;81;9
39.34;39.545;69;9
39.545;39.645;78;6
39.545;39.745;62;2
39.645;39.745;74;2
39.745;40.345;69;9
39.845;39.945;81;9
39.945;40.045;93;9
40.045;40.145;90;6
40.145;40.245;86;2
40.245;40.345;81;9
40.345;40.645;50;2
40.445;40.545;78;6
40.545;40.645;90;6
40.645;40.745;86;2
40.645;40.745;62;2
40.745;40.845;81;9
40.745;40.985;57;9
40.845;40.985;78;6
40.985;41.405;57;9
41.085;41.185;74;2
41.185;41.405;86;2
41.405;41.505;81;9
41.405;41.505;69;9
41.505;41.625;78;6
41.505;41.725;62;2
41.625;41.725;74;2
41.725;42.445;69;9
41.825;41.925;81;9
41.925;42.145;93;9
42.145;42.245;90;6
42.245;42.345;86;2
42.345;42.445;81;9
42.445;42.805;50;2
42.545;42.645;78;6
42.645;42.805;90;6
42.805;42.985;86;2
42.805;42.985;62;2
42.985;43.085;81;9
42.985;43.185;57;9
43.085;43.185;78;6
43.185;43.385;69;9
43.285;43.385;74;2
43.385;43.525;86;2
43.525;43.625;81;9
43.625;43.725;78;6
43.625;43.825;57;9
43.725;43.825;74;2
43.825;44.145;62;2
43.925;44.045;78;6
44.045;44.145;90;6
44.145;44.245;86;2
44.145;44.245;57;9
44.245;44.405;81;9
44.245;44.525;62;2
44.405;44.525;78;6
44.525;45.32;66;6
44.625;44.725;74;2
44.725;45.005;86;2
45.005;45.105;81;9
45.105;45.205;78;6
45.205;45.32;74;2
45.32;45.925;62;2
45.425;45.525;69;9
45.525;45.625;81;9
45.625;45.725;78;6
45.725;45.825;74;2
45.825;45.925;69;9
45.925;46.325;66;6
46.125;46.225;81;9
46.225;46.325;93;9
46.325;46.425;90;6
46.325;46.425;62;2
46.425;46.525;86;2
46.425;46.625;66;6
46.525;46.625;81;9
46.625;47.345;69;9
46.725;46.825;78;6
46.825;47.045;90;6
47.045;47.145;86;2
47.145;47.245;81;9
47.245;47.345;78;6
47.345;47.965;66;6
47.445;47.545;74;2
47.545;47.645;86;2
47.645;47.76;81;9
47.76;47.865;78;6
47.865;47.965;74;2
47.965;48.265;69;9
48.065;48.165;85;1
48.165;48.265;97;1
48.265;48.365;93;9
48.265;48.365;66;6
48.365;48.465;90;6
48.365;48.565;69;9
48.465;48.565;85;1
48.565;49.485;73;1
48.665;48.765;81;9
48.765;49.14;93;9
49.14;49.265;90;6
49.265;49.385;85;1
49.385;49.485;81;9
49.485;50.125;61;1
49.585;49.685;80;8
49.685;49.785;92;8
49.785;49.885;89;5
49.885;49.985;85;1
49.985;50.125;80;8
50.125;50.425;66;6
50.225;50.325;78;6
50.325;50.425;90;6
50.425;50.665;85;1
50.425;50.665;61;1
50.665;50.805;82;10
50.665;50.905;66;6
50.805;50.905;78;6
50.905;51.585;70;10
51.005;51.185;73;1
51.185;51.285;85;1
51.285;51.385;82;10
51.385;51.485;78;6
51.485;51.585;73;1
51.585;51.945;54;6
51.745;51.845;70;10
51.845;51.945;82;10
51.945;52.045;78;6
51.945;52.045;66;6
52.045;52.145;73;1
52.045;52.245;61;1
52.145;52.245;70;10
52.245;52.985;66;6
52.245;52.985;70;10
52.345;52.505;78;6
52.505;52.67;90;6
52.67;52.785;85;1
52.785;52.885;82;10
52.885;52.985;78;6
52.985;53.285;42;6
53.085;53.185;73;1
53.185;53.285;85;1
53.285;53.385;82;10
53.285;53.385;61;1
53.385;53.485;78;6
53.385;53.585;54;6
53.485;53.585;73;1
53.585;53.885;54;6
53.685;53.785;70;10
53.785;53.885;82;10
53.885;53.985;78;6
53.885;53.985;66;6
53.985;54.085;73;1
53.985;54.185;61;1
54.085;54.185;70;10
54.185;54.785;66;6
54.185;54.785;70;10
54.285;54.385;78;6
54.385;54.485;90;6
54.485;54.585;85;1
54.585;54.685;82;10
54.685;54.785;78;6
54.785;55.085;42;6
54.885;54.985;73;1
54.985;55.085;85;1
55.085;55.185;82;10
55.085;55.185;61;1
55.185;55.285;78;6
55.185;55.385;54;6
55.285;55.385;73;1
55.385;55.685;54;6
55.485;55.585;70;10
55.585;55.685;82;10
55.685;55.965;78;6
55.685;55.965;66;6
55.965;56.065;73;1
55.965;56.165;61;1
56.065;56.165;70;10
56.165;56.785;66;6
56.165;56.785;70;10
56.285;56.385;78;6
56.385;56.485;90;6
56.485;56.585;85;1
56.585;56.685;82;10
56.685;56.785;78;6
56.785;57.085;42;6
56.885;56.985;73;1
56.985;57.085;85;1
57.085;57.445;82;10
57.085;57.445;61;1
57.445;57.545;78;6
57.445;57.645;54;6
57.545;57.645;73;1
57.645;57.905;66;6
57.775;57.905;70;10
57.905;58.005;82;10
58.005;58.105;78;6
58.105;58.205;73;1
58.105;58.305;54;6
58.205;58.305;70;10
58.305;58.605;55;7
58.405;58.505;76;4
58.505;58.605;88;4
58.605;58.705;83;11
58.605;58.705;52;4
58.705;58.805;79;7
58.705;59.065;55;7
58.805;59.065;76;4
59.065;60.025;59;11
59.165;59.265;74;2
59.265;59.425;86;2
59.425;59.555;83;11
59.555;59.685;78;6
59.685;59.825;74;2
59.925;60.025;71;11
60.025;60.125;83;11
60.125;60.225;78;6
60.225;60.325;74;2
60.225;60.425;66;6
60.325;60.425;71;11
60.425;60.725;67;7
60.525;60.625;76;4
60.625;60.725;88;4
60.725;60.825;83;11
60.725;60.825;64;4
60.825;60.925;79;7
60.825;61.025;67;7
60.925;61.025;76;4
61.025;61.87;71;11
61.125;61.225;74;2
61.225;61.325;86;2
61.325;61.425;83;11
61.425;61.525;78;6
61.525;61.625;74;2
61.725;61.87;71;11
61.87;62.065;83;11
62.065;62.165;78;6
62.165;62.265;74;2
62.165;62.485;54;6
62.165;62.485;66;6
62.265;62.485;71;11
62.485;62.785;55;7
62.485;62.785;67;7
62.585;62.685;76;4
62.685;62.785;88;4
62.785;62.885;83;11
62.785;62.885;52;4
62.785;62.885;64;4
62.885;62.985;79;7
62.885;63.085;55;7
62.885;63.085;67;7
62.985;63.085;76;4
63.085;64.065;60;0
63.085;64.065;72;0
63.185;63.285;76;4
63.285;63.385;88;4
63.385;63.77;84;0
63.77;63.965;79;7
63.965;64.065;76;4
64.065;64.705;54;6
64.065;64.705;66;6
64.165;64.265;78;6
64.265;64.405;90;6
64.405;64.505;85;1
64.505;64.605;82;10
64.605;64.705;78;6
64.705;65.005;54;6
64.705;65.005;59;11
64.705;65.005;62;2
64.805;64.905;78;6
64.905;65.005;90;6
65.005;65.105;86;2
65.005;65.105;59;11
65.005;65.105;62;2
65.005;65.105;66;6
65.105;65.205;83;11
65.105;65.485;62;2
65.105;65.485;66;6
65.105;65.485;71;11
65.205;65.485;78;6
65.485;66.085;66;6
65.485;66.085;71;11
65.485;66.085;74;2
65.585;65.685;78;6
65.685;65.785;90;6
65.785;65.885;86;2
65.885;65.985;83;11
65.985;66.085;78;6
66.085;66.385;54;6
66.185;66.285;74;2
66.285;66.385;86;2
66.385;66.485;83;11
66.385;66.485;66;6
66.485;66.585;78;6
66.485;66.685;59;11
66.585;66.685;74;2
66.685;67.285;66;6
66.785;66.885;78;6
66.885;66.985;90;6
66.985;67.085;86;2
67.085;67.185;83;11
67.185;67.285;78;6
67.285;67.785;47;11
67.385;67.485;74;2
67.485;67.785;86;2
67.785;67.885;83;11
67.785;67.885;59;11
67.885;67.985;78;6
67.885;68.085;54;6
67.985;68.085;74;2
68.085;68.345;66;6
68.185;68.345;71;11
68.345;68.525;83;11
68.525;68.625;78;6
68.625;68.725;74;2
68.625;68.825;54;6
68.725;68.825;71;11
68.825;69.125;55;7
68.925;69.025;76;4
69.025;69.125;88;4
69.125;69.225;83;11
69.125;69.225;52;4
69.225;69.325;79;7
69.225;69.425;55;7
69.325;69.425;76;4
69.425;70.305;59;11
69.525;69.625;74;2
69.625;69.725;86;2
69.725;69.825;83;11
69.825;69.925;78;6
69.925;70.025;74;2
70.205;70.305;71;11
70.305;70.405;83;11
70.405;70.645;78;6
70.645;70.745;74;2
70.645;70.965;66;6
70.745;70.965;71;11
70.965;71.28;67;7
71.065;71.165;76;4
71.165;71.28;88;4
71.28;71.405;83;11
71.28;71.405;64;4
71.405;71.58;79;7
71.405;71.865;67;7
71.58;71.865;76;4
71.865;72.685;71;11
71.985;72.085;74;2
