start;end;person;text
87.606;95.165446;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
96.245698;102.92528;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
103.62;118.45734;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
146.95954;151.05288;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
158.81514;161.38555;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
161.60866;164.90269;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
165.97384;167.46206;"Waltraute";"Wer hängt dir im Sattel?"
168.1;169.86712;"Helmwige";"Sintolt, der Hegeling!"
170.09;172.56178;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
172.78267;175.89488;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
175.89488;178.87931;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
180.6929;184.65288;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
186.24;188.44867;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
189.32335;192.64176;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
192.87264;194.25792;"Helmwige";"Ruhig, Brauner!"
194.91601;197.1846;"Helmwige";"Brich nicht den Frieden."
196.7073;200.21816;"Waltraute";"Hojoho! Hojoho!"
200.22;203.46194;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
211.87;213.21532;"Siegrune";"Arbeit gab’s!"
221.25738;223.22069;"Siegrune";"Sind die andren schon da?"
224.33266;227.77535;"Schwertleite";"Hojotoho! Hojotoho!"
229.2128;231.12496;"Waltraute und Schwertleite";"Heiaha!"
228.59675;231.12496;"Gerhilde";"Heiaha!"
232.05262;233.69867;"Grimgerde";"Hojotoho!"
234.13601;235.65979;"Rossweisse";"Hojotoho!"
236.49895;238.894;"Grimgerde und Rossweisse";"Heiaha!"
239.34;242.70196;"Waltraute";"Grimgerd’ und Rossweisse!"
243.15928;245.49789;"Gerhilde";"Sie reiten zu zwei."
264.25325;267.39781;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
268.08931;270.9352;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
272.37263;276.12866;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
277.0433;280.28767;"Rossweisse und Grimgerde";"Heiaha!"
280.29;296.2519;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
296.97;313.0475559995;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
298.14105;313.0475559995;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
324.9316;328.74724;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
333.1;336.72501;"Ortlinde";"Führet die Mähren fern von einander,"
337.82271;341.07799;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
341.08;345.28422;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
345.50844;350.80272;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
351.02;353.21535;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
353.01;355.08089;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
354.86;357.07533;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
356.85;359.0909;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
358.88;361.02087;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
361.50261;365.053894;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
364.820128;368.68292;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
368.90048;371.65954;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
375.8405946663;377.36514;"Schwertleite";"Wart ihr Kühnen zu zwei?"
377.98785;381.49271;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
381.70028;385.09402;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
386.36608;389.21267;"Rossweisse";"nach Walhall brechen wir auf,"
390.54;393.16934;"Rossweisse";"Wotan zu bringen die Wal."
394.49;397.78874;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
397.99853;400.33808;"Gerhilde";"Bei dem braunen Wälsung"
400.34;403.49775;"Gerhilde";"weilt wohl noch Brünnhild’."
403.49775;406.16824;"Waltraute";"Auf sie noch harren müssen wir hier:"
406.39;409.3523;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
409.55876;412.70272;"Waltraute";"säh’ ohne sie er uns nahn."
412.09;415.50731;"Siegrune";"Hojotoho! Hojotoho!"
416.42842;419.3687;"Siegrune";"Hieher! Hieher!"
419.8016;421.33202;"Siegrune";"In brünstigem Ritt"
421.33202;424.03795;"Siegrune";"jagt Brünnhilde her!"
424.04;427.92488;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
424.7393;427.92488;"Waltraute und Rossweisse";"Hojotoho!"
425.4386;427.03244;"Grimgerde und Schwertleite";"Hojotoho!"
427.47866;432.49062;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
428.15;431.99816;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
443.65238;447.55948;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
448.33948;451.99953;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
453.20726;456.655;"Rossweisse";"So jach sah ich nie Walküren jagen!"
457.60232;459.34952;"Ortlinde";"Wen hält sie im Sattel?"
459.59;460.73291;"Helmwige";"Das ist kein Held!"
466.14953;468.2562;"Siegrune";"Eine Frau führt sie!"
469.43572;471.56946;"Gerhilde";"Wie fand sie die Frau?"
471.84;474.845;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
475.35449;480.18622;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
481.56285;483.325;"Ortlinde";"Helft der Schwester"
483.325;484.69276;"Ortlinde";"vom Roß sich schwingen!"
485.84;489.35616;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
486.4727;490.03645;"Siegrune und Rossweisse";"Hojotoho! Hojotoho!"
487.5272;491.33515;"Waltraute, Grimgerde und Schwertleite";"Heiaho! Heiaha!"
489.58704;491.33515;"Ortlinde";"Heiaha!"
493.36103;498.22;"Waltraute";"Zu Grunde stürzt Grane, der starke!"
501.07758;503.98534;"Grimgerde";"Aus dem Sattel hebt sie hastig das Weib!"
504.65;507.7529799998;"Ortlinde, Waltraute und Schwertleite";"Schwester! Schwester!"
505.31933;507.7529799998;"Grimgerde";"Schwester!"
507.9715759998;510.3175466666;"Ortlinde, Waltraute, Schwertleite und Grimgerde";"Was ist geschehn?"
517.3325;522.895;"Brünnhilde";"Schützt mich, und helft in höchster Not!"
522.28378;524.9089;"Grimgerde";"Wo rittest du her in rasender Hast?"
522.74128;524.0839;"Siegrune";"Woher in rasender Hast?"
524.0839;525.895;"Gerhilde";"Wo rittest du her in rasender Hast?"
524.4964;525.895;"Helmwige";"Woher in rasender Hast?"
523.3525;526.1125;"Ortlinde, Waltraute und Schwertleite";"So flieht nur, wer auf der Flucht!"
523.58125;526.1125;"Rossweisse";"So flieht nur, wer auf der Flucht!"
524.635;525.895;"Siegrune";"bist du in Flucht?"
526.1125;529.705;"Brünnhilde";"Zum erstenmal flieh’ ich und bin verfolgt:"
530.51;532.925;"Brünnhilde";"Heervater hetzt mir nach!"
532.925;535.93835;"Helmwige, Gerhilde, Siegrune und Grimgerde";"Bist du von Sinnen? Sage uns! Wie?"
532.925;534.28818;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Ha! Sprich!"
534.90875;536.785;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Verfolgt dich Heervater?"
537.2075;538.2525;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"O sag!"
536.785;538.2525;"Acht Walküren";"Fliehst du vor ihm?"
544.9125;548.43125;"Brünnhilde";"O Schwestern, späht von des Felsens Spitze:"
548.655;551.87;"Brünnhilde";"schaut nach Norden, ob Walvater naht!"
557.32;560.0125;"Brünnhilde";"Schnell! Seht ihr ihn schon?"
561.955;564.48275;"Ortlinde";"Gewittersturm weht von Norden."
564.687;567.625;"Waltraute";"Starkes Gewölk staut sich dort auf!"
570.5;573.8525;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Heervater reitet sein heiliges Roß!"
574.655;577.79;"Brünnhilde";"Der wilde Jäger, der wütend mich jagt,"
578.005;580.47125;"Brünnhilde";"er naht, er naht von Norden!"
580.67;585.5425;"Brünnhilde";"Schützt mich, Schwestern! Wahret dies Weib!"
585.29625;587.74375;"Siegrune und Rossweisse";"Was ist mit dem Weibe?"
585.78875;587.74375;"Helmwige,Gerhilde, Grimgerde und Schwertleite";"Was ist mit dem Weibe?"
587.985;589.45;"Brünnhilde";"Hört mich in Eile:"
589.95;594.3575;"Brünnhilde";"Sieglinde ist es, Siegmunds Schwester und Braut:"
595.31;596.68816;"Brünnhilde";"gegen die Wälsungen"
596.69;599.0925;"Brünnhilde";"wütet Wotan in Grimm;"
599.33875;602.32;"Brünnhilde";"dem Bruder sollte Brünnhilde heut"
602.32;604.4664999995;"Brünnhilde";"entziehen den Sieg;"
604.7825833327;609.22812;"Brünnhilde";"doch Siegmund schützt’ ich mit meinem Schild,"
609.23;610.9025;"Brünnhilde";"trotzend dem Gott:"
611.18125;614.3439999998;"Brünnhilde";"der traf ihn da selbst mit dem Speer:"
614.645333333;616.4504999995;"Brünnhilde";"Siegmund fiel;"
616.7504166662;620.965;"Brünnhilde";"doch ich floh fern mit der Frau:"
621.14926;624.75787;"Brünnhilde";"sie zu retten eilt’ ich zu euch,"
625.33;629.3675;"Brünnhilde";"ob mich Bange auch"
629.3675;633.055;"Brünnhilde";"ihr berget vor dem strafenden Streich!"
634.36625;639.6675;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Betörte Schwester, was tatest du?"
640.16;645.706;"Helmwige, Siegrune und Grimgerde";"Wehe! Brünnhilde, wehe!"
640.16;647.6639999997;"Schwertleite";"Wehe! Wehe! Brünnhilde, wehe!"
641.225;647.6639999997;"Rossweisse";"Wehe! Brünnhilde, wehe!"
642.29;647.6639999997;"Grimgerde";"Wehe! Brünnhilde, wehe!"
646.6933333332;650.0780693333;"Helmwige, Siegrune und Grimgerde";"Brach ungehorsam"
648.6319999997;650.0780693333;"Gerhilde, Rossweisse und Schwertleite";"Brachst du"
650.08;655.3175;"Helmwige, Siegrune und Grimgerde";"Brünnhilde Heervaters heilig Gebot?"
650.08;655.3175;"Gerhilde, Rossweisse und Schwertleite";"Heervaters heilig Gebot?"
656.2125;659.6125;"Waltraute";"Nächtig zieht es von Norden heran."
659.6125;663.685;"Ortlinde";"Wütend steuert hieher der Sturm!"
664.54;668.11819;"Rossweisse, Grimgerde und Schwertleite";"Wild wiehert Walvaters Roß!"
668.12;670.98;"Helmwige, Gerhilde und Siegrune";"Schrecklich schnaubt es daher!"
676.05;679.6475;"Brünnhilde";"Wehe der Armen, wenn Wotan sie trifft:"
679.88875;683.97375;"Brünnhilde";"den Wälsungen allen droht er Verderben!"
684.7325;689.8075;"Brünnhilde";"Wer leiht mir von euch das leichteste Roß,"
690.06875;692.975;"Brünnhilde";"das flink die Frau ihm entführ’?"
693.8075;697.07;"Siegrune";"Auch uns rätst du rasenden Trotz?"
698.66;701.02763;"Brünnhilde";"Rossweisse, Schwester,"
701.03;702.7925;"Brünnhilde";"leih mir deinen Renner!"
703.08625;706.8875;"Rossweisse";"Vor Walvater floh der Fliegende nie."
707.38;709.075;"Brünnhilde";"Helmwige, höre!"
709.3575;711.2675;"Helmwige";"Dem Vater gehorch’ ich."
