start;end;person;text
86.506;94.05268672835;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
95.12636197449;101.6581535147;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
102.25;117.20178;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
146.27732;150.47068;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
157.85514;160.3867;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
160.60204;163.82267;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
164.92712;166.35546;"Waltraute";"Wer hängt dir im Sattel?"
166.96;168.80704;"Helmwige";"Sintolt, der Hegeling!"
169.04;171.314;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
171.536;174.6904;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
174.6904;177.61936;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
179.34178;183.24624;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
184.74;186.827108;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
187.72754;191.15512;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
191.37268;192.67804;"Helmwige";"Ruhig, Brauner!"
193.264415;195.36074;"Helmwige";"Brich nicht den Frieden."
194.89787;198.30821;"Waltraute";"Hojoho! Hojoho!"
198.31;201.48532;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
210.05;211.37534;"Siegrune";"Arbeit gab’s!"
219.30184;221.26069;"Siegrune";"Sind die andren schon da?"
222.366;225.75757;"Schwertleite";"Hojotoho! Hojotoho!"
227.21056;229.31144;"Waltraute und Schwertleite";"Heiaha!"
226.58785;229.31144;"Gerhilde";"Heiaha!"
230.18603;231.68755;"Grimgerde";"Hojotoho!"
232.14265;233.72423;"Rossweisse";"Hojotoho!"
234.58115;237.00954;"Grimgerde und Rossweisse";"Heiaha!"
237.46;240.73866;"Waltraute";"Grimgerd’ und Rossweisse!"
241.18488;243.48792;"Gerhilde";"Sie reiten zu zwei."
261.5255;264.61784;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
265.29266;268.02528;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
269.42596;273.25644;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
274.1622;277.27779;"Rossweisse und Grimgerde";"Heiaha!"
277.28;292.5187;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
293.17;309.3872759995;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
294.3466;309.3872759995;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
320.3439020405;323.9680533333;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
327.92;331.29393;"Ortlinde";"Führet die Mähren fern von einander,"
332.29613;335.27809;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
335.28;339.23647;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
339.43294;344.40952;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
344.61;346.60978;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
346.39;348.56536;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
348.37;350.34423;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
350.13;352.26424;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
352.06;354.12977;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
354.58931;357.94802;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
357.72824;361.77393;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
362.00592;364.73072;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
368.72356;370.23848;"Schwertleite";"Wart ihr Kühnen zu zwei?"
370.8512;374.12272;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
374.32696;377.70742;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
378.77968;381.54601;"Rossweisse";"nach Walhall brechen wir auf,"
382.86;385.29267;"Rossweisse";"Wotan zu bringen die Wal."
386.62;389.7986;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
390.0317;392.45804;"Gerhilde";"Bei dem braunen Wälsung"
392.46;395.4773875;"Gerhilde";"weilt wohl noch Brünnhild’."
395.4773875;397.9077333333;"Waltraute";"Auf sie noch harren müssen wir hier:"
398.1;401.33545;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
401.57854;404.52273;"Waltraute";"säh’ ohne sie er uns nahn."
403.92;407.24515;"Siegrune";"Hojotoho! Hojotoho!"
408.09514;410.6822;"Siegrune";"Hieher! Hieher!"
411.0596;412.6153;"Siegrune";"In brünstigem Ritt"
412.6153;415.03826;"Siegrune";"jagt Brünnhilde her!"
415.04;418.74496;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
415.706;418.74496;"Waltraute und Rossweisse";"Hojotoho!"
416.372;417.89248;"Grimgerde und Schwertleite";"Hojotoho!"
418.31872;422.61884;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
418.96;422.1676;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
433.53238;437.17288;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
437.85288;441.33955;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
442.47572;445.655;"Rossweisse";"So jach sah ich nie Walküren jagen!"
446.53406;448.14623;"Ortlinde";"Wen hält sie im Sattel?"
448.365;449.55946;"Helmwige";"Das ist kein Held!"
454.79284;456.87123;"Siegrune";"Eine Frau führt sie!"
458.04238;460.36957;"Gerhilde";"Wie fand sie die Frau?"
460.585;463.28;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
463.7462;468.63624;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
469.94954;471.6525;"Ortlinde";"Helft der Schwester"
471.6525;472.919515;"Ortlinde";"vom Roß sich schwingen!"
473.89;477.03867;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
474.49606;477.59649;"Siegrune und Rossweisse";"Hojotoho! Hojotoho!"
475.50616;478.65543;"Waltraute, Grimgerde und Schwertleite";"Heiaho! Heiaha!"
477.22848;478.65543;"Ortlinde";"Heiaha!"
480.53439;485.025;"Waltraute";"Zu Grunde stürzt Grane, der starke!"
487.57428;490.16872;"Grimgerde";"Aus dem Sattel hebt sie hastig das Weib!"
490.81;493.3757;"Ortlinde, Waltraute und Schwertleite";"Schwester! Schwester!"
491.3428;493.3757;"Grimgerde";"Schwester!"
493.56884;495.51612;"Ortlinde, Waltraute, Schwertleite und Grimgerde";"Was ist geschehn?"
502.0575;506.8;"Brünnhilde";"Schützt mich, und helft in höchster Not!"
506.25224;508.619;"Grimgerde";"Wo rittest du her in rasender Hast?"
506.66224;507.869;"Siegrune";"Woher in rasender Hast?"
507.869;509.4925;"Gerhilde";"Wo rittest du her in rasender Hast?"
508.244;509.4925;"Helmwige";"Woher in rasender Hast?"
507.21;509.67875;"Ortlinde, Waltraute und Schwertleite";"So flieht nur, wer auf der Flucht!"
507.415;509.67875;"Rossweisse";"So flieht nur, wer auf der Flucht!"
508.37;509.4925;"Siegrune";"bist du in Flucht?"
509.67875;512.735;"Brünnhilde";"Zum erstenmal flieh’ ich und bin verfolgt:"
513.39;515.44;"Brünnhilde";"Heervater hetzt mir nach!"
515.44;518.09857;"Helmwige, Gerhilde, Siegrune und Grimgerde";"Bist du von Sinnen? Sage uns! Wie?"
515.44;516.66836;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Ha! Sprich!"
517.20625;518.885;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Verfolgt dich Heervater?"
519.2775;520.255;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"O sag!"
518.885;520.255;"Acht Walküren";"Fliehst du vor ihm?"
526.0875;529.04;"Brünnhilde";"O Schwestern, späht von des Felsens Spitze:"
529.23;531.905;"Brünnhilde";"schaut nach Norden, ob Walvater naht!"
536.589994331;538.959994331;"Brünnhilde";"Schnell! Seht ihr ihn schon?"
540.65875;542.86125;"Ortlinde";"Gewittersturm weht von Norden."
543.045;545.71;"Waltraute";"Starkes Gewölk staut sich dort auf!"
548.26;551.20875;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Heervater reitet sein heiliges Roß!"
551.93875;554.69875;"Brünnhilde";"Der wilde Jäger, der wütend mich jagt,"
554.888125;557.221875;"Brünnhilde";"er naht, er naht von Norden!"
557.42;561.205;"Brünnhilde";"Schützt mich, Schwestern! Wahret dies Weib!"
561.0175;562.88875;"Siegrune und Rossweisse";"Was ist mit dem Weibe?"
561.3925;562.88875;"Helmwige,Gerhilde, Grimgerde und Schwertleite";"Was ist mit dem Weibe?"
563.075;564.1866666667;"Brünnhilde";"Hört mich in Eile:"
