start;end;person;text
87.57600907;94.75922296976;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
95.81968423955;102.1181135147;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
102.73;116.76178;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
144.76732;148.743445;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
156.05958;158.63445;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
158.85534;161.94937;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
162.99832;164.46874;"Waltraute";"Wer hängt dir im Sattel?"
165.1;166.81384;"Helmwige";"Sintolt, der Hegeling!"
167.03;169.3518;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
169.5627;172.50832;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
172.50832;175.376722;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
177.04178;180.93626;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
182.36;184.53089;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
185.41445;188.6396;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
188.8394;190.0382;"Helmwige";"Ruhig, Brauner!"
190.6727;192.8724;"Helmwige";"Brich nicht den Frieden."
192.4062;195.76827;"Waltraute";"Hojoho! Hojoho!"
195.77;198.863765;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
207.2;208.4321;"Siegrune";"Arbeit gab’s!"
216.23299;218.08745;"Siegrune";"Sind die andren schon da?"
219.1327;222.45757;"Schwertleite";"Hojotoho! Hojotoho!"
223.91056;225.8516;"Waltraute und Schwertleite";"Heiaha!"
223.28785;225.8516;"Gerhilde";"Heiaha!"
226.70603;228.18757;"Grimgerde";"Hojotoho!"
228.60271;230.062565;"Rossweisse";"Hojotoho!"
230.912825;233.268495;"Grimgerde und Rossweisse";"Heiaha!"
233.7;236.91866;"Waltraute";"Grimgerd’ und Rossweisse!"
237.36488;239.47811;"Gerhilde";"Sie reiten zu zwei."
256.7811;259.61806;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
260.27601;262.9553;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
264.28269;267.7998;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
268.599;271.50789;"Rossweisse und Grimgerde";"Heiaha!"
271.51;285.90534;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
286.57;301.1537496502;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
287.50795;301.1537496502;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
311.9152620405;315.29644;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
319.38;322.67184;"Ortlinde";"Führet die Mähren fern von einander,"
323.65611;326.63813;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
326.64;330.26091;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
330.46182;335.34712;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
335.57;337.3932357143;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
337.19;339.2150966664;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
339.0209523807;340.96869;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
340.77;342.75536;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
342.56;344.51758;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
344.91274;347.88821;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
347.68952;351.12975;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
351.324;353.5836266667;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
357.5070686666;358.88962;"Schwertleite";"Wart ihr Kühnen zu zwei?"
359.45905;362.66942;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
362.86256;365.94518;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
367.07072;369.63939;"Rossweisse";"nach Walhall brechen wir auf,"
370.86;373.18936;"Rossweisse";"Wotan zu bringen die Wal."
374.47;377.5054;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
377.7163;379.7384;"Gerhilde";"Bei dem braunen Wälsung"
379.74;382.62675;"Gerhilde";"weilt wohl noch Brünnhild’."
382.62675;384.95072;"Waltraute";"Auf sie noch harren müssen wir hier:"
385.14;387.9933;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
388.22196;391.04945;"Waltraute";"säh’ ohne sie er uns nahn."
390.5;393.54083;"Siegrune";"Hojotoho! Hojotoho!"
394.34182;396.96212;"Siegrune";"Hieher! Hieher!"
397.36616;398.72884;"Siegrune";"In brünstigem Ritt"
398.72884;401.233075;"Siegrune";"jagt Brünnhilde her!"
401.235;404.44848;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
401.799435;404.44848;"Waltraute und Rossweisse";"Hojotoho!"
402.36387;403.68924;"Grimgerde und Schwertleite";"Hojotoho!"
404.06886;408.32722;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
404.64;407.85512;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
418.69581;422.17954;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
422.86954;426.18621;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
427.3158;430.345;"Rossweisse";"So jach sah ich nie Walküren jagen!"
431.2407;432.86292;"Ortlinde";"Wen hält sie im Sattel?"
433.07;434.07961;"Helmwige";"Das ist kein Held!"
439.10622;441.04125;"Siegrune";"Eine Frau führt sie!"
442.10914;444.21291;"Gerhilde";"Wie fand sie die Frau?"
444.425;446.975;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
447.41123;451.83632;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
452.96956;454.54;"Ortlinde";"Helft der Schwester"
454.54;455.75614;"Ortlinde";"vom Roß sich schwingen!"
456.81;460.06529;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
457.43604;460.62761;"Siegrune und Rossweisse";"Hojotoho! Hojotoho!"
458.47944;461.63327;"Waltraute, Grimgerde und Schwertleite";"Heiaho! Heiaha!"
460.26176;461.63327;"Ortlinde";"Heiaha!"
463.5406677778;468.1816666667;"Waltraute";"Zu Grunde stürzt Grane, der starke!"
470.84536;473.50335;"Grimgerde";"Aus dem Sattel hebt sie hastig das Weib!"
474.0516666667;476.77905;"Ortlinde, Waltraute und Schwertleite";"Schwester! Schwester!"
474.6438516667;476.77905;"Grimgerde";"Schwester!"
476.96886;479.219328;"Ortlinde, Waltraute, Schwertleite und Grimgerde";"Was ist geschehn?"
485.9025;491.15;"Brünnhilde";"Schützt mich, und helft in höchster Not!"
490.56884;493.13888;"Grimgerde";"Wo rittest du her in rasender Hast?"
