start;end;person;text
82.04201814;89.669387732;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
90.76864365046;97.43198;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
98.11;113.43066;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
141.88178;145.7369261677;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
153.2529;155.9577;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
156.19524;159.47599;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
160.60264;162.1953;"Waltraute";"Wer hängt dir im Sattel?"
162.88;164.68264;"Helmwige";"Sintolt, der Hegeling!"
164.91;167.38842;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
167.62263;170.88592;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
170.88592;174.02599;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
175.8573;179.9851;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
181.58;183.7031;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
184.6355;188.15954;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
188.38931;189.76793;"Helmwige";"Ruhig, Brauner!"
190.436;192.64468;"Helmwige";"Brich nicht den Frieden."
192.20734;195.72801;"Waltraute";"Hojoho! Hojoho!"
195.73;198.96202;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
207.4;208.6987;"Siegrune";"Arbeit gab’s!"
216.57738;218.43191;"Siegrune";"Sind die andren schon da?"
219.49934;223.01535;"Schwertleite";"Hojotoho! Hojotoho!"
224.4528;226.41824;"Waltraute und Schwertleite";"Heiaha!"
223.83675;226.41824;"Gerhilde";"Heiaha!"
227.32598;228.90868;"Grimgerde";"Hojotoho!"
229.32604;230.77314;"Rossweisse";"Hojotoho!"
231.5457;234.0294;"Grimgerde und Rossweisse";"Heiaha!"
234.52;237.902;"Waltraute";"Grimgerd’ und Rossweisse!"
238.346;240.48808;"Gerhilde";"Sie reiten zu zwei."
257.88555;260.79798;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
261.47599;264.15534;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
265.47268;269.01535;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
269.83675;272.8245;"Rossweisse und Grimgerde";"Heiaha!"
272.8266666667;288.3053;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
288.99;304.8759096502;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
290.1222;304.8759096502;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
315.48408;319.194;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
323.22;326.5701833334;"Ortlinde";"Führet die Mähren fern von einander,"
327.4280677778;330.79753;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
330.8;334.70645;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
334.9229;339.99384;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
340.21;342.3348742855;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
342.13;344.1915299985;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
343.975714284;346.11758;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
345.92;347.92644;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
347.7;349.95645;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
350.38935;353.64804;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
353.43048;357.08227;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
357.28688;359.61402;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
363.7494746663;365.26294;"Schwertleite";"Wart ihr Kühnen zu zwei?"
365.85235;369.30936;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
369.52248;372.81626;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
374.03504;376.77935;"Rossweisse";"nach Walhall brechen wir auf,"
378.08;380.61602;"Rossweisse";"Wotan zu bringen die Wal."
381.91;385.15872;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
385.37184;387.75804;"Gerhilde";"Bei dem braunen Wälsung"
387.76;390.79115;"Gerhilde";"weilt wohl noch Brünnhild’."
390.79115;393.3816;"Waltraute";"Auf sie noch harren müssen wir hier:"
393.6;396.8154;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
397.06848;400.09604;"Waltraute";"säh’ ohne sie er uns nahn."
399.47;402.83925;"Siegrune";"Hojotoho! Hojotoho!"
403.6758866667;406.32212;"Siegrune";"Hieher! Hieher!"
406.72616;408.25534;"Siegrune";"In brünstigem Ritt"
408.25534;410.76815;"Siegrune";"jagt Brünnhilde her!"
410.77;414.676;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
411.47929;414.676;"Waltraute und Rossweisse";"Hojotoho!"
412.18858;413.788;"Grimgerde und Schwertleite";"Hojotoho!"
414.232;418.63621;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
414.9;418.1498;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
428.99914;432.37625;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
433.00125;436.17291;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
437.2358;440.115;"Rossweisse";"So jach sah ich nie Walküren jagen!"
440.9441;442.45961;"Ortlinde";"Wen hält sie im Sattel?"
442.655;443.6729;"Helmwige";"Das ist kein Held!"
448.4970825;450.4216475;"Siegrune";"Eine Frau führt sie!"
451.45252;453.54961;"Gerhilde";"Wie fand sie die Frau?"
453.745;456.2725;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
456.710395;461.13292;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
462.40955;464.065;"Ortlinde";"Helft der Schwester"
464.065;465.34392;"Ortlinde";"vom Roß sich schwingen!"
