start;end;person;text
83.61600907;90.76565154163;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
91.80905131476;98.06280004482;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
98.667006802;112.54402;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
139.42514;143.23736;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
150.35294;152.7845;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
152.9954;156.12938;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
157.16168;158.5688;"Waltraute";"Wer hängt dir im Sattel?"
159.17;160.9904;"Helmwige";"Sintolt, der Hegeling!"
161.22;163.4318;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
163.6427;166.5528;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
166.5528;169.31274;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
170.90626;174.66514;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
176.12;178.22534;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
179.0867;182.16622;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
182.38933;183.72799;"Helmwige";"Ruhig, Brauner!"
184.32607;186.34584;"Helmwige";"Brich nicht den Frieden."
185.93292;189.16821;"Waltraute";"Hojoho! Hojoho!"
189.17;192.28874;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
200.46;201.7254;"Siegrune";"Arbeit gab’s!"
209.3963;211.23414;"Siegrune";"Sind die andren schon da?"
212.27936;215.64534;"Schwertleite";"Hojotoho! Hojotoho!"
217.15272;219.0128;"Waltraute und Schwertleite";"Heiaha!"
216.5067;219.0128;"Gerhilde";"Heiaha!"
219.85603;221.33979;"Grimgerde";"Hojotoho!"
221.75937;223.22535;"Rossweisse";"Hojotoho!"
224.04675;226.36184;"Grimgerde und Rossweisse";"Heiaha!"
226.79;230.01872;"Waltraute";"Grimgerd’ und Rossweisse!"
230.44496;232.61804;"Gerhilde";"Sie reiten zu zwei."
250.3344;253.33792;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
254.01932;256.72532;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
258.07932;261.73089;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
262.61445;265.3981;"Rossweisse und Grimgerde";"Heiaha!"
265.4;279.91198;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
280.59;295.1786;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
281.63895;295.1786;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
306.12952;309.6163;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
313.67;316.93637;"Ortlinde";"Führet die Mähren fern von einander,"
