start;end;person;text
78.158004535;84.75639548683;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
85.72936913771;91.35236;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
91.84;105.664865;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
131.08514;134.76848;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
141.59958;144.15225;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
144.3687;147.44939;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
148.46504;149.88878;"Waltraute";"Wer hängt dir im Sattel?"
150.5;152.16056;"Helmwige";"Sintolt, der Hegeling!"
152.37;154.71548;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
154.93822;158.0378666667;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
158.0378666667;160.71272;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
162.34182;165.92184;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
167.26;169.26647;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
170.05235;173.10182;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
173.30273;174.50819;"Helmwige";"Ruhig, Brauner!"
175.07277;177.11464;"Helmwige";"Brich nicht den Frieden."
176.65732;179.82843;"Waltraute";"Hojoho! Hojoho!"
179.83;182.78882;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
190.63;191.8288;"Siegrune";"Arbeit gab’s!"
199.22191;200.94313;"Siegrune";"Sind die andren schon da?"
201.9194;205.09759;"Schwertleite";"Hojotoho! Hojotoho!"
206.41072;208.3316;"Waltraute und Schwertleite";"Heiaha!"
205.84795;208.3316;"Gerhilde";"Heiaha!"
209.14607;210.52981;"Grimgerde";"Hojotoho!"
210.90943;212.25091;"Rossweisse";"Hojotoho!"
213.05455;215.24306;"Grimgerde und Rossweisse";"Heiaha!"
215.64;218.65554;"Waltraute";"Grimgerd’ und Rossweisse!"
219.03072;221.15806;"Gerhilde";"Sie reiten zu zwei."
237.805625;240.5381;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
241.174365;243.72705;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
244.97606;248.34646;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
249.1723;251.94805;"Rossweisse und Grimgerde";"Heiaha!"
251.95;265.79214;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
266.39;281.436844;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
267.52775;281.436844;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
292.3640620405;295.6586;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
299.42;302.58536;"Ortlinde";"Führet die Mähren fern von einander,"
303.49613;306.373195;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
306.375;310.10981;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
310.29962;314.88072;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
315.07;317.04091;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
316.84;318.8387;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
318.65;320.53981;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
320.35;322.24278;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
322.06;323.9048941667;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
324.3013491667;327.3381525;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
327.13308;330.36529;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
330.56176;332.97296;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
336.7384346663;338.1585;"Schwertleite";"Wart ihr Kühnen zu zwei?"
338.74125;341.83604;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
342.04472;345.20738;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
346.39952;348.85941;"Rossweisse";"nach Walhall brechen wir auf,"
350.04;352.42274;"Rossweisse";"Wotan zu bringen die Wal."
353.61;356.55215;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
356.749175;358.778365;"Gerhilde";"Bei dem braunen Wälsung"
358.78;361.71125;"Gerhilde";"weilt wohl noch Brünnhild’."
361.71125;363.99072;"Waltraute";"Auf sie noch harren müssen wir hier:"
364.18;366.9046;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
367.09552;369.84943;"Waltraute";"säh’ ohne sie er uns nahn."
369.28;372.2324936364;"Siegrune";"Hojotoho! Hojotoho!"
372.9888927273;375.50888;"Siegrune";"Hieher! Hieher!"
375.88184;377.12228;"Siegrune";"In brünstigem Ritt"
377.12228;379.36828;"Siegrune";"jagt Brünnhilde her!"
379.37;382.68408;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
379.98272;382.68408;"Waltraute und Rossweisse";"Hojotoho!"
380.59544;381.94704;"Grimgerde und Schwertleite";"Hojotoho!"
382.31556;386.58754;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
382.87;386.1884;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
395.70582;398.96295;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
399.53795;402.57291;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
403.62916;406.455;"Rossweisse";"So jach sah ich nie Walküren jagen!"
407.25414;408.75624;"Ortlinde";"Wen hält sie im Sattel?"
408.97;409.93301;"Helmwige";"Das ist kein Held!"
414.6196;416.46958;"Siegrune";"Eine Frau führt sie!"
417.43591;419.4096;"Gerhilde";"Wie fand sie die Frau?"
419.61;422.12;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
422.49296;426.63296;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
427.82955;429.375;"Ortlinde";"Helft der Schwester"
429.375;430.42293;"Ortlinde";"vom Roß sich schwingen!"
431.23;434.1409;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
431.75947;434.64543;"Siegrune und Rossweisse";"Hojotoho! Hojotoho!"
432.64192;435.39801;"Waltraute, Grimgerde und Schwertleite";"Heiaho! Heiaha!"
434.3296;435.39801;"Ortlinde";"Heiaha!"
437.39097;441.545;"Waltraute";"Zu Grunde stürzt Grane, der starke!"
444.0765;446.29578;"Grimgerde";"Aus dem Sattel hebt sie hastig das Weib!"
446.74;449.4435;"Ortlinde, Waltraute und Schwertleite";"Schwester! Schwester!"
447.32608;449.4435;"Grimgerde";"Schwester!"
449.6322;451.50781;"Ortlinde, Waltraute, Schwertleite und Grimgerde";"Was ist geschehn?"
457.8975;463.035;"Brünnhilde";"Schützt mich, und helft in höchster Not!"
462.4839;464.859;"Grimgerde";"Wo rittest du her in rasender Hast?"
462.8964;464.109;"Siegrune";"Woher in rasender Hast?"
464.109;465.76875;"Gerhilde";"Wo rittest du her in rasender Hast?"
464.484;465.76875;"Helmwige";"Woher in rasender Hast?"
463.4475;465.973125;"Ortlinde, Waltraute und Schwertleite";"So flieht nur, wer auf der Flucht!"
463.65375;465.973125;"Rossweisse";"So flieht nur, wer auf der Flucht!"
464.61;465.76875;"Siegrune";"bist du in Flucht?"
465.973125;469.255;"Brünnhilde";"Zum erstenmal flieh’ ich und bin verfolgt:"
470;472.375;"Brünnhilde";"Heervater hetzt mir nach!"
472.375;475.21843;"Helmwige, Gerhilde, Siegrune und Grimgerde";"Bist du von Sinnen? Sage uns! Wie?"
472.375;473.6483;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Ha! Sprich!"
474.23875;475.995;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Verfolgt dich Heervater?"
476.3825;477.385;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"O sag!"
475.995;477.385;"Acht Walküren";"Fliehst du vor ihm?"
483.52875;486.94;"Brünnhilde";"O Schwestern, späht von des Felsens Spitze:"
487.17;490.1975;"Brünnhilde";"schaut nach Norden, ob Walvater naht!"
495.287494331;498.054994331;"Brünnhilde";"Schnell! Seht ihr ihn schon?"
499.96125;502.37;"Ortlinde";"Gewittersturm weht von Norden."
502.58;505.44;"Waltraute";"Starkes Gewölk staut sich dort auf!"
508.11;511.18125;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Heervater reitet sein heiliges Roß!"
511.96375;514.95;"Brünnhilde";"Der wilde Jäger, der wütend mich jagt,"
515.135;517.425;"Brünnhilde";"er naht, er naht von Norden!"
517.62;522.2375;"Brünnhilde";"Schützt mich, Schwestern! Wahret dies Weib!"
522.00375;524.32625;"Siegrune und Rossweisse";"Was ist mit dem Weibe?"
522.47125;524.32625;"Helmwige,Gerhilde, Grimgerde und Schwertleite";"Was ist mit dem Weibe?"
524.555;525.9075;"Brünnhilde";"Hört mich in Eile:"
526.345;530.265;"Brünnhilde";"Sieglinde ist es, Siegmunds Schwester und Braut:"
531.21;532.58816;"Brünnhilde";"gegen die Wälsungen"
532.59;534.83;"Brünnhilde";"wütet Wotan in Grimm;"
535.07;537.985;"Brünnhilde";"dem Bruder sollte Brünnhilde heut"
537.985;539.8125;"Brünnhilde";"entziehen den Sieg;"
540.07625;544.02826;"Brünnhilde";"doch Siegmund schützt’ ich mit meinem Schild,"
544.03;545.6275;"Brünnhilde";"trotzend dem Gott:"
545.89375;548.8075;"Brünnhilde";"der traf ihn da selbst mit dem Speer:"
549.06;550.5575;"Brünnhilde";"Siegmund fiel;"
550.80125;554.145;"Brünnhilde";"doch ich floh fern mit der Frau:"
554.28942;557.31813;"Brünnhilde";"sie zu retten eilt’ ich zu euch,"
557.81375;561.119375;"Brünnhilde";"ob mich Bange auch"
561.119375;564.46625;"Brünnhilde";"ihr berget vor dem strafenden Streich!"
565.5995833333;570.1825;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Betörte Schwester, was tatest du?"
570.62;575.2325;"Helmwige, Siegrune und Grimgerde";"Wehe! Brünnhilde, wehe!"
570.62;576.965;"Schwertleite";"Wehe! Wehe! Brünnhilde, wehe!"
571.405;576.965;"Rossweisse";"Wehe! Brünnhilde, wehe!"
572.19;576.965;"Grimgerde";"Wehe! Brünnhilde, wehe!"
576.075;579.03837;"Helmwige, Siegrune und Grimgerde";"Brach ungehorsam"
577.8175;579.03837;"Gerhilde, Rossweisse und Schwertleite";"Brachst du"
579.04;583.67;"Helmwige, Siegrune und Grimgerde";"Brünnhilde Heervaters heilig Gebot?"
579.04;583.67;"Gerhilde, Rossweisse und Schwertleite";"Heervaters heilig Gebot?"
584.5225;587.8325;"Waltraute";"Nächtig zieht es von Norden heran."
587.8325;591.53;"Ortlinde";"Wütend steuert hieher der Sturm!"
592.34;595.7583;"Rossweisse, Grimgerde und Schwertleite";"Wild wiehert Walvaters Roß!"
595.76;598.25;"Helmwige, Gerhilde und Siegrune";"Schrecklich schnaubt es daher!"
602.71;605.71;"Brünnhilde";"Wehe der Armen, wenn Wotan sie trifft:"
605.935;609.3846875;"Brünnhilde";"den Wälsungen allen droht er Verderben!"
610.051875;614.41;"Brünnhilde";"Wer leiht mir von euch das leichteste Roß,"
614.625;617.25;"Brünnhilde";"das flink die Frau ihm entführ’?"
617.925;620.76;"Siegrune";"Auch uns rätst du rasenden Trotz?"
622.08;623.98809;"Brünnhilde";"Rossweisse, Schwester,"
623.99;625.475;"Brünnhilde";"leih mir deinen Renner!"
625.7225;629.14;"Rossweisse";"Vor Walvater floh der Fliegende nie."
629.6;630.92;"Brünnhilde";"Helmwige, höre!"
631.14;632.6725;"Helmwige";"Dem Vater gehorch’ ich."
633.11;636.17;"Brünnhilde";"Grimgerde! Gerhilde! Gönnt mir eu’r Roß!"
636.57;640.58792;"Brünnhilde";"Schwertleite! Siegrune! Seht meine Angst!"
641.1325;645.4775;"Brünnhilde";"O seid mir treu, wie traut ich euch war:"
645.965;650.905;"Brünnhilde";"rettet dies traurige Weib!"
659.61;670.3090929705;"Sieglinde";"Nicht sehre dich Sorge um mich:"
671.68;680.994557823;"Sieglinde";"einzig taugt mir der Tod!"
681.9618367345;684.0806972787;"Sieglinde";"Wer hieß dich Maid,"
684.0806972787;686.728786848;"Sieglinde";"dem Harst mich entführen?"
688.550753968;692.495;"Sieglinde";"Im Sturm dort hätt’ ich den Streich empfahn"
692.70914;697.505;"Sieglinde";"von derselben Waffe, der Siegmund fiel;"
697.7875;700.14875;"Sieglinde";"das Ende fand ich"
700.30814;703.91781;"Sieglinde";"vereint mit ihm!"
704.6275;712.745;"Sieglinde";"Fern von Siegmund – Siegmund, von dir! –"
713.60375;716.885;"Sieglinde";"O deckte mich Tod, daß ich’s denke!"
717.71;718.835;"Sieglinde";"Soll um die Flucht"
718.835;721.64;"Sieglinde";"dir Maid ich nicht fluchen,"
722.18;726.618344671;"Sieglinde";"so erhöre heilig mein Flehen: –"
728.5125170065;734.4175;"Sieglinde";"stoße dein Schwert mir ins Herz!"
734.4175;740.66125;"Brünnhilde";"Lebe, o Weib, um der Liebe willen!"
740.925;744.7;"Brünnhilde";"Rette das Pfand, das von ihm du empfingst:"
745.19;748.71;"Brünnhilde";"ein Wälsung wächst dir im Schoß!"
755.09;762.0375;"Sieglinde";"Rette mich, Kühne! Rette mein Kind!"
762.47;766.98;"Sieglinde";"Schirmt mich, ihr Mädchen, mit mächtigstem Schutz!"
767.99;770.28;"Waltraute";"Der Sturm kommt heran."
771.435;773.45;"Ortlinde";"Flieh, wer ihn fürchtet!"
774.25;777.165;"Gerhilde, Rossweisse und Grimgerde";"Fort mit dem Weibe, droht ihm Gefahr!"
775.07;778.45;"Helmwige, Siegrune und Schwertleite";"Fort mit dem Weibe, droht ihm Gefahr!"
777.3775;780.51;"Gerhilde, Rossweisse und Grimgerde";"Der Walküren keine wag’ ihren Schutz!"
778.45;780.51;"Helmwige, Siegrune und Schwertleite";"Keine wag' ihren Schutz!"
780.91;786.405;"Sieglinde";"Rette mich, Maid! Rette die Mutter!"
792.06375;795.6075;"Brünnhilde";"So fliehe denn eilig, und fliehe allein!"
796.105;801.5079931973;"Brünnhilde";"Ich bleibe zurück, biete mich Wotans Rache:"
802.2399829931;805.375;"Brünnhilde";"an mir zögr’ ich den Zürnenden hier,"
805.375;809.1875;"Brünnhilde";"während du seinem Rasen entrinnst."
810.49;812.7425;"Sieglinde";"Wohin soll ich mich wenden?"
813.105;815.995;"Brünnhilde";"Wer von euch Schwestern schweifte nach Osten?"
816.2125;819.651;"Siegrune";"Nach Osten weithin dehnt sich ein Wald:"
819.8865;824.25375;"Siegrune";"der Niblungen Hort entführte Fafner dorthin."
824.705;828.0942724866;"Schwertleite";"Wurmesgestalt schuf sich der Wilde,"
828.5517724866;832.6125;"Schwertleite";"in einer Höhle hütet er Alberichs Reif."
832.6125;836.1425;"Grimgerde";"Nicht geheu’r ist’s dort für ein hülflos Weib."
836.3770833333;841.4975;"Brünnhilde";"Und doch, vor Wotans Wut schützt sie sicher der Wald;"
841.7129166667;844.9825;"Brünnhilde";"ihn scheut der Mächt’ge und meidet den Ort."
844.9825;846.7475;"Waltraute";"Furchtbar fährt"
846.7475;848.3;"Waltraute";"dort Wotan zum Fels!"
848.3;853.13804;"Gerhilde, Helmwige, Rossweisse, Siegrune, Grimgerde und Schwertleite";"Brünnhilde! Hör seines Nahens Gebraus’!"
854.59;858.14632;"Brünnhilde";"Fort denn eile, nach Osten gewandt!"
858.84;863.074245;"Brünnhilde";"Mutigen Trotzes ertrag alle Müh’n;"
863.4525;867.27;"Brünnhilde";"Hunger und Durst, Dorn und Gestein;"
867.86;872.3882177777;"Brünnhilde";"lache, ob Not, ob Leiden dich nagt!"
873.1401247165;877.82954;"Brünnhilde";"denn eines wiss’ und wahr es immer:"
879.42;883.77873;"Brünnhilde";"den hehrsten Helden der Welt"
883.78;888.73883;"Brünnhilde";"hegst du, o Weib, im schirmenden Schoß."
895.95626;900.25;"Brünnhilde";"Verwahr ihm die starken Schwertesstücken;"
900.43924;905.175;"Brünnhilde";"seines Vaters Walstatt entführt’ ich sie glücklich: –"
906.2295;910.56897;"Brünnhilde";"der neu gefügt das Schwert einst schwingt,"
911.71121;916.43288;"Brünnhilde";"den Namen nehm’ er von mir:"
917.34;924.8786;"Brünnhilde";"Siegfried erfreu’ sich des Siegs!"
928.33;946.49816;"Sieglinde";"O hehrstes Wunder, herrliche Maid!"
947.29;952.5773679993;"Sieglinde";"Dir Treuen dank’ ich heiligen Trost!"
953.239333333;958.8137330369;"Sieglinde";"Für ihn, den wir liebten, rett’ ich das Liebste:"
959.2641377777;963.913755;"Sieglinde";"meines Dankes Lohn lache dir einst!"
964.74;975.04075;"Sieglinde";"Lebe wohl! Dich segnet Sieglindes Weh!"
984.76;987.33842;"Wotan";"Steh! Brünnhild’!"
987.55912;989.79288;"Ortlinde und Waltraute";"Den Fels erreichten Roß und Reiter!"
