start;end;person;text
87.258004535;94.70963548683;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
95.78928913771;102.32534;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
102.99;118.61844;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
146.66288;150.5191861677;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
158.4307;160.90785;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
161.11542;164.23605;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
165.2628;166.72874;"Waltraute";"Wer hängt dir im Sattel?"
167.36;169.10936;"Helmwige";"Sintolt, der Hegeling!"
169.33;171.77844;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
172.00266;175.13488;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
175.13488;177.97269;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
179.66626;183.37736;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
184.84;186.87866;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
187.7933;191.14846;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
191.36269;192.64807;"Helmwige";"Ruhig, Brauner!"
193.26272;195.40908;"Helmwige";"Brich nicht den Frieden."
194.94954;198.36819;"Waltraute";"Hojoho! Hojoho!"
198.37;201.55876;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
210;211.25208;"Siegrune";"Arbeit gab’s!"
219.18407;221.10961;"Siegrune";"Sind die andren schon da?"
222.19934;225.71756;"Schwertleite";"Hojotoho! Hojotoho!"
227.24048;229.17384;"Waltraute und Schwertleite";"Heiaha!"
226.5878;229.17384;"Gerhilde";"Heiaha!"
230.06599;231.63423;"Grimgerde";"Hojotoho!"
232.06269;233.57311;"Rossweisse";"Hojotoho!"
234.46555;236.8363;"Grimgerde und Rossweisse";"Heiaha!"
237.26;240.59534;"Waltraute";"Grimgerd’ und Rossweisse!"
241.03712;243.30795;"Gerhilde";"Sie reiten zu zwei."
260.49445;263.41796;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
264.086;266.76532;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
268.10933;271.68978;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
272.5689;275.47797;"Rossweisse und Grimgerde";"Heiaha!"
275.48;291.1719;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
291.89;308.6612317453;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
293.1332;308.6612317453;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
320.5783020405;324.24616;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
328.34;331.8163;"Ortlinde";"Führet die Mähren fern von einander,"
332.88602;336.05812;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
336.06;340.09089;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
340.31178;345.42264;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
345.65;347.8423171428;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
347.62;349.8445399992;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
349.622857142;351.842;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
351.62;353.83867;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
353.62;355.81422;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
356.26266;359.71789;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
359.48368;363.37062;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
363.59928;366.37844;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
370.5136;371.94962;"Schwertleite";"Wart ihr Kühnen zu zwei?"
372.51905;375.71939;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
375.92252;379.1185;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
380.284;382.85943;"Rossweisse";"nach Walhall brechen wir auf,"
384;386.32609;"Rossweisse";"Wotan zu bringen die Wal."
387.48;390.44542;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
