start;end;person;text
76.478004535;84.09908296976;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
85.21594913771;91.7432;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
92.36666666667;107.54956;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
134.64178;138.59296;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
145.8507;148.37225;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
148.5887;151.79603;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
152.85608;154.39534;"Waltraute";"Wer hängt dir im Sattel?"
155.06;156.73832;"Helmwige";"Sintolt, der Hegeling!"
156.95;159.32288;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
159.54932;162.6416;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
162.6416;165.72264;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
167.56288;171.67732;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
173.28;175.40756;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
176.2778;179.5951;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
179.82265;181.18795;"Helmwige";"Ruhig, Brauner!"
181.8227;183.99132;"Helmwige";"Brich nicht den Frieden."
183.54066;187.13798;"Waltraute";"Hojoho! Hojoho!"
187.14;190.38198;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
198.61;199.93534;"Siegrune";"Arbeit gab’s!"
207.81738;209.74961;"Siegrune";"Sind die andren schon da?"
210.846;214.2309;"Schwertleite";"Hojotoho! Hojotoho!"
215.7072;217.75816;"Waltraute und Schwertleite";"Heiaha!"
215.0745;217.75816;"Gerhilde";"Heiaha!"
218.61937;220.09645;"Grimgerde";"Hojotoho!"
220.52935;222.03868;"Rossweisse";"Hojotoho!"
222.8734;225.42717;"Grimgerde und Rossweisse";"Heiaha!"
225.92;229.30192;"Waltraute";"Grimgerd’ und Rossweisse!"
229.77256;232.05795;"Gerhilde";"Sie reiten zu zwei."
249.8811;252.8779;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
253.546;256.32522;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
257.73265;261.36756;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
262.2378;265.31779;"Rossweisse und Grimgerde";"Heiaha!"
265.32;281.31858;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
282.03;298.3774780946;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
283.2399;298.3774780946;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
310.0370220405;313.80285;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
317.91;321.52292;"Ortlinde";"Führet die Mähren fern von einander,"
322.57605;325.79801;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
325.8;329.80201;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
330.01402;335.19704;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
335.43;337.57422;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
337.35;339.58534;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
339.37;341.50869;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
341.31;343.322;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
343.1;345.33865;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
345.81595;349.29795;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
349.0704;352.81623;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
353.03712;355.76962;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
359.7783546663;361.33402;"Schwertleite";"Wart ihr Kühnen zu zwei?"
361.97005;365.25273;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
365.45364;368.693132;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
369.962528;372.69269;"Rossweisse";"nach Walhall brechen wir auf,"
373.98;376.4427;"Rossweisse";"Wotan zu bringen die Wal."
377.71;380.81868;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
381.03846;383.16831;"Gerhilde";"Bei dem braunen Wälsung"
383.17;386.23785;"Gerhilde";"weilt wohl noch Brünnhild’."
386.23785;388.69504;"Waltraute";"Auf sie noch harren müssen wir hier:"
388.9;391.8567;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
392.07204;395.18269;"Waltraute";"säh’ ohne sie er uns nahn."
394.54;397.99292;"Siegrune";"Hojotoho! Hojotoho!"
398.86512;401.69536;"Siegrune";"Hieher! Hieher!"
402.13048;403.66868;"Siegrune";"In brünstigem Ritt"
403.66868;406.24808;"Siegrune";"jagt Brünnhilde her!"
406.25;410.03712;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
406.92266;410.03712;"Waltraute und Rossweisse";"Hojotoho!"
407.59532;409.15356;"Grimgerde und Schwertleite";"Hojotoho!"
409.59534;414.50904;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
410.26;414.03704;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
424.35918;427.76622;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
428.43622;431.44956;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
432.53667;435.48;"Rossweisse";"So jach sah ich nie Walküren jagen!"
436.37916;437.78631;"Ortlinde";"Wen hält sie im Sattel?"
437.965;438.89294;"Helmwige";"Das ist kein Held!"
443.73625;445.66123;"Siegrune";"Eine Frau führt sie!"
446.73248;448.85625;"Gerhilde";"Wie fand sie die Frau?"
449.065;451.665;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
452.09457;456.34961;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
457.54958;459.075;"Ortlinde";"Helft der Schwester"
459.075;460.24951;"Ortlinde";"vom Roß sich schwingen!"
461.23;464.32306;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
461.79943;464.86541;"Siegrune und Rossweisse";"Hojotoho! Hojotoho!"
