start;end;person;text
77.878004535;85.00963548683;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
86.05970423955;92.28873;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
92.925;107.09738;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
132.89626;136.68628;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
143.4085;145.76345;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
145.96214;148.83948;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
149.70528;151.00554;"Waltraute";"Wer hängt dir im Sattel?"
151.57;153.17728;"Helmwige";"Sintolt, der Hegeling!"
153.38;155.5407;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
155.74605;158.60504;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
158.60504;161.20609;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
162.77514;166.42632;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
167.64;169.64536;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
170.4268;173.32404;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
173.52606;174.73818;"Helmwige";"Ruhig, Brauner!"
175.29944;177.2636;"Helmwige";"Brich nicht den Frieden."
176.8418;179.92839;"Waltraute";"Hojoho! Hojoho!"
179.93;182.7555;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
190.53;191.64555;"Siegrune";"Arbeit gab’s!"
198.77529;200.54529;"Siegrune";"Sind die andren schon da?"
201.55272;204.79536;"Schwertleite";"Hojotoho! Hojotoho!"
206.16288;207.9362;"Waltraute und Schwertleite";"Heiaha!"
205.5768;207.9362;"Gerhilde";"Heiaha!"
208.756045;210.1887;"Grimgerde";"Hojotoho!"
210.5661;211.89647;"Rossweisse";"Hojotoho!"
212.68235;215.04731;"Grimgerde und Rossweisse";"Heiaha!"
215.5;218.60544;"Waltraute";"Grimgerd’ und Rossweisse!"
219.01392;220.98823;"Gerhilde";"Sie reiten zu zwei."
237.26895;239.93817;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
240.54606;243.03206;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
244.27606;247.62758;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
248.4179;251.01819;"Rossweisse und Grimgerde";"Heiaha!"
251.02;265.70538;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
266.35;281.1897159995;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
267.4045;281.1897159995;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
291.64712;295.0986;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
298.86;302.14306;"Ortlinde";"Führet die Mähren fern von einander,"
303.04949;305.87819;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
305.88;309.52868;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
309.73736;314.45952;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
314.66;316.56756;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
316.35;318.49204;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
318.31;320.14647;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
319.95;321.93534;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
321.72;323.85647;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
324.24941;327.34808;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
327.13496;330.572656;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
330.764464;333.27292;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
337.1917946663;338.58294;"Schwertleite";"Wart ihr Kühnen zu zwei?"
339.17235;342.24611;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
342.43148;345.49854;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
346.54416;349.06613;"Rossweisse";"nach Walhall brechen wir auf,"
350.14;352.60607;"Rossweisse";"Wotan zu bringen die Wal."
353.8;356.70548;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
356.90306;358.98831;"Gerhilde";"Bei dem braunen Wälsung"
358.99;361.8266082762;"Gerhilde";"weilt wohl noch Brünnhild’."
361.8266082762;364.09296;"Waltraute";"Auf sie noch harren müssen wir hier:"
364.28;366.96455;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
367.16546;369.74277;"Waltraute";"säh’ ohne sie er uns nahn."
369.18;372.35407;"Siegrune";"Hojotoho! Hojotoho!"
373.13742;375.56216;"Siegrune";"Hieher! Hieher!"
375.95288;377.30884;"Siegrune";"In brünstigem Ritt"
377.30884;379.65823;"Siegrune";"jagt Brünnhilde her!"
379.66;382.98396;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
380.23609;382.98396;"Waltraute und Rossweisse";"Hojotoho!"
380.81218;382.18698;"Grimgerde und Schwertleite";"Hojotoho!"
382.58547;386.79726;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
383.185;386.34968;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
395.83922;398.81962;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
399.38962;402.2560592857;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
403.19171;405.875;"Rossweisse";"So jach sah ich nie Walküren jagen!"
406.66252;408.04963;"Ortlinde";"Wen hält sie im Sattel?"
408.235;409.20625;"Helmwige";"Das ist kein Held!"
413.38295;415.08296;"Siegrune";"Eine Frau führt sie!"
416.03257;417.86965;"Gerhilde";"Wie fand sie die Frau?"
418.045;420.3425;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
420.780395;424.877965;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
425.992955;427.385;"Ortlinde";"Helft der Schwester"
427.385;428.44957;"Ortlinde";"vom Roß sich schwingen!"
429.31;432.22111;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
