start;end;person;text
81.81600907;88.64306198847;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
89.63244026507;95.54688;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
96.18222222222;110.6729;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
137.18182;141.03516;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
147.77738;150.169;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
150.3688;153.19609;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
154.15624;155.50218;"Waltraute";"Wer hängt dir im Sattel?"
156.08;157.634;"Helmwige";"Sintolt, der Hegeling!"
157.83;160.09624;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
160.30936;163.16176;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
163.16176;165.9016133333;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
167.51738;171.13182;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
172.54;174.57202;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
175.3801;178.38184;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
178.57276;179.71828;"Helmwige";"Ruhig, Brauner!"
180.29942;182.2046514286;"Helmwige";"Brich nicht den Frieden."
181.8323257143;184.8183171429;"Waltraute";"Hojoho! Hojoho!"
184.82;187.7788;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
195.57;196.8021;"Siegrune";"Arbeit gab’s!"
204.12644;205.99407;"Siegrune";"Sind die andren schon da?"
207.03272;210.21869;"Schwertleite";"Hojotoho! Hojotoho!"
211.60952;213.38176;"Waltraute und Schwertleite";"Heiaha!"
211.01345;213.38176;"Gerhilde";"Heiaha!"
214.19605;215.63202;"Grimgerde";"Hojotoho!"
216.03606;217.43759;"Rossweisse";"Hojotoho!"
218.18795;220.52508;"Grimgerde und Rossweisse";"Heiaha!"
220.98;223.9887;"Waltraute";"Grimgerd’ und Rossweisse!"
224.4216;226.3383;"Gerhilde";"Sie reiten zu zwei."
243.77555;246.573095;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
247.222685;249.82536;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
