start;end;person;text
85.166;92.37908296976;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
93.46930913771;99.83014653013;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
100.427006802;114.47734;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
142.30734;146.31956;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
153.73066;156.34785;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
156.55542;159.72935;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
160.8116;162.24212;"Waltraute";"Wer hängt dir im Sattel?"
162.85;164.5372;"Helmwige";"Sintolt, der Hegeling!"
164.75;167.02846;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
167.24269;170.1728;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
170.1728;173.10606;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
174.7529;178.4807;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
179.92;182.06423;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
182.92115;186.09958;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
186.30937;187.56811;"Helmwige";"Ruhig, Brauner!"
188.19604;190.29804;"Helmwige";"Brich nicht den Frieden."
189.87402;193.08827;"Waltraute";"Hojoho! Hojoho!"
193.09;196.16878;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
204.41;205.70204;"Siegrune";"Arbeit gab’s!"
213.44191;215.34961;"Siegrune";"Sind die andren schon da?"
216.45266;219.90535;"Schwertleite";"Hojotoho! Hojotoho!"
221.3428;223.25496;"Waltraute und Schwertleite";"Heiaha!"
220.72675;223.25496;"Gerhilde";"Heiaha!"
224.11935;225.62646;"Grimgerde";"Hojotoho!"
226.03938;227.46981;"Rossweisse";"Hojotoho!"
228.22905;230.66055;"Grimgerde und Rossweisse";"Heiaha!"
231.14;234.4087;"Waltraute";"Grimgerd’ und Rossweisse!"
234.8416;236.93812;"Gerhilde";"Sie reiten zu zwei."
254.44665;257.35799;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
258.02933;260.74196;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
262.07935;265.64757;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
266.47785;269.31799;"Rossweisse und Grimgerde";"Heiaha!"
269.32;284.1387;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
284.79;299.6557336507;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
285.9;299.6557336507;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
311.23592;314.77177;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
318.6;321.76536;"Ortlinde";"Führet die Mähren fern von einander,"
322.80267;325.81831;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
325.82;329.70313;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
329.90626;334.70296;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
334.89;336.88869;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
336.69;338.67758;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
338.48;340.4598;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
340.26;342.25758;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
342.06;344.04979;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
344.46937;347.60812;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
347.39944;350.77968;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
350.98392;353.63404;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
357.48588;358.88736;"Schwertleite";"Wart ihr Kühnen zu zwei?"
359.5134;362.86938;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
363.07584;366.27182;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
367.47728;370.05939;"Rossweisse";"nach Walhall brechen wir auf,"
371.28;373.79263;"Rossweisse";"Wotan zu bringen die Wal."
375.2;378.23872;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
378.45184;380.63824;"Gerhilde";"Bei dem braunen Wälsung"
380.64;383.4777082762;"Gerhilde";"weilt wohl noch Brünnhild’."
383.4777082762;385.9128;"Waltraute";"Auf sie noch harren müssen wir hier:"
386.12;389.1444;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
389.37528;392.2877625;"Waltraute";"säh’ ohne sie er uns nahn."
391.7175;394.88299;"Siegrune";"Hojotoho! Hojotoho!"
395.6663;398.1155;"Siegrune";"Hieher! Hieher!"
398.504;399.99204;"Siegrune";"In brünstigem Ritt"
399.99204;402.45818;"Siegrune";"jagt Brünnhilde her!"
402.46;405.93056;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
403.06273;405.93056;"Waltraute und Rossweisse";"Hojotoho!"
403.66546;405.10028;"Grimgerde und Schwertleite";"Hojotoho!"
405.51542;410.07252;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
