start;end;person;text
93.466;101.2680029698;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
102.3929842396;109.2226400448;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
109.907006802;125.82842;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
155.44176;159.6418;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
167.50846;170.1866;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
170.42192;173.76271;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
174.80056;176.48186;"Waltraute";"Wer hängt dir im Sattel?"
177.22;179.07592;"Helmwige";"Sintolt, der Hegeling!"
179.31;181.84952;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
182.08928;185.31488;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
185.31488;188.39934;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
190.20618;194.27956;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
195.82;198.06867;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
198.94335;202.51512;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
202.73268;204.03804;"Helmwige";"Ruhig, Brauner!"
204.68602;207.01008;"Helmwige";"Brich nicht den Frieden."
206.49504;210.10819;"Waltraute";"Hojoho! Hojoho!"
210.11;213.42536;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
222.37;223.68202;"Siegrune";"Arbeit gab’s!"
232.06609;233.94083;"Siegrune";"Sind die andren schon da?"
235.0726;238.78754;"Schwertleite";"Hojotoho! Hojotoho!"
240.45032;242.53704;"Waltraute und Schwertleite";"Heiaha!"
239.7377;242.53704;"Gerhilde";"Heiaha!"
243.436;245.00865;"Grimgerde";"Hojotoho!"
245.48595;247.12091;"Rossweisse";"Hojotoho!"
247.92455;250.71135;"Grimgerde und Rossweisse";"Heiaha!"
251.28;254.86192;"Waltraute";"Grimgerd’ und Rossweisse!"
255.33256;257.58798;"Gerhilde";"Sie reiten zu zwei."
275.7677;278.85786;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
279.51934;282.29854;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
283.72597;287.51422;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
288.4111;291.39791;"Rossweisse und Grimgerde";"Heiaha!"
291.4;307.37178;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
308.15;324.36522;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
309.29885;324.36522;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
336.5290620405;340.34278;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
344.54;348.15048;"Ortlinde";"Führet die Mähren fern von einander,"
349.25606;352.57789;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
