start;end;person;text
90.86201814;98.34517548683;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
99.41518647449;106.0580535147;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
106.7;121.79508;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
151.74284;155.8880661677;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
163.82508;166.6555;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
166.8886;170.11605;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
171.1428;172.79522;"Waltraute";"Wer hängt dir im Sattel?"
173.52;175.26936;"Helmwige";"Sintolt, der Hegeling!"
175.49;178.03176;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
178.26264;181.39936;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
181.39936;184.25933;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
186.0107;189.94958;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
191.42;193.64645;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
194.51225;197.79954;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
198.02931;199.40793;"Helmwige";"Ruhig, Brauner!"
200.01606;202.15796;"Helmwige";"Brich nicht den Frieden."
201.69398;205.04827;"Waltraute";"Hojoho! Hojoho!"
205.05;208.28868;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
217.27;218.6353;"Siegrune";"Arbeit gab’s!"
227.27278;229.21853;"Siegrune";"Sind die andren schon da?"
230.306;233.92201;"Schwertleite";"Hojotoho! Hojotoho!"
235.40608;237.618;"Waltraute und Schwertleite";"Heiaha!"
234.77005;237.618;"Gerhilde";"Heiaha!"
238.5027;240.00976;"Grimgerde";"Hojotoho!"
240.48928;242.1409;"Rossweisse";"Hojotoho!"
242.9845;245.59379;"Grimgerde und Rossweisse";"Heiaha!"
246.1;249.58866;"Waltraute";"Grimgerd’ und Rossweisse!"
250.03488;252.70755;"Gerhilde";"Sie reiten zu zwei."
273.13435;276.45764;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
277.1926;280.2251;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
281.72595;285.73865;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
286.69325;289.89775;"Rossweisse und Grimgerde";"Heiaha!"
289.9;305.31198;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
305.99;322.3429559995;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
