start;end;person;text
86.226;93.39692296976;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
94.43972423955;100.8301865301;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
101.407006802;115.24622;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
143.28066;147.33512;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
154.78622;157.3601;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
157.56212;160.72271;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
161.76056;163.18212;"Waltraute";"Wer hängt dir im Sattel?"
163.79;165.60152;"Helmwige";"Sintolt, der Hegeling!"
165.83;168.294;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
168.516;171.5816;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
171.5816;174.39266;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
176.18178;180.05068;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
181.56;183.68645;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
184.55225;187.824;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
188.046;189.378;"Helmwige";"Ruhig, Brauner!"
189.96608;192.05464;"Helmwige";"Brich nicht den Frieden."
191.59732;195.14805;"Waltraute";"Hojoho! Hojoho!"
195.15;198.36866;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
206.81;208.0754;"Siegrune";"Arbeit gab’s!"
216.15285;218.01637;"Siegrune";"Sind die andren schon da?"
219.11264;222.62424;"Schwertleite";"Hojotoho! Hojotoho!"
224.05392;226.09816;"Waltraute und Schwertleite";"Heiaha!"
223.4412;226.09816;"Gerhilde";"Heiaha!"
226.95604;228.43311;"Grimgerde";"Hojotoho!"
228.87933;230.41647;"Rossweisse";"Hojotoho!"
231.20235;233.72271;"Grimgerde und Rossweisse";"Heiaha!"
234.22;237.48532;"Waltraute";"Grimgerd’ und Rossweisse!"
237.93376;240.19796;"Gerhilde";"Sie reiten zu zwei."
257.60995;260.51802;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
261.20265;263.94196;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
265.28268;268.96533;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
269.86665;272.71805;"Rossweisse und Grimgerde";"Heiaha!"
272.72;288.19874;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
288.83;304.7990717453;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
290.02325;304.7990717453;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
316.55848;320.3517;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
324.46;327.9363;"Ortlinde";"Führet die Mähren fern von einander,"
