start;end;person;text
90.218004535;97.61855548683;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
98.68262913771;105.3742866667;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
106.01;121.07954;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
148.62956;152.5507;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
160.37738;162.9022;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
163.12864;166.24937;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
167.29832;168.76874;"Waltraute";"Wer hängt dir im Sattel?"
169.4;171.11384;"Helmwige";"Sintolt, der Hegeling!"
171.33;173.654;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
173.876;176.92384;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
176.92384;179.93269;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
181.66622;185.7251;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
187.32;189.42644;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
190.3322;193.6751;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
193.90265;195.26795;"Helmwige";"Ruhig, Brauner!"
195.89271;198.06352;"Helmwige";"Brich nicht den Frieden."
197.60176;201.18803;"Waltraute";"Hojoho! Hojoho!"
201.19;204.37872;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
212.76;214.06536;"Siegrune";"Arbeit gab’s!"
222.09062;223.90975;"Siegrune";"Sind die andren schon da?"
224.93936;228.31757;"Schwertleite";"Hojotoho! Hojotoho!"
229.77056;231.74712;"Waltraute und Schwertleite";"Heiaha!"
229.14785;231.74712;"Gerhilde";"Heiaha!"
232.60936;234.112;"Grimgerde";"Hojotoho!"
234.556;236.101455;"Rossweisse";"Hojotoho!"
236.947275;239.415045;"Grimgerde und Rossweisse";"Heiaha!"
239.88;243.2086;"Waltraute";"Grimgerd’ und Rossweisse!"
243.6748;246.05785;"Gerhilde";"Sie reiten zu zwei."
265.90655;269.022865;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
269.735955;272.58524;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
274.01595;277.87978;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
278.7589;281.95768;"Rossweisse und Grimgerde";"Heiaha!"
