start;end;person;text
97.358004535;105.2939554868;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
106.4425891377;113.4273470294;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
114.09;129.6195;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
160.37176;164.6480061677;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
172.86622;175.61215;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
175.84858;179.32929;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
180.51144;182.16858;"Waltraute";"Wer hängt dir im Sattel?"
182.88;184.80696;"Helmwige";"Sintolt, der Hegeling!"
185.05;187.86614;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
188.12921;191.76128;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
191.76128;195.03262;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
196.95506;201.098715;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
202.68;205.13644;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
206.0422;209.66174;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
209.90261;211.34783;"Helmwige";"Ruhig, Brauner!"
212.00268;214.3534;"Helmwige";"Brich nicht den Frieden."
213.8317;217.72793;"Waltraute";"Hojoho! Hojoho!"
217.73;221.32524;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
230.36;231.91178;"Siegrune";"Arbeit gab’s!"
240.46738;242.73372;"Siegrune";"Sind die andren schon da?"
243.98927;247.81311;"Schwertleite";"Hojotoho! Hojotoho!"
249.37488;251.66904;"Waltraute und Schwertleite";"Heiaha!"
248.70555;251.66904;"Gerhilde";"Heiaha!"
252.65927;254.34422;"Grimgerde";"Hojotoho!"
254.79266;256.36422;"Rossweisse";"Hojotoho!"
257.2611;259.8694;"Grimgerde und Rossweisse";"Heiaha!"
260.36;264.14836;"Waltraute";"Grimgerd’ und Rossweisse!"
264.69448;267.13783;"Gerhilde";"Sie reiten zu zwei."
287.73095;291.21753;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
291.97258;295.0784;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
296.62925;300.7642;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
301.741;305.09762;"Rossweisse und Grimgerde";"Heiaha!"
305.1;321.84522;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
