measure_start;measure_end;person;text
45.000;48.777;"Gerhilde";"Hojotoho! Hojotoho! Heiaha! Heiaha!"
49.333;52.666;"Gerhilde";"Helmwige! Hier! Hieher mit dem Roß!"
53.000;60.222;"Helmwige";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heiaha!"
74.222;76.222;"Gerhilde, Waltraute und Schwertleite";"Heiaha! Heiaha!"
80.222;81.555;"Ortlinde";"Zu Ortlindes Stute stell deinen Hengst:"
81.666;83.333;"Ortlinde";"mit meiner Grauen grast gern dein Brauner!"
83.888;84.666;"Waltraute";"Wer hängt dir im Sattel?"
85.000;85.888;"Helmwige";"Sintolt, der Hegeling!"
86.000;87.222;"Schwertleite";"Führ deinen Brauen fort von der Grauen:"
87.333;88.888;"Schwertleite";"Ortlindes Mähre trägt Wittig, den Irming!"
88.888;90.333;"Gerhilde";"Als Feinde nur sah ich Sintolt und Wittig!"
91.222;93.222;"Ortlinde";"Heiaha! Heiaha! Die Stute stößt mir der Hengst!"
94.000;95.111;"Gerhilde,Helmwige und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
95.555;97.222;"Gerhilde";"Der Recken Zwist entzweit noch die Rosse!"
97.333;97.999;"Helmwige";"Ruhig, Brauner!"
98.333;99.444;"Helmwige";"Brich nicht den Frieden."
99.222;100.999;"Waltraute";"Hojoho! Hojoho!"
101.000;102.666;"Waltraute";"Siegrune, hier! Wo säumst du so lang?"
107.000;107.666;"Siegrune";"Arbeit gab’s!"
111.777;112.777;"Siegrune";"Sind die andren schon da?"
113.333;115.111;"Schwertleite";"Hojotoho! Hojotoho!"
115.888;116.888;"Waltraute und Schwertleite";"Heiaha!"
115.555;116.888;"Gerhilde";"Heiaha!"
117.333;118.111;"Grimgerde";"Hojotoho!"
118.333;119.111;"Rossweisse";"Hojotoho!"
119.555;120.777;"Grimgerde und Rossweisse";"Heiaha!"
121.000;122.666;"Waltraute";"Grimgerd’ und Rossweisse!"
122.888;123.999;"Gerhilde";"Sie reiten zu zwei."
132.555;133.999;"Ortlinde, Helmwige und Siegrune";"Gegrüßt, ihr Reisige!"
134.333;135.666;"Ortlinde, Helmwige und Siegrune";"Rossweiss’ und Grimgerde!"
136.333;138.111;"Rossweisse und Grimgerde";"Hojotoho! Hojotoho!"
138.555;139.999;"Rossweisse und Grimgerde";"Heiaha!"
140.000;147.666;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Hojotoho! Hojotoho! Heiaha! Heiaha! Hojotoho! Hojotoho! Heiaha! Heiaha!"
148.000;155.777;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
148.555;155.777;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
161.888;163.777;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
166.000;167.777;"Ortlinde";"Führet die Mähren fern von einander,"
168.333;169.999;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
170.000;172.111;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
172.222;174.888;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
175.000;176.111;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
176.000;177.111;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
177.000;178.111;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
178.000;179.111;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
179.000;180.111;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
180.333;181.999;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
181.888;183.777;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
183.888;185.222;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
187.444;188.222;"Schwertleite";"Wart ihr Kühnen zu zwei?"
188.555;190.333;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
190.444;192.222;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
192.888;194.333;"Rossweisse";"nach Walhall brechen wir auf,"
195.000;196.333;"Rossweisse";"Wotan zu bringen die Wal."
197.000;198.666;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
198.777;199.999;"Gerhilde";"Bei dem braunen Wälsung"
200.000;201.555;"Gerhilde";"weilt wohl noch Brünnhild’."
201.555;202.888;"Waltraute";"Auf sie noch harren müssen wir hier:"
203.000;204.555;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
204.666;206.333;"Waltraute";"säh’ ohne sie er uns nahn."
206.000;207.777;"Siegrune";"Hojotoho! Hojotoho!"
208.222;209.666;"Siegrune";"Hieher! Hieher!"
209.888;210.666;"Siegrune";"In brünstigem Ritt"
210.666;211.999;"Siegrune";"jagt Brünnhilde her!"
212.000;213.888;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
212.333;213.888;"Waltraute und Rossweisse";"Hojotoho!"
212.666;213.444;"Grimgerde und Schwertleite";"Hojotoho!"
213.666;216.166;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
214.000;215.888;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
223.666;226.333;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
226.833;229.333;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
230.166;232.500;"Rossweisse";"So jach sah ich nie Walküren jagen!"
233.166;234.333;"Ortlinde";"Wen hält sie im Sattel?"
234.500;235.333;"Helmwige";"Das ist kein Held!"
239.333;240.833;"Siegrune";"Eine Frau führt sie!"
241.666;243.333;"Gerhilde";"Wie fand sie die Frau?"
243.500;245.500;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
245.833;249.333;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
250.333;251.500;"Ortlinde";"Helft der Schwester"
251.500;252.333;"Ortlinde";"vom Roß sich schwingen!"
253.000;254.777;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
253.333;255.111;"Siegrune und Rossweisse";"Hojotoho! Hojotoho!"
253.888;255.777;"Waltraute, Grimgerde und Schwertleite";"Heiaho! Heiaha!"
254.888;255.777;"Ortlinde";"Heiaha!"
256.833;259.500;"Waltraute";"Zu Grunde stürzt Grane, der starke!"
261.111;262.666;"Grimgerde";"Aus dem Sattel hebt sie hastig das Weib!"
263.000;264.555;"Ortlinde, Waltraute und Schwertleite";"Schwester! Schwester!"
263.333;264.555;"Grimgerde";"Schwester!"
264.666;265.833;"Ortlinde, Waltraute, Schwertleite und Grimgerde";"Was ist geschehn?"
270.250;273.500;"Brünnhilde";"Schützt mich, und helft in höchster Not!"
273.166;274.666;"Grimgerde";"Wo rittest du her in rasender Hast?"
273.416;274.166;"Siegrune";"Woher in rasender Hast?"
274.166;275.250;"Gerhilde";"Wo rittest du her in rasender Hast?"
274.416;275.250;"Helmwige";"Woher in rasender Hast?"
273.750;275.375;"Ortlinde, Waltraute und Schwertleite";"So flieht nur, wer auf der Flucht!"
273.875;275.375;"Rossweisse";"So flieht nur, wer auf der Flucht!"
274.500;275.250;"Siegrune";"bist du in Flucht?"
275.375;277.500;"Brünnhilde";"Zum erstenmal flieh’ ich und bin verfolgt:"
278.000;279.250;"Brünnhilde";"Heervater hetzt mir nach!"
279.250;280.999;"Helmwige, Gerhilde, Siegrune und Grimgerde";"Bist du von Sinnen? Sage uns! Wie?"
279.250;279.999;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Ha! Sprich!"
280.375;281.500;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Verfolgt dich Heervater?"
281.750;282.375;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"O sag!"
281.500;282.375;"Acht Walküren";"Fliehst du vor ihm?"
286.375;288.375;"Brünnhilde";"O Schwestern, späht von des Felsens Spitze:"
288.500;290.250;"Brünnhilde";"schaut nach Norden, ob Walvater naht!"
293.250;294.750;"Brünnhilde";"Schnell! Seht ihr ihn schon?"
295.875;297.375;"Ortlinde";"Gewittersturm weht von Norden."
297.500;299.250;"Waltraute";"Starkes Gewölk staut sich dort auf!"
301.000;302.875;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Heervater reitet sein heiliges Roß!"
303.375;305.250;"Brünnhilde";"Der wilde Jäger, der wütend mich jagt,"
305.375;306.875;"Brünnhilde";"er naht, er naht von Norden!"
307.000;309.250;"Brünnhilde";"Schützt mich, Schwestern! Wahret dies Weib!"
309.125;310.375;"Siegrune und Rossweisse";"Was ist mit dem Weibe?"
309.375;310.375;"Helmwige,Gerhilde, Grimgerde und Schwertleite";"Was ist mit dem Weibe?"
310.500;311.250;"Brünnhilde";"Hört mich in Eile:"
311.500;313.750;"Brünnhilde";"Sieglinde ist es, Siegmunds Schwester und Braut:"
314.250;314.999;"Brünnhilde";"gegen die Wälsungen"
315.000;316.250;"Brünnhilde";"wütet Wotan in Grimm;"
316.375;317.875;"Brünnhilde";"dem Bruder sollte Brünnhilde heut"
317.875;318.750;"Brünnhilde";"entziehen den Sieg;"
318.875;320.999;"Brünnhilde";"doch Siegmund schützt’ ich mit meinem Schild,"
321.000;321.750;"Brünnhilde";"trotzend dem Gott:"
321.875;323.375;"Brünnhilde";"der traf ihn da selbst mit dem Speer:"
323.500;324.250;"Brünnhilde";"Siegmund fiel;"
324.375;326.250;"Brünnhilde";"doch ich floh fern mit der Frau:"
326.333;327.999;"Brünnhilde";"sie zu retten eilt’ ich zu euch,"
328.250;329.875;"Brünnhilde";"ob mich Bange auch"
329.875;331.500;"Brünnhilde";"ihr berget vor dem strafenden Streich!"
332.125;334.750;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Betörte Schwester, was tatest du?"
335.000;337.750;"Helmwige, Siegrune und Grimgerde";"Wehe! Brünnhilde, wehe!"
335.000;338.750;"Schwertleite";"Wehe! Wehe! Brünnhilde, wehe!"
335.500;338.750;"Rossweisse";"Wehe! Brünnhilde, wehe!"
336.000;338.750;"Grimgerde";"Wehe! Brünnhilde, wehe!"
338.250;339.999;"Helmwige, Siegrune und Grimgerde";"Brach ungehorsam"
339.250;339.999;"Gerhilde, Rossweisse und Schwertleite";"Brachst du"
340.000;342.750;"Helmwige, Siegrune und Grimgerde";"Brünnhilde Heervaters heilig Gebot?"
340.000;342.750;"Gerhilde, Rossweisse und Schwertleite";"Heervaters heilig Gebot?"
343.250;345.250;"Waltraute";"Nächtig zieht es von Norden heran."
345.250;347.500;"Ortlinde";"Wütend steuert hieher der Sturm!"
348.000;349.999;"Rossweisse, Grimgerde und Schwertleite";"Wild wiehert Walvaters Roß!"
350.000;351.500;"Helmwige, Gerhilde und Siegrune";"Schrecklich schnaubt es daher!"
354.000;355.750;"Brünnhilde";"Wehe der Armen, wenn Wotan sie trifft:"
355.875;357.875;"Brünnhilde";"den Wälsungen allen droht er Verderben!"
358.250;360.750;"Brünnhilde";"Wer leiht mir von euch das leichteste Roß,"
360.875;362.250;"Brünnhilde";"das flink die Frau ihm entführ’?"
362.625;364.250;"Siegrune";"Auch uns rätst du rasenden Trotz?"
365.000;365.999;"Brünnhilde";"Rossweisse, Schwester,"
366.000;366.750;"Brünnhilde";"leih mir deinen Renner!"
366.875;368.750;"Rossweisse";"Vor Walvater floh der Fliegende nie."
369.000;369.750;"Brünnhilde";"Helmwige, höre!"
369.875;370.750;"Helmwige";"Dem Vater gehorch’ ich."
371.000;372.750;"Brünnhilde";"Grimgerde! Gerhilde! Gönnt mir eu’r Roß!"
373.000;374.999;"Brünnhilde";"Schwertleite! Siegrune! Seht meine Angst!"
375.250;377.250;"Brünnhilde";"O seid mir treu, wie traut ich euch war:"
377.500;379.500;"Brünnhilde";"rettet dies traurige Weib!"
382.750;385.500;"Sieglinde";"Nicht sehre dich Sorge um mich:"
386.000;388.500;"Sieglinde";"einzig taugt mir der Tod!"
388.750;389.375;"Sieglinde";"Wer hieß dich Maid,"
389.375;390.250;"Sieglinde";"dem Harst mich entführen?"
390.875;392.250;"Sieglinde";"Im Sturm dort hätt’ ich den Streich empfahn"
392.333;394.250;"Sieglinde";"von derselben Waffe, der Siegmund fiel;"
394.375;395.375;"Sieglinde";"das Ende fand ich"
395.438;396.999;"Sieglinde";"vereint mit ihm!"
397.250;400.500;"Sieglinde";"Fern von Siegmund – Siegmund, von dir! –"
400.875;402.375;"Sieglinde";"O deckte mich Tod, daß ich’s denke!"
402.750;403.250;"Sieglinde";"Soll um die Flucht"
403.250;404.500;"Sieglinde";"dir Maid ich nicht fluchen,"
404.750;406.500;"Sieglinde";"so erhöre heilig mein Flehen: –"
407.250;409.250;"Sieglinde";"stoße dein Schwert mir ins Herz!"
409.250;412.375;"Brünnhilde";"Lebe, o Weib, um der Liebe willen!"
412.500;414.500;"Brünnhilde";"Rette das Pfand, das von ihm du empfingst:"
414.750;416.500;"Brünnhilde";"ein Wälsung wächst dir im Schoß!"
420.000;423.750;"Sieglinde";"Rette mich, Kühne! Rette mein Kind!"
424.000;426.500;"Sieglinde";"Schirmt mich, ihr Mädchen, mit mächtigstem Schutz!"
427.125;428.500;"Waltraute";"Der Sturm kommt heran."
429.250;430.500;"Ortlinde";"Flieh, wer ihn fürchtet!"
431.000;432.750;"Gerhilde, Rossweisse und Grimgerde";"Fort mit dem Weibe, droht ihm Gefahr!"
431.500;433.500;"Helmwige, Siegrune und Schwertleite";"Fort mit dem Weibe, droht ihm Gefahr!"
432.875;434.750;"Gerhilde, Rossweisse und Grimgerde";"Der Walküren keine wag’ ihren Schutz!"
433.500;434.750;"Helmwige, Siegrune und Schwertleite";"Keine wag' ihren Schutz!"
435.000;437.250;"Sieglinde";"Rette mich, Maid! Rette die Mutter!"
440.375;442.250;"Brünnhilde";"So fliehe denn eilig, und fliehe allein!"
442.500;445.250;"Brünnhilde";"Ich bleibe zurück, biete mich Wotans Rache:"
445.625;447.250;"Brünnhilde";"an mir zögr’ ich den Zürnenden hier,"
447.250;449.250;"Brünnhilde";"während du seinem Rasen entrinnst."
450.000;451.250;"Sieglinde";"Wohin soll ich mich wenden?"
451.500;453.250;"Brünnhilde";"Wer von euch Schwestern schweifte nach Osten?"
453.375;455.250;"Siegrune";"Nach Osten weithin dehnt sich ein Wald:"
455.375;457.750;"Siegrune";"der Niblungen Hort entführte Fafner dorthin."
458.000;459.875;"Schwertleite";"Wurmesgestalt schuf sich der Wilde,"
460.125;462.250;"Schwertleite";"in einer Höhle hütet er Alberichs Reif."
462.250;464.250;"Grimgerde";"Nicht geheu’r ist’s dort für ein hülflos Weib."
464.375;467.250;"Brünnhilde";"Und doch, vor Wotans Wut schützt sie sicher der Wald;"
467.375;469.250;"Brünnhilde";"ihn scheut der Mächt’ge und meidet den Ort."
469.250;470.250;"Waltraute";"Furchtbar fährt"
470.250;471.250;"Waltraute";"dort Wotan zum Fels!"
471.250;473.999;"Gerhilde, Helmwige, Rossweisse, Siegrune, Grimgerde und Schwertleite";"Brünnhilde! Hör seines Nahens Gebraus’!"
475.000;478.333;"Brünnhilde";"Fort denn eile, nach Osten gewandt!"
479.000;482.666;"Brünnhilde";"Mutigen Trotzes ertrag alle Müh’n;"
483.000;486.500;"Brünnhilde";"Hunger und Durst, Dorn und Gestein;"
487.000;490.833;"Brünnhilde";"lache, ob Not, ob Leiden dich nagt!"
491.500;495.333;"Brünnhilde";"denn eines wiss’ und wahr es immer:"
496.500;499.999;"Brünnhilde";"den hehrsten Helden der Welt"
500.000;503.999;"Brünnhilde";"hegst du, o Weib, im schirmenden Schoß."
509.833;513.500;"Brünnhilde";"Verwahr ihm die starken Schwertesstücken;"
513.666;517.500;"Brünnhilde";"seines Vaters Walstatt entführt’ ich sie glücklich: –"
518.250;521.999;"Brünnhilde";"der neu gefügt das Schwert einst schwingt,"
522.833;526.333;"Brünnhilde";"den Namen nehm’ er von mir:"
527.000;531.999;"Brünnhilde";"Siegfried erfreu’ sich des Siegs!"
534.500;541.999;"Sieglinde";"O hehrstes Wunder, herrliche Maid!"
542.500;545.999;"Sieglinde";"Dir Treuen dank’ ich heiligen Trost!"
546.500;550.833;"Sieglinde";"Für ihn, den wir liebten, rett’ ich das Liebste:"
551.166;554.833;"Sieglinde";"meines Dankes Lohn lache dir einst!"
555.500;562.666;"Sieglinde";"Lebe wohl! Dich segnet Sieglindes Weh!"
570.000;571.999;"Wotan";"Steh! Brünnhild’!"
572.166;573.833;"Ortlinde und Waltraute";"Den Fels erreichten Roß und Reiter!"
574.000;577.666;"Helmwige, Gerhilde, Siegrune und Grimgerde";"Weh’, Brünnhild’! Rache entbrennt!"
575.000;578.666;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Weh’, Brünnhild’! Rache entbrennt!"
578.125;580.333;"Brünnhilde";"Ach, Schwestern, helft! Mir schwankt das Herz:"
580.666;582.500;"Brünnhilde";"sein Zorn zerschellt mich,"
582.583;584.666;"Brünnhilde";"wenn euer Schutz ihn nicht zähmt!"
584.166;587.666;"Helmwige";"Hieher, Verlorne! Laß dich nicht sehn!"
585.166;587.666;"Rossweisse";"Hieher! Laß dich nicht sehn,"
585.166;585.666;"Schwertleite";"Hieher!"
585.500;585.999;"Gerhilde und Grimgerde";"Hieher!"
585.500;587.833;"Siegrune";"Hieher, Verlorne,"
586.000;587.999;"Ortlinde";"Laß dich nicht sehn! Hieher,"
586.500;586.999;"Waltraute";"Hieher!"
587.000;590.666;"Schwertleite";"Schmiege dich an uns und schweige dem Ruf!"
587.000;590.666;"Gerhilde";"Schmiege dich an uns! Hieher, zu uns!"
588.000;589.333;"Helmwige und Waltraute";"Schmiege dich an uns!"
588.666;590.666;"Ortlinde, Siegrune und Rossweisse";"und schweige dem Ruf!"
594.000;598.833;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Weh’! Wütend schwingt sich Wotan vom Roß!"
599.000;602.500;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Hieher rast sein rächender Schritt!"
610.000;613.500;"Wotan";"Wo ist Brünnhild’, wo die Verbrecherin?"
614.000;616.750;"Wotan";"Wagt ihr, die Böse vor mir zu bergen?"
617.000;620.500;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Schrecklich ertost dein Toben!"
620.750;622.500;"Helmwige, Ortlinde, Siegrune und Grimgerde";"Was taten, Vater, die Töchter,"
622.625;624.500;"Helmwige, Ortlinde, Siegrune";"daß sie dich reizten zu rasender Wut?"
622.500;624.500;"Grimgerde";"daß sie dich reizten zu rasender Wut?"
621.500;624.500;"Gerhilde, Waltraute, Rossweisse und Schwertleite";"Wer reizte dich zu rasender Wut?"
624.500;627.500;"Wotan";"Wollt ihr mich höhnen? Hütet euch, Freche!"
628.375;630.250;"Wotan";"Ich weiß, Brünnhilde bergt ihr vor mir."
631.000;633.500;"Wotan";"Weichet von ihr, der ewig Verworfnen,"
633.625;635.500;"Wotan";"wie ihren Wert von sich sie warf!"
637.375;639.999;"Rossweisse";"Zu uns floh die Verfolgte;"
639.500;641.500;"Siegrune";"Unsren Schutz flehte sie an;"
639.500;642.250;"Grimgerde";"Unsren Schutz flehte sie an;"
639.500;641.250;"Schwertleite";"Unsren Schutz flehte sie an;"
641.000;644.250;"Rossweisse";"unsren Schutz flehte sie an:"
641.750;645.500;"Waltraute";"Mit Furcht und Zagen faßt sie dein Zorn:"
642.000;647.999;"Siegrune";"Furcht und Zagen faßt die Verfolgte."
642.500;649.250;"Schwertleite";"Mit Furcht und Zagen faßt sie dein Zürnen:"
643.750;648.750;"Grimgerde";"Mit Furcht und Zagen faßt sie dein Zürnen:"
645.000;649.500;"Ortlinde";"Vater, hör uns flehn!"
645.250;649.500;"Rossweisse";"für die bange Schwester bitten wir nun;"
645.750;649.500;"Waltraute";"für die bange Schwester bitten wir nun,"
649.250;653.500;"Grimgerde";"für die Bange bitten wir dich!"
650.500;653.500;"Schwertleite";"für die Bange bitten wir dich!"
649.500;653.500;"Waltraute";"daß den ersten Zorn du bezähmst."
650.250;653.500;"Rossweisse";"daß den ersten Zorn du bezähmst."
646.000;653.500;"Gerhilde";"Laß dich erweichen, laß dich erweichen!"
647.000;653.500;"Helmwige";"Laß dich erweichen, für sie, zähme deinen Zorn!"
650.000;652.750;"Ortlinde";"Laß dich erweichen!"
654.000;655.750;"Wotan";"Weichherziges Weibergezücht!"
656.250;658.500;"Wotan";"So matten Mut gewannt ihr von mir?"
658.875;660.875;"Wotan";"Erzog ich euch kühn, zum Kampfe zu ziehn,"
661.000;661.750;"Wotan";"schuf ich die Herzen"
661.750;662.750;"Wotan";"euch hart und scharf,"
662.750;664.500;"Wotan";"daß ihr Wilden nun weint und greint,"
664.625;666.500;"Wotan";"wenn mein Grimm eine Treulose straft?"
669.375;671.375;"Wotan";"So wißt denn, Winselnde, was die verbrach,"
671.375;673.250;"Wotan";"um die euch Zagen die Zähre entbrennt!"
674.000;674.999;"Wotan";"Keine wie sie"
675.000;676.500;"Wotan";"kannte mein innerstes Sinnen!"
680.000;680.999;"Wotan";"Keine wie sie"
681.000;682.500;"Wotan";"wußte den Quell meines Willens!"
685.375;686.750;"Wotan";"Sie selbst war"
686.750;688.500;"Wotan";"meines Wunsches schaffender Schoß:"
690.125;692.250;"Wotan";"und so nun brach sie den seligen Bund,"
692.375;694.250;"Wotan";"daß treulos sie meinem Willen getrotzt,"
694.375;696.250;"Wotan";"mein herrschend Gebot offen verhöhnt,"
696.333;697.750;"Wotan";"gegen mich die Waffe gewandt,"
697.833;699.500;"Wotan";"die mein Wunsch allein ihr schuf."
702.000;705.250;"Wotan";"Hörst du’s, Brünnhilde? Du, der ich Brünne,"
705.500;707.375;"Wotan";"Helm und Wehr, Wonne und Huld,"
707.500;709.500;"Wotan";"Namen und Leben verlieh?"
710.000;712.750;"Wotan";"Hörst du mich Klage erheben,"
712.875;714.500;"Wotan";"und birgst dich bang dem Kläger,"
714.750;716.500;"Wotan";"daß feig du der Straf’ entflöh’st?"
729.500;732.375;"Brünnhilde";"Hier bin ich, Vater gebiete die Strafe!"
734.500;736.250;"Wotan";"Nicht straf’ ich dich erst;"
736.500;738.250;"Wotan";"deine Strafe schufst du dir selbst."
738.625;740.500;"Wotan";"Durch meinen Willen warst du allein:"
740.750;742.500;"Wotan";"gegen mich doch hast du gewollt;"
743.500;745.500;"Wotan";"meine Befehle nur führtest du aus:"
745.750;747.875;"Wotan";"gegen mich doch hast du befohlen;"
749.000;750.999;"Wotan";"Wunschmaid warst du mir:"
751.083;752.500;"Wotan";"gegen mich doch hast du gewünscht;"
753.000;754.999;"Wotan";"Schildmaid warst du mir:"
755.083;756.500;"Wotan";"gegen mich doch hobst du den Schild;"
757.000;758.999;"Wotan";"Loskieserin warst du mir:"
759.083;760.500;"Wotan";"gegen mich doch kiestest du Lose;"
761.000;762.999;"Wotan";"Heldenreizerin warst du mir:"
763.083;764.500;"Wotan";"gegen mich doch reiztest du Helden."
769.750;772.999;"Wotan";"Was sonst du warst, sagte dir Wotan:"
773.250;776.500;"Wotan";"was jetzt du bist, das sage dir selbst!"
777.000;778.999;"Wotan";"Wunschmaid bist du nicht mehr;"
779.500;781.875;"Wotan";"Walküre bist du gewesen:"
782.750;785.250;"Wotan";"nun sei fortan, was so du noch bist!"
787.750;789.999;"Brünnhilde";"Du verstößest mich; versteh’ ich den Sinn?"
790.500;794.500;"Wotan";"Nicht send’ ich dich mehr aus Walhall;"
794.750;798.750;"Wotan";"nicht weis’ ich dir mehr Helden zur Wal,"
798.750;800.875;"Wotan";"nicht führst du mehr Sieger"
800.875;802.999;"Wotan";"in meinen Saal:"
803.500;807.500;"Wotan";"bei der Götter trautem Mahle"
807.750;811.500;"Wotan";"das Trinkhorn nicht reichst du traulich mir mehr;"
811.750;815.500;"Wotan";"nicht kos’ ich dir mehr den kindischen Mund;"
815.750;819.750;"Wotan";"von göttlicher Schar bist du geschieden,"
820.000;823.500;"Wotan";"ausgestoßen aus der Ewigen Stamm;"
823.875;826.500;"Wotan";"gebrochen ist unser Bund;"
827.250;832.250;"Wotan";"aus meinem Angesicht bist du verbannt!"
832.500;834.875;"Helmwige, Gerhilde, Ortlinde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Wehe! Weh’!"
835.000;837.750;"Helmwige, Gerhilde, Ortlinde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Schwester! ach Schwester!"
837.500;840.500;"Brünnhilde";"Nimmst du mir alles, was einst du gabst?"
840.500;843.750;"Wotan";"Der dich zwingt, wird dir’s entziehn!"
844.750;848.500;"Wotan";"Hieher auf den Berg banne ich dich;"
848.750;852.500;"Wotan";"in wehrlosen Schlaf schließ’ ich dich fest;"
852.750;854.500;"Wotan";"der Mann dann fange die Maid,"
854.666;856.250;"Wotan";"der am Wege sie findet und weckt."
856.875;857.500;"Waltraute";"Halt ein!"
857.375;857.875;"Ortlinde, Grimgerde und Schwertleite";"O Vater!"
857.875;859.250;"Helmwige, Gerhilde, Rossweisse und Siegrune";"Halt ein den Fluch!"
