StaffMeasureIndex,SystemIndex,StaffIndex,Left,Top,Height,Width,Image
1,1,1,114,131,21,88,Wagner_WWV086B_140.png
2,2,1,202,131,21,187,Wagner_WWV086B_140.png
3,3,1,390,131,21,189,Wagner_WWV086B_140.png
4,1,2,114,179,21,88,Wagner_WWV086B_140.png
5,2,2,202,179,21,187,Wagner_WWV086B_140.png
6,3,2,390,179,21,189,Wagner_WWV086B_140.png
7,4,3,57,259,23,189,Wagner_WWV086B_140.png
8,5,3,247,259,23,167,Wagner_WWV086B_140.png
9,6,3,415,259,23,163,Wagner_WWV086B_140.png
10,4,4,57,309,23,189,Wagner_WWV086B_140.png
11,5,4,247,309,23,167,Wagner_WWV086B_140.png
12,6,4,415,309,23,163,Wagner_WWV086B_140.png
13,7,5,55,395,22,196,Wagner_WWV086B_140.png
14,8,5,253,395,22,171,Wagner_WWV086B_140.png
15,9,5,425,395,22,153,Wagner_WWV086B_140.png
16,7,6,55,445,22,196,Wagner_WWV086B_140.png
17,8,6,253,445,22,171,Wagner_WWV086B_140.png
18,9,6,425,445,22,153,Wagner_WWV086B_140.png
19,10,7,56,531,22,189,Wagner_WWV086B_140.png
20,11,7,246,531,22,163,Wagner_WWV086B_140.png
21,12,7,410,531,22,167,Wagner_WWV086B_140.png
22,10,8,56,582,22,189,Wagner_WWV086B_140.png
23,11,8,246,582,22,163,Wagner_WWV086B_140.png
24,12,8,410,582,22,167,Wagner_WWV086B_140.png
25,13,9,54,666,22,192,Wagner_WWV086B_140.png
26,14,9,247,666,22,163,Wagner_WWV086B_140.png
27,15,9,410,666,22,166,Wagner_WWV086B_140.png
28,13,10,54,717,23,192,Wagner_WWV086B_140.png
29,14,10,247,717,23,163,Wagner_WWV086B_140.png
30,15,10,410,717,23,166,Wagner_WWV086B_140.png
1,1,1,41,71,20,190,Wagner_WWV086B_141.png
2,2,1,232,71,20,163,Wagner_WWV086B_141.png
3,3,1,396,71,20,166,Wagner_WWV086B_141.png
4,1,2,41,120,21,190,Wagner_WWV086B_141.png
5,2,2,232,120,21,163,Wagner_WWV086B_141.png
6,3,2,396,120,21,166,Wagner_WWV086B_141.png
7,4,3,42,187,21,191,Wagner_WWV086B_141.png
8,5,3,234,187,21,164,Wagner_WWV086B_141.png
9,6,3,399,187,21,162,Wagner_WWV086B_141.png
10,4,4,42,236,21,191,Wagner_WWV086B_141.png
11,5,4,234,236,21,164,Wagner_WWV086B_141.png
12,6,4,399,236,21,162,Wagner_WWV086B_141.png
13,7,5,42,308,20,183,Wagner_WWV086B_141.png
14,8,5,226,308,20,166,Wagner_WWV086B_141.png
15,9,5,394,308,20,167,Wagner_WWV086B_141.png
16,7,6,42,356,23,183,Wagner_WWV086B_141.png
17,8,6,226,356,23,166,Wagner_WWV086B_141.png
18,9,6,394,356,23,167,Wagner_WWV086B_141.png
19,10,7,42,432,20,190,Wagner_WWV086B_141.png
20,11,7,233,432,20,164,Wagner_WWV086B_141.png
21,12,7,397,432,20,163,Wagner_WWV086B_141.png
22,10,8,42,481,22,190,Wagner_WWV086B_141.png
23,11,8,233,481,22,164,Wagner_WWV086B_141.png
24,12,8,397,481,22,163,Wagner_WWV086B_141.png
25,13,9,42,554,20,187,Wagner_WWV086B_141.png
26,14,9,230,554,20,159,Wagner_WWV086B_141.png
27,15,9,390,554,20,171,Wagner_WWV086B_141.png
28,13,10,42,598,24,187,Wagner_WWV086B_141.png
29,14,10,230,598,24,159,Wagner_WWV086B_141.png
30,15,10,390,598,24,171,Wagner_WWV086B_141.png
31,16,11,42,679,22,190,Wagner_WWV086B_141.png
32,17,11,233,679,22,162,Wagner_WWV086B_141.png
33,18,11,396,679,22,165,Wagner_WWV086B_141.png
34,16,12,42,724,22,190,Wagner_WWV086B_141.png
35,17,12,233,724,22,162,Wagner_WWV086B_141.png
36,18,12,396,724,22,165,Wagner_WWV086B_141.png
1,1,1,47,61,22,193,Wagner_WWV086B_142.png
2,2,1,241,61,22,161,Wagner_WWV086B_142.png
3,3,1,403,61,22,168,Wagner_WWV086B_142.png
4,1,2,47,103,21,193,Wagner_WWV086B_142.png
5,2,2,241,103,21,161,Wagner_WWV086B_142.png
6,3,2,403,103,21,168,Wagner_WWV086B_142.png
7,4,3,50,221,21,196,Wagner_WWV086B_142.png
8,5,3,247,221,21,160,Wagner_WWV086B_142.png
9,6,3,408,221,21,162,Wagner_WWV086B_142.png
10,4,4,50,267,23,196,Wagner_WWV086B_142.png
11,5,4,247,267,23,160,Wagner_WWV086B_142.png
12,6,4,408,267,23,162,Wagner_WWV086B_142.png
13,7,5,50,333,21,192,Wagner_WWV086B_142.png
14,8,5,243,333,21,163,Wagner_WWV086B_142.png
15,9,5,407,333,21,163,Wagner_WWV086B_142.png
16,7,6,50,378,23,192,Wagner_WWV086B_142.png
17,8,6,243,378,23,163,Wagner_WWV086B_142.png
18,9,6,407,378,23,163,Wagner_WWV086B_142.png
19,10,7,50,454,22,186,Wagner_WWV086B_142.png
20,11,7,238,454,22,161,Wagner_WWV086B_142.png
21,12,7,400,454,22,168,Wagner_WWV086B_142.png
22,10,8,50,503,21,186,Wagner_WWV086B_142.png
23,11,8,238,503,21,161,Wagner_WWV086B_142.png
24,12,8,400,503,21,168,Wagner_WWV086B_142.png
25,13,9,47,582,20,181,Wagner_WWV086B_142.png
26,14,9,229,582,20,150,Wagner_WWV086B_142.png
27,15,9,380,582,20,188,Wagner_WWV086B_142.png
28,13,10,47,625,21,181,Wagner_WWV086B_142.png
29,14,10,229,625,21,150,Wagner_WWV086B_142.png
30,15,10,380,625,21,188,Wagner_WWV086B_142.png
31,16,11,49,688,22,206,Wagner_WWV086B_142.png
32,17,11,256,688,22,157,Wagner_WWV086B_142.png
33,18,11,414,688,22,154,Wagner_WWV086B_142.png
34,16,12,49,733,20,206,Wagner_WWV086B_142.png
35,17,12,256,733,20,157,Wagner_WWV086B_142.png
36,18,12,414,733,20,154,Wagner_WWV086B_142.png
1,1,1,26,78,22,217,Wagner_WWV086B_143.png
2,2,1,244,78,22,165,Wagner_WWV086B_143.png
3,3,1,410,78,22,137,Wagner_WWV086B_143.png
4,1,2,26,118,22,217,Wagner_WWV086B_143.png
5,2,2,244,118,22,165,Wagner_WWV086B_143.png
6,3,2,410,118,22,137,Wagner_WWV086B_143.png
7,4,3,27,198,22,137,Wagner_WWV086B_143.png
8,5,3,165,198,22,105,Wagner_WWV086B_143.png
9,6,3,272,198,22,103,Wagner_WWV086B_143.png
10,7,3,376,198,22,171,Wagner_WWV086B_143.png
11,4,4,27,243,23,137,Wagner_WWV086B_143.png
12,5,4,165,243,23,105,Wagner_WWV086B_143.png
13,6,4,272,243,23,103,Wagner_WWV086B_143.png
14,7,4,376,243,23,171,Wagner_WWV086B_143.png
15,8,5,27,324,22,198,Wagner_WWV086B_143.png
16,9,5,226,324,22,176,Wagner_WWV086B_143.png
17,10,5,404,324,22,143,Wagner_WWV086B_143.png
18,8,6,27,370,22,198,Wagner_WWV086B_143.png
19,9,6,226,370,22,176,Wagner_WWV086B_143.png
20,10,6,404,370,22,143,Wagner_WWV086B_143.png
21,11,7,27,445,22,202,Wagner_WWV086B_143.png
22,12,7,230,445,22,158,Wagner_WWV086B_143.png
23,13,7,389,445,22,158,Wagner_WWV086B_143.png
24,11,8,27,494,22,202,Wagner_WWV086B_143.png
25,12,8,230,494,22,158,Wagner_WWV086B_143.png
26,13,8,389,494,22,158,Wagner_WWV086B_143.png
27,14,9,28,565,21,198,Wagner_WWV086B_143.png
28,15,9,228,565,21,159,Wagner_WWV086B_143.png
29,16,9,388,565,21,159,Wagner_WWV086B_143.png
30,14,10,28,611,23,198,Wagner_WWV086B_143.png
31,15,10,228,611,23,159,Wagner_WWV086B_143.png
32,16,10,388,611,23,159,Wagner_WWV086B_143.png
33,17,11,28,681,24,200,Wagner_WWV086B_143.png
34,18,11,229,681,24,160,Wagner_WWV086B_143.png
35,19,11,390,681,24,157,Wagner_WWV086B_143.png
36,17,12,28,727,23,200,Wagner_WWV086B_143.png
37,18,12,229,727,23,160,Wagner_WWV086B_143.png
38,19,12,390,727,23,157,Wagner_WWV086B_143.png
1,1,1,44,55,21,202,Wagner_WWV086B_144.png
2,2,1,247,55,21,143,Wagner_WWV086B_144.png
3,3,1,391,55,21,178,Wagner_WWV086B_144.png
4,1,2,44,99,23,202,Wagner_WWV086B_144.png
5,2,2,247,99,23,143,Wagner_WWV086B_144.png
6,3,2,391,99,23,178,Wagner_WWV086B_144.png
7,4,3,44,195,21,208,Wagner_WWV086B_144.png
8,5,3,253,195,21,150,Wagner_WWV086B_144.png
9,6,3,404,195,21,164,Wagner_WWV086B_144.png
10,4,4,44,239,23,208,Wagner_WWV086B_144.png
11,5,4,253,239,23,150,Wagner_WWV086B_144.png
12,6,4,404,239,23,164,Wagner_WWV086B_144.png
13,7,5,45,317,20,190,Wagner_WWV086B_144.png
14,8,5,237,317,20,152,Wagner_WWV086B_144.png
15,9,5,390,317,20,151,Wagner_WWV086B_144.png
16,7,6,45,360,22,190,Wagner_WWV086B_144.png
17,8,6,237,360,22,152,Wagner_WWV086B_144.png
18,9,6,390,360,22,151,Wagner_WWV086B_144.png
19,10,7,43,435,21,147,Wagner_WWV086B_144.png
20,11,7,191,435,21,119,Wagner_WWV086B_144.png
21,12,7,311,435,21,132,Wagner_WWV086B_144.png
22,13,7,445,435,21,122,Wagner_WWV086B_144.png
23,10,8,43,483,20,147,Wagner_WWV086B_144.png
24,11,8,191,483,20,119,Wagner_WWV086B_144.png
25,12,8,311,483,20,132,Wagner_WWV086B_144.png
26,13,8,445,483,20,122,Wagner_WWV086B_144.png
27,14,9,43,559,20,139,Wagner_WWV086B_144.png
28,15,9,183,559,20,124,Wagner_WWV086B_144.png
29,16,9,308,559,20,119,Wagner_WWV086B_144.png
30,17,9,428,559,20,138,Wagner_WWV086B_144.png
31,14,10,43,602,20,139,Wagner_WWV086B_144.png
32,15,10,183,602,20,124,Wagner_WWV086B_144.png
33,16,10,308,602,20,119,Wagner_WWV086B_144.png
34,17,10,428,602,20,138,Wagner_WWV086B_144.png
35,18,11,45,676,21,154,Wagner_WWV086B_144.png
36,19,11,201,676,21,128,Wagner_WWV086B_144.png
37,20,11,330,676,21,125,Wagner_WWV086B_144.png
38,21,11,456,676,21,110,Wagner_WWV086B_144.png
39,18,12,45,723,21,154,Wagner_WWV086B_144.png
40,19,12,201,723,21,128,Wagner_WWV086B_144.png
41,20,12,330,723,21,125,Wagner_WWV086B_144.png
42,21,12,456,723,21,110,Wagner_WWV086B_144.png
1,1,1,45,76,23,137,Wagner_WWV086B_145.png
2,2,1,183,76,23,115,Wagner_WWV086B_145.png
3,3,1,299,76,23,137,Wagner_WWV086B_145.png
4,4,1,436,76,23,129,Wagner_WWV086B_145.png
5,1,2,45,122,23,137,Wagner_WWV086B_145.png
6,2,2,183,122,23,115,Wagner_WWV086B_145.png
7,3,2,299,122,23,137,Wagner_WWV086B_145.png
8,4,2,436,122,23,129,Wagner_WWV086B_145.png
9,5,3,45,201,21,128,Wagner_WWV086B_145.png
10,6,3,175,201,21,110,Wagner_WWV086B_145.png
11,7,3,287,201,21,155,Wagner_WWV086B_145.png
12,8,3,443,201,21,122,Wagner_WWV086B_145.png
13,5,4,45,247,22,128,Wagner_WWV086B_145.png
14,6,4,175,247,22,110,Wagner_WWV086B_145.png
15,7,4,287,247,22,155,Wagner_WWV086B_145.png
16,8,4,443,247,22,122,Wagner_WWV086B_145.png
