StaffIndex,SystemIndex,Left,Top,Height,Width,Image
1,1,114,131,21,465,Wagner_WWV086B_140.png
2,1,114,179,21,465,Wagner_WWV086B_140.png
3,2,57,259,23,521,Wagner_WWV086B_140.png
4,2,57,309,23,521,Wagner_WWV086B_140.png
5,3,55,395,22,523,Wagner_WWV086B_140.png
6,3,55,445,22,523,Wagner_WWV086B_140.png
7,4,56,531,22,521,Wagner_WWV086B_140.png
8,4,56,582,22,521,Wagner_WWV086B_140.png
9,5,54,666,22,522,Wagner_WWV086B_140.png
10,5,54,717,23,522,Wagner_WWV086B_140.png
1,1,41,71,20,521,Wagner_WWV086B_141.png
2,1,41,120,21,521,Wagner_WWV086B_141.png
3,2,42,187,21,519,Wagner_WWV086B_141.png
4,2,42,236,21,519,Wagner_WWV086B_141.png
5,3,42,308,20,519,Wagner_WWV086B_141.png
6,3,42,356,23,519,Wagner_WWV086B_141.png
7,4,42,432,20,518,Wagner_WWV086B_141.png
8,4,42,481,22,518,Wagner_WWV086B_141.png
9,5,42,554,20,519,Wagner_WWV086B_141.png
10,5,42,598,24,519,Wagner_WWV086B_141.png
11,6,42,679,22,519,Wagner_WWV086B_141.png
12,6,42,724,22,519,Wagner_WWV086B_141.png
1,1,47,61,22,524,Wagner_WWV086B_142.png
2,1,47,103,21,524,Wagner_WWV086B_142.png
3,2,50,221,21,520,Wagner_WWV086B_142.png
4,2,50,267,23,520,Wagner_WWV086B_142.png
5,3,50,333,21,520,Wagner_WWV086B_142.png
6,3,50,378,23,520,Wagner_WWV086B_142.png
7,4,50,454,22,518,Wagner_WWV086B_142.png
8,4,50,503,21,518,Wagner_WWV086B_142.png
9,5,47,582,20,521,Wagner_WWV086B_142.png
10,5,47,625,21,521,Wagner_WWV086B_142.png
11,6,49,688,22,519,Wagner_WWV086B_142.png
12,6,49,733,20,519,Wagner_WWV086B_142.png
1,1,26,78,22,521,Wagner_WWV086B_143.png
2,1,26,118,22,521,Wagner_WWV086B_143.png
3,2,27,198,22,520,Wagner_WWV086B_143.png
4,2,27,243,23,520,Wagner_WWV086B_143.png
5,3,27,324,22,520,Wagner_WWV086B_143.png
6,3,27,370,22,520,Wagner_WWV086B_143.png
7,4,27,445,22,520,Wagner_WWV086B_143.png
8,4,27,494,22,520,Wagner_WWV086B_143.png
9,5,28,565,21,519,Wagner_WWV086B_143.png
10,5,28,611,23,519,Wagner_WWV086B_143.png
11,6,28,681,24,519,Wagner_WWV086B_143.png
12,6,28,727,23,519,Wagner_WWV086B_143.png
1,1,44,55,21,525,Wagner_WWV086B_144.png
2,1,44,99,23,525,Wagner_WWV086B_144.png
3,2,44,195,21,524,Wagner_WWV086B_144.png
4,2,44,239,23,524,Wagner_WWV086B_144.png
5,3,45,317,20,496,Wagner_WWV086B_144.png
6,3,45,360,22,496,Wagner_WWV086B_144.png
7,4,43,435,21,524,Wagner_WWV086B_144.png
8,4,43,483,20,524,Wagner_WWV086B_144.png
9,5,43,559,20,523,Wagner_WWV086B_144.png
10,5,43,602,20,523,Wagner_WWV086B_144.png
11,6,45,676,21,521,Wagner_WWV086B_144.png
12,6,45,723,21,521,Wagner_WWV086B_144.png
