mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	2	1	C.I		C	I		I	I							M	0	0	0, 4, 1		0	0
1	1	2	2	3.0	1/2	1/2	4/4	2	1	IM2		C	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5
2	2	5	5	2.0	1/4	1/4	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
2	2	7	7	1.0	3/4	3/4	4/4	2	1	V7/ii		C	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
3	3	8	8	1.0	0	0	4/4	2	1	V2(6)/ii		C	I		V2(6)/ii	V		2	6	ii			Mm7	0	0	1, 3, 7, -1		3	1
3	3	9	9	1.0	1/4	1/4	4/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	10	10	1.0	1/2	1/2	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	11	11	1.0	3/4	3/4	4/4	2	1	V43		C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	12	12	1.0	0	0	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
4	4	13	13	0.5	1/4	1/4	4/4	2	1	IV64		C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
4	4	14	14	0.5	1/2	1/2	4/4	2	1	vii%7(9)		C	I		vii%7(9)	vii	%	7	9				%7	0	0	5, 2, -1, 3	0	5	5
4	4	29/2	29/2	0.5	5/8	5/8	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
4	4	15	15	0.5	3/4	3/4	4/4	2	1	V43		C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	31/2	31/2	0.5	7/8	7/8	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	16	16	1.0	0	0	4/4	2	1	ii65		C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	5	17	17	1.5	1/4	1/4	4/4	2	1	vii%65		C	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
5	5	37/2	37/2	1.5	5/8	5/8	4/4	2	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	20	20	1.0	0	0	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	21	21	1.0	1/4	1/4	4/4	2	1	I64		C	I		I64	I		64					M	0	0	1, 0, 4		0	1
6	6	22	22	1.0	1/2	1/2	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	6	23	23	1.0	3/4	3/4	4/4	2	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	24	24	0.5	0	0	4/4	2	1	vii%65/V		C	I		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
7	7	49/2	49/2	0.5	1/8	1/8	4/4	2	1	V43/V		C	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
7	7	25	25	0.5	1/4	1/4	4/4	2	1	V(64)		C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	26	26	0.5	1/2	1/2	4/4	2	1	IVM7(9)		C	I		IVM7(9)	IV	M	7	9				MM7	0	0	-1, 3, 0, 4	1	-1	-1
7	7	53/2	53/2	0.5	5/8	5/8	4/4	2	1	ii7(119)		C	I		ii7(119)	ii		7	119				mm7	0	0	2, -1, 3, 0	1, 4	2	2
7	7	27	27	0.5	3/4	3/4	4/4	2	1	ii(2)		C	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	1	IVM7		C	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
8	8	28	28	0.5	0	0	4/4	2	1	V[V7		C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	57/2	57/2	0.5	1/8	1/8	4/4	2	1	IV		C	I	V	IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	29	29	0.5	1/4	1/4	4/4	2	1	iii7		C	I	V	iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
8	8	59/2	59/2	0.5	3/8	3/8	4/4	2	1	I(2)		C	I	V	I(2)	I			2				M	0	0	2, 4, 1		0	2
