mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4		1/8_c32_1	1/4	1		0	36	C2	2	3
1	1	0	0	1.0	0	0	4/4	2	1	1/4		1/8_c32_2	1/4	1		0	48	C3	3	4
1	1	0	0	2.0	0	0	4/4	1	1	1/2			1/2	1		0	60	C4	4	0
1	1	0	0	2.0	0	0	4/4	1	1	1/2			1/2	1		4	64	E4	4	0
1	1	0	0	2.0	0	0	4/4	1	1	1/2			1/2	1		1	67	G4	4	0
1	1	0	0	2.0	0	0	4/4	1	1	1/2			1/2	1		0	72	C5	5	0
1	1	1	1	0.5	1/4	1/4	4/4	2	1	1/8			1/8	1		0	36	C2	2	5
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		4	52	E3	3	6
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		1	55	G3	3	6
1	1	2	2	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		0	60	C4	4	1
1	1	2	2	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		4	64	E4	4	1
1	1	2	2	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		1	67	G4	4	1
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1	1	5	35	B1	1	7
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1	1	5	47	B2	2	7
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		0	60	C4	4	2
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		4	64	E4	4	2
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		1	67	G4	4	2
2	2	4	4	1.0	0	0	4/4	2	1	1/4			1/4	1	-1	5	35	B1	1	15
2	2	4	4	1.0	0	0	4/4	2	1	1/4			1/4	1	-1	5	47	B2	2	15
2	2	4	4	2.0	0	0	4/4	1	1	1/2			1/2	1	1	0	60	C4	4	8
2	2	4	4	2.0	0	0	4/4	1	1	1/2			1/2	1		4	64	E4	4	8
2	2	4	4	2.0	0	0	4/4	1	1	1/2			1/2	1	1	1	67	G4	4	8
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		3	33	A1	1	16
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		3	45	A2	2	16
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		3	45	A2	2	17
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1		3	57	A3	3	17
2	2	6	6	1.0	1/2	1/2	4/4	1	2	1/4			1/4	1	-1	0	60	C4	4	13
2	2	6	6	0.5	1/2	1/2	4/4	1	1	1/8			1/8	1	-1	1	67	G4	4	9
2	2	13/2	13/2	0.5	5/8	5/8	4/4	1	1	1/8			1/8	1		4	64	E4	4	10
2	2	7	7	1.0	3/4	3/4	4/4	1	2	1/4			1/4	1		7	61	C#4	4	14
2	2	7	7	0.5	3/4	3/4	4/4	1	1	1/8			1/8	1		-1	65	F4	4	11
2	2	15/2	15/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		1	67	G4	4	12
3	3	8	8	1.0	0	0	4/4	2	1	1/4			1/4	1		1	43	G2	2	22
3	3	8	8	1.0	0	0	4/4	2	1	1/4			1/4	1		1	55	G3	3	22
3	3	8	8	1.0	0	0	4/4	1	1	1/4			1/4	1		7	61	C#4	4	18
3	3	8	8	1.0	0	0	4/4	1	1	1/4			1/4	1		-1	65	F4	4	18
3	3	8	8	1.0	0	0	4/4	1	1	1/4			1/4	1		3	69	A4	4	18
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		-1	41	F2	2	23
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		-1	53	F3	3	23
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4			1/4	1		2	62	D4	4	19
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4			1/4	1		1	67	G4	4	19
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4			1/4	1		5	71	B4	4	19
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		4	40	E2	2	24
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4			1/4	1		4	52	E3	3	24
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4			1/4	1		4	64	E4	4	20
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4			1/4	1		1	67	G4	4	20
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4			1/4	1		0	72	C5	5	20
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		2	38	D2	2	25
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4			1/4	1		2	50	D3	3	25
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4			1/4	1		-1	65	F4	4	21
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4			1/4	1		1	67	G4	4	21
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4			1/4	1		5	71	B4	4	21
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4			1/4	1		2	74	D5	5	21
4	4	12	12	1.5	0	0	4/4	2	1	3/8			1/4	3/2		0	36	C2	2	31
4	4	12	12	1.5	0	0	4/4	2	1	3/8			1/4	3/2		0	48	C3	3	31
4	4	12	12	1.0	0	0	4/4	1	1	1/4			1/4	1		4	64	E4	4	26
4	4	12	12	1.0	0	0	4/4	1	1	1/4			1/4	1		1	67	G4	4	26
