mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	1a	0	4.0	0	4/4	1	0					firstMeasure	2
2	2	2	2a	4	4.0	0	4/4	1	0						3
3	3	3	3a	8	4.0	0	4/4	1	0						4
4	4	4	4a	12	4.0	0	4/4	1	0						5
5	5	5	5a	16	4.0	0	4/4	1	0						6
6	6	6	6a	20	4.0	0	4/4	1	0						7
7	7	7	7a	24	4.0	0	4/4	1	0						8
8	8	8	8a	28	4.0	0	4/4	1	0						9
9	9	9	9a	32	4.0	0	4/4	1	0						10
10	10	10	10a	36	4.0	0	4/4	1	0						11
11	11	11	11a	40	4.0	0	4/4	1	0						12
12	12	12	12a	44	4.0	0	4/4	1	0						13
13	13	13	13a	48	4.0	0	4/4	1	0						14
14	14	14	14a	52	4.0	0	4/4	1	0						15
15	15	15	15a	56	4.0	0	4/4	1	0						16
16	16	16	16a	60	4.0	0	4/4	1	0						17
17	17	17	17a	64	4.0	0	4/4	1	0						18
18	18	18	18a	68	4.0	0	4/4	1	0						19
19	19	19	19a	72	4.0	0	4/4	1	0						20
20	20	20	20a	76	4.0	0	4/4	1	0						21
21	21	21	21a	80	4.0	0	4/4	1	0						22
22	22	22	22a	84	4.0	0	4/4	1	0						23
23	23	23	23a	88	4.0	0	4/4	1	0						24
24	24	24	24a	92	4.0	0	4/4	1	0						25
25	25	25	25a	96	4.0	0	4/4	1	0						26
26	26	26	26a	100	4.0	0	4/4	1	0						27
27	27	27	27a	104	4.0	0	4/4	1	0						28
28	28	28	28a	108	4.0	0	4/4	1	0						29
29	29	29	29a	112	4.0	0	4/4	1	0						30
30	30	30	30a	116	4.0	0	4/4	1	0						31
31	31	31	31a	120	4.0	0	4/4	1	0						32
32	32	32	32a	124	4.0	0	4/4	1	0						33
33	33	33	33a	128	4.0	0	4/4	1	0						34
34	34	34	34a	132	4.0	0	4/4	1	0						35
35	35	35	35a	136	4.0	0	4/4	1	0						36
36	36	36	36a	140	4.0	0	4/4	1	0						37
37	37	37	37a	144	4.0	0	4/4	1	0						38
38	38	38	38a	148	4.0	0	4/4	1	0						39
39	39	39	39a	152	4.0	0	4/4	1	0						40
40	40	40	40a	156	4.0	0	4/4	1	0						41
41	41	41	41a	160	4.0	0	4/4	1	0						42
42	42	42	42a	164	4.0	0	4/4	1	0						43
43	43	43	43a	168	4.0	0	4/4	1	0						44
44	44	44	44a	172	4.0	0	4/4	1	0						45
45	45	45	45a	176	4.0	0	4/4	1	0						46
46	46	46	46a	180	4.0	0	4/4	1	0						47
47	47	47	47a	184	4.0	0	4/4	1	0						48
48	48	48	48a	188	4.0	0	4/4	1	0						49
49	49	49	49a	192	4.0	0	4/4	1	0						50
50	50	50	50a	196	4.0	0	4/4	1	0						51
51	51	51	51a	200	4.0	0	4/4	1	0						52
52	52	52	52a	204	4.0	0	4/4	1	0						53
53	53	53	53a	208	4.0	0	4/4	1	0						54
54	54	54	54a	212	4.0	0	4/4	1	0						55
