mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	C.I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	7	0.0	0.0	2.625	0.0
1	1	1/2	1/2	4/4	2	1	IM2					C	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5	0	15	0.0	0.0	4.5	0.0
2	2	1/4	1/4	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	0	7	0.0	0.0	2.0	0.0
2	2	3/4	3/4	4/4	2	1	V7/ii					C	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
3	3	0	0	4/4	2	1	V2(6)/ii					C	I		V2(6)/ii	V		2	6	ii			Mm7	0	0	1, 3, 7, -1		3	1	0	5	0.0	0.0	1.25	0.0
3	3	1/4	1/4	4/4	2	1	V2					C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	5	0.0	0.0	1.25	0.0
3	3	1/2	1/2	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	5	0.0	0.0	1.25	0.0
3	3	3/4	3/4	4/4	2	1	V43					C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2	0	6	0.0	0.0	1.5	0.0
4	4	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	1.75	0.0
4	4	1/4	1/4	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	0	4	0.0	0.0	1.5	0.0
4	4	3/8	3/8	4/4	2	1	IV6					C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
4	4	1/2	1/2	4/4	2	1	vii%7(9)					C	I		vii%7(9)	vii	%	7	9				%7	0	0	5, 2, -1, 3	0	5	5	0	2	0.0	0.0	0.25	0.0
4	4	5/8	5/8	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	5	0.0	0.0	0.625	0.0
4	4	3/4	3/4	4/4	2	1	V43					C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2	0	6	0.0	0.0	0.75	0.0
4	4	7/8	7/8	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	5	0.0	0.0	0.625	0.0
5	5	0	0	4/4	2	1	ii65					C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	6	0.0	0.0	2.5	0.0
5	5	1/4	1/4	4/4	2	1	vii%65					C	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2	0	6	0.0	0.0	2.5	0.0
5	5	5/8	5/8	4/4	2	1	viio6	0	-6.3	/		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2	0	1	0.0	0.0	0.125	0.0
6	6	0	0	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	2	6	0.25	0.25	2.25	0.1
6	6	1/4	1/4	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	2	2	0.5	0.25	0.25	0.5
6	6	1/2	1/2	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	1	6	0.14285714285714285	0.125	1.5	0.07692307692307693
6	6	3/4	3/4	4/4	2	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	1	1	0.5	0.125	0.125	0.5
7	7	0	0	4/4	2	1	vii%65/V					C	I		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3	0	5	0.0	0.0	1.125	0.0
7	7	1/8	1/8	4/4	2	1	V43/V					C	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3	0	1	0.0	0.0	0.125	0.0
7	7	1/4	1/4	4/4	2	1	V(64)					C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	0	5	0.0	0.0	1.0	0.0
7	7	3/8	3/8	4/4	2	1	V7					C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
7	7	1/2	1/2	4/4	2	1	IVM7(9)					C	I		IVM7(9)	IV	M	7	9				MM7	0	0	-1, 3, 0, 4	1	-1	-1	0	6	0.0	0.0	1.25	0.0
7	7	5/8	5/8	4/4	2	1	ii7(119)					C	I		ii7(119)	ii		7	119				mm7	0	0	2, -1, 3, 0	1, 4	2	2	0	1	0.0	0.0	0.125	0.0
7	7	3/4	3/4	4/4	2	1	ii(2)					C	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
7	7	7/8	7/8	4/4	2	1	IVM7					C	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1	0	3	0.0	0.0	0.375	0.0
8	8	0	0	4/4	2	1	V[V7					C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.5	0.0
8	8	1/8	1/8	4/4	2	1	IV					C	I	V	IV	IV							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
8	8	1/4	1/4	4/4	2	1	iii7					C	I	V	iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4	0	3	0.0	0.0	0.375	0.0
8	8	3/8	3/8	4/4	2	1	I(2)					C	I	V	I(2)	I			2				M	0	0	2, 4, 1		0	2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
8	8	1/2	1/2	4/4	2	1	V7(94)					C	I	V	V7(94)	V		7	94				Mm7	0	0	1, 0, 2, -1	3	1	1	0	4	0.0	0.0	0.875	0.0
8	8	5/8	5/8	4/4	2	1	V7(9)					C	I	V	V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	0	1	0.0	0.0	0.125	0.0
8	8	3/4	3/4	4/4	2	1	IM7					C	I	V	IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0	0	4	0.0	0.0	0.75	0.0
8	8	7/8	7/8	4/4	2	1	V					C	I	V	V	V							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
9	9	0	0	4/4	2	1	vi64					C	I	V	vi64	vi		64					m	0	0	4, 3, 0		3	4	1	3	0.25	1.0	0.5	0.6666666666666666
9	9	1/8	1/8	4/4	2	1	iii					C	I	V	iii	iii							m	0	0	4, 1, 5		4	4	0	2	0.0	0.0	0.25	0.0
9	9	1/4	1/4	4/4	2	1	ii7					C	I	V	ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	3	0.0	0.0	0.375	0.0
9	9	3/8	3/8	4/4	2	1	V(+4)					C	I	V	V(+4)	V			+4				M	0	0	1, 5, 2	0	1	1	0	3	0.0	0.0	0.375	0.0
9	9	1/2	1/2	4/4	2	1	IM2					C	I	V	IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5	1	4	0.2	0.125	0.875	0.125
9	9	3/4	3/4	4/4	2	1	V7(9)					C	I	V	V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	0	4	0.0	0.0	0.75	0.0
9	9	7/8	7/8	4/4	2	1	IV64					C	I	V	IV64	IV		64					M	0	0	0, -1, 3		-1	0	0	2	0.0	0.0	0.25	0.0
10	10	0	0	4/4	2	1	V7					C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.375	0.0
10	10	1/8	1/8	4/4	2	1	V(9)					C	I	V	V(9)	V			9				M	0	0	1, 5, 2	3	1	1	0	3	0.0	0.0	0.375	0.0
