flow_mode,source_file,software_version,mc_start,mc_end,atomic_segments
atomic,WoO71.measures.tsv,timetoalign v0.1.0,1,12,A
atomic,WoO71.measures.tsv,timetoalign v0.1.0,12,22,B
atomic,WoO71.measures.tsv,timetoalign v0.1.0,22,33,C
atomic,WoO71.measures.tsv,timetoalign v0.1.0,33,43,D
atomic,WoO71.measures.tsv,timetoalign v0.1.0,43,73,E
atomic,WoO71.measures.tsv,timetoalign v0.1.0,73,84,F
atomic,WoO71.measures.tsv,timetoalign v0.1.0,84,94,G
atomic,WoO71.measures.tsv,timetoalign v0.1.0,94,105,H
atomic,WoO71.measures.tsv,timetoalign v0.1.0,105,115,I
atomic,WoO71.measures.tsv,timetoalign v0.1.0,115,126,J
atomic,WoO71.measures.tsv,timetoalign v0.1.0,126,136,K
atomic,WoO71.measures.tsv,timetoalign v0.1.0,136,147,L
atomic,WoO71.measures.tsv,timetoalign v0.1.0,147,157,M
atomic,WoO71.measures.tsv,timetoalign v0.1.0,157,168,N
atomic,WoO71.measures.tsv,timetoalign v0.1.0,168,178,O
atomic,WoO71.measures.tsv,timetoalign v0.1.0,178,189,P
atomic,WoO71.measures.tsv,timetoalign v0.1.0,189,199,Q
atomic,WoO71.measures.tsv,timetoalign v0.1.0,199,210,R
atomic,WoO71.measures.tsv,timetoalign v0.1.0,210,220,S
atomic,WoO71.measures.tsv,timetoalign v0.1.0,220,231,T
atomic,WoO71.measures.tsv,timetoalign v0.1.0,231,241,U
atomic,WoO71.measures.tsv,timetoalign v0.1.0,241,252,V
atomic,WoO71.measures.tsv,timetoalign v0.1.0,252,260,W
atomic,WoO71.measures.tsv,timetoalign v0.1.0,260,261,X
atomic,WoO71.measures.tsv,timetoalign v0.1.0,261,262,Y
atomic,WoO71.measures.tsv,timetoalign v0.1.0,262,398,Z
default,WoO71.measures.tsv,timetoalign v0.1.0,1,22,A;B
default,WoO71.measures.tsv,timetoalign v0.1.0,12,22,B
default,WoO71.measures.tsv,timetoalign v0.1.0,22,43,C;D
default,WoO71.measures.tsv,timetoalign v0.1.0,33,43,D
default,WoO71.measures.tsv,timetoalign v0.1.0,43,73,E
default,WoO71.measures.tsv,timetoalign v0.1.0,73,94,F;G
default,WoO71.measures.tsv,timetoalign v0.1.0,84,94,G
default,WoO71.measures.tsv,timetoalign v0.1.0,94,115,H;I
default,WoO71.measures.tsv,timetoalign v0.1.0,105,115,I
default,WoO71.measures.tsv,timetoalign v0.1.0,115,136,J;K
default,WoO71.measures.tsv,timetoalign v0.1.0,126,136,K
default,WoO71.measures.tsv,timetoalign v0.1.0,136,157,L;M
default,WoO71.measures.tsv,timetoalign v0.1.0,147,157,M
default,WoO71.measures.tsv,timetoalign v0.1.0,157,178,N;O
default,WoO71.measures.tsv,timetoalign v0.1.0,168,178,O
default,WoO71.measures.tsv,timetoalign v0.1.0,178,199,P;Q
default,WoO71.measures.tsv,timetoalign v0.1.0,189,199,Q
default,WoO71.measures.tsv,timetoalign v0.1.0,199,220,R;S
default,WoO71.measures.tsv,timetoalign v0.1.0,210,220,S
default,WoO71.measures.tsv,timetoalign v0.1.0,220,241,T;U
default,WoO71.measures.tsv,timetoalign v0.1.0,231,241,U
default,WoO71.measures.tsv,timetoalign v0.1.0,241,261,V;W;X
default,WoO71.measures.tsv,timetoalign v0.1.0,252,260,W
default,WoO71.measures.tsv,timetoalign v0.1.0,261,262,Y
default,WoO71.measures.tsv,timetoalign v0.1.0,262,398,Z
single,WoO71.measures.tsv,timetoalign v0.1.0,1,22,A;B
single,WoO71.measures.tsv,timetoalign v0.1.0,22,43,C;D
single,WoO71.measures.tsv,timetoalign v0.1.0,43,73,E
single,WoO71.measures.tsv,timetoalign v0.1.0,73,94,F;G
single,WoO71.measures.tsv,timetoalign v0.1.0,94,115,H;I
single,WoO71.measures.tsv,timetoalign v0.1.0,115,136,J;K
single,WoO71.measures.tsv,timetoalign v0.1.0,136,157,L;M
single,WoO71.measures.tsv,timetoalign v0.1.0,157,178,N;O
single,WoO71.measures.tsv,timetoalign v0.1.0,178,199,P;Q
single,WoO71.measures.tsv,timetoalign v0.1.0,199,220,R;S
single,WoO71.measures.tsv,timetoalign v0.1.0,220,241,T;U
single,WoO71.measures.tsv,timetoalign v0.1.0,241,260,V;W
single,WoO71.measures.tsv,timetoalign v0.1.0,261,262,Y
single,WoO71.measures.tsv,timetoalign v0.1.0,262,398,Z
