flow_mode,source_file,software_version,mc_start,mc_end,atomic_segments
atomic,c05n05_musete.measures.tsv,timetoalign v0.1.0,1,6,A
atomic,c05n05_musete.measures.tsv,timetoalign v0.1.0,6,17,B
atomic,c05n05_musete.measures.tsv,timetoalign v0.1.0,17,32,C
atomic,c05n05_musete.measures.tsv,timetoalign v0.1.0,32,59,D
default,c05n05_musete.measures.tsv,timetoalign v0.1.0,1,17,A;B
default,c05n05_musete.measures.tsv,timetoalign v0.1.0,1,32,A;B;C
default,c05n05_musete.measures.tsv,timetoalign v0.1.0,17,32,C
default,c05n05_musete.measures.tsv,timetoalign v0.1.0,6,17,B
default,c05n05_musete.measures.tsv,timetoalign v0.1.0,32,59,D
default,c05n05_musete.measures.tsv,timetoalign v0.1.0,32,59,D
default,c05n05_musete.measures.tsv,timetoalign v0.1.0,6,17,B
single,c05n05_musete.measures.tsv,timetoalign v0.1.0,1,59,A;B;C;D
