flow_mode,source_file,software_version,mc_start,mc_end,atomic_segments
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,1,10,A
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,10,19,B
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,19,28,C
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,28,44,D
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,44,45,E
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,45,78,F
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,78,85,G
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,85,93,H
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,93,94,I
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,94,95,J
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,95,102,K
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,102,103,L
atomic,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,103,227,M
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,1,10,A
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,1,19,A;B
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,10,28,B;C
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,19,45,C;D;E
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,28,44,D
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,45,85,F;G
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,78,94,G;H;I
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,85,93,H
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,94,103,J;K;L
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,95,102,K
default,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,103,227,M
single,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,1,44,A;B;C;D
single,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,45,93,F;G;H
single,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,94,102,J;K
single,op18_no4_mov4_flow.measures.tsv,timetoalign v0.1.0,103,227,M
