flow_mode,source_file,software_version,mc_start,mc_end,atomic_segments,comment
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,1,4,A,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,4,5,B,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,5,6,C,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,6,7,D,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,7,8,E,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,8,9,F,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,9,10,G,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,10,11,H,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,11,12,I,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,12,13,J,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,13,14,K,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,14,15,L,
atomic,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,15,16,M,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,1,4,A,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,1,6,A;B;C,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,4,5,B,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,6,7,D,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,8,9,F,Humans infer that the repeat-end pertains to this bar only which is preceded by an end-barline. A correctly encoded score would set a section break here.
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,8,11,F;G;H,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,10,12,H;I,"H [10,11) is a nested repeat within the repeated [9,12)"
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,9,11,G;H,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,10,13,H;I;J,"outer repeat complete, continue"
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,9,10,G,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,13,15,K;L,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,13,14,K,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,15,16,M,Again: Humans infer that the repeat-end pertains to this bar only which is preceded by an end-barline. A correctly encoded score would set a section break here.
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,1,5,A;B,
default,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,7,8,E,
single,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,1,5,A;B,
single,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,6,7,D,
single,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,8,14,F;G;H;I;J;K,
single,out_of_the_flow_experience-flow_only.measures.tsv,timetoalign v0.1.0,15,16,M,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,1,4,A,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,1,6,A;B;C,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,4,5,B,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,6,7,D,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,8,10,F;G,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,9,11,G;H,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,10,12,H;I,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,11,13,I;J,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,9,10,G,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,13,15,K;L,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,12,13,J,"ms3 does not infer the start-repeat from the previous end-barline K, but from the previous end-repeat before J"
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,9,10,G,result of D.S.
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,13,14,K,Jump to Coda again (but we shouldn't have come here again)
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,15,16,M,2nd volta (because we reached here by chance) with D.C.
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,1,5,A;B,
ms3,out_of_the_flow_experience-flow_only.measures.tsv,ms3 v2.6.0,7,8,E,
music21,out_of_the_flow_experience-flow_only.musicxml,music21 v9.1.0,1,16,A;B;C;D;E;F;G;H;I;J;K;L;M,Music21 does not handle D.S./D.C./Fine; single-pass flow
