mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0.5	4	2/4	1/8	3/8					firstMeasure	2
2	2	1/2	2.0	4	2/4	1/2	0						3
3	3	5/2	2.0	4	2/4	1/2	0						4
4	4	9/2	2.0	4	2/4	1/2	0						5
5	5	13/2	2.0	4	2/4	1/2	0						6
6	6	17/2	2.0	4	2/4	1/2	0						7
7	7	21/2	2.0	4	2/4	1/2	0						8
8	8	25/2	2.0	4	2/4	1/2	0						9
9	9	29/2	2.0	4	2/4	1/2	0						10
10	10	33/2	2.0	4	2/4	1/2	0						11
11	11	37/2	2.0	4	2/4	1/2	0						12
12	12	41/2	2.0	4	2/4	1/2	0						13
13	13	45/2	2.0	4	2/4	1/2	0						14
14	14	49/2	2.0	4	2/4	1/2	0						15
15	15	53/2	2.0	4	2/4	1/2	0						16
16	16	57/2	2.0	4	2/4	1/2	0						17
17	17	61/2	2.0	4	2/4	1/2	0						18
18	18	65/2	2.0	4	2/4	1/2	0						19
19	19	69/2	2.0	4	2/4	1/2	0						20
20	20	73/2	2.0	4	2/4	1/2	0						21
21	21	77/2	2.0	4	2/4	1/2	0						22
22	22	81/2	1.0	4	2/4	1/4	0					lastMeasure	-1
