mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	3/8	2/4	1	1	1/8		1/8	1		5	59	B3	3	0
2	2	1/2	1/2	0.25	0	0	2/4	2	1	1/16		1/16	1		4	40	E2	2	14
2	2	1/2	1/2	1.0	0	0	2/4	2	3	1/4		1/4	1		4	40	E2	2	20
2	2	1/2	1/2	0.25	0	0	2/4	1	3	1/16		1/16	1		8	56	G#3	3	6
2	2	1/2	1/2	0.5	0	0	2/4	1	1	1/8		1/8	1		4	64	E4	4	1
2	2	3/4	3/4	0.5	1/16	1/16	2/4	2	1	1/8		1/8	1		5	47	B2	2	15
2	2	3/4	3/4	0.25	1/16	1/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	7
2	2	1	1	0.25	1/8	1/8	2/4	1	3	1/16		1/16	1		8	56	G#3	3	8
2	2	1	1	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		9	63	D#4	4	2
2	2	5/4	5/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	16
2	2	5/4	5/4	0.25	3/16	3/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	9
2	2	5/4	5/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	3
2	2	3/2	3/2	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		5	35	B1	1	17
2	2	3/2	3/2	1.0	1/4	1/4	2/4	2	3	1/4		1/4	1		5	35	B1	1	21
2	2	3/2	3/2	0.25	1/4	1/4	2/4	1	3	1/16		1/16	1		3	57	A3	3	10
2	2	3/2	3/2	1.0	1/4	1/4	2/4	1	2	1/4		1/4	1	1	9	63	D#4	4	5
2	2	3/2	3/2	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1	1	6	66	F#4	4	4
2	2	7/4	7/4	0.5	5/16	5/16	2/4	2	1	1/8		1/8	1		5	47	B2	2	18
2	2	7/4	7/4	0.25	5/16	5/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	11
2	2	2	2	0.25	3/8	3/8	2/4	1	3	1/16		1/16	1		3	57	A3	3	12
2	2	9/4	9/4	0.25	7/16	7/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	19
2	2	9/4	9/4	0.25	7/16	7/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	13
3	3	5/2	5/2	0.25	0	0	2/4	2	1	1/16		1/16	1		5	35	B1	1	38
3	3	5/2	5/2	1.0	0	0	2/4	2	3	1/4		1/4	1		5	35	B1	1	44
3	3	5/2	5/2	0.25	0	0	2/4	1	3	1/16		1/16	1		3	57	A3	3	30
3	3	5/2	5/2	0.5	0	0	2/4	1	2	1/8		1/8	1	-1	9	63	D#4	4	27
3	3	5/2	5/2	0.25	0	0	2/4	1	1	1/16		1/16	1	-1	6	66	F#4	4	22
3	3	11/4	11/4	0.5	1/16	1/16	2/4	2	1	1/8		1/8	1		5	47	B2	2	39
3	3	11/4	11/4	0.25	1/16	1/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	31
3	3	11/4	11/4	0.25	1/16	1/16	2/4	1	1	1/16		1/16	1		8	68	G#4	4	23
3	3	3	3	0.25	1/8	1/8	2/4	1	3	1/16		1/16	1		3	57	A3	3	32
3	3	3	3	0.5	1/8	1/8	2/4	1	2	1/8		1/8	1		9	63	D#4	4	28
3	3	3	3	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		8	68	G#4	4	24
3	3	13/4	13/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	40
3	3	13/4	13/4	0.25	3/16	3/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	33
3	3	13/4	13/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		6	66	F#4	4	25
3	3	7/2	7/2	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		4	40	E2	2	41
3	3	7/2	7/2	1.0	1/4	1/4	2/4	2	3	1/4		1/4	1		4	40	E2	2	45
3	3	7/2	7/2	0.25	1/4	1/4	2/4	1	3	1/16		1/16	1		8	56	G#3	3	34
3	3	7/2	7/2	1.0	1/4	1/4	2/4	1	2	1/4		1/4	1		4	64	E4	4	29
3	3	7/2	7/2	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1	1	8	68	G#4	4	26
3	3	15/4	15/4	0.5	5/16	5/16	2/4	2	1	1/8		1/8	1		5	47	B2	2	42
3	3	15/4	15/4	0.25	5/16	5/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	35
3	3	4	4	0.25	3/8	3/8	2/4	1	3	1/16		1/16	1		8	56	G#3	3	36
3	3	17/4	17/4	0.25	7/16	7/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	43
3	3	17/4	17/4	0.25	7/16	7/16	2/4	1	3	1/16		1/16	1		5	59	B3	3	37
4	4	9/2	9/2	0.25	0	0	2/4	2	1	1/16		1/16	1		4	40	E2	2	60
4	4	9/2	9/2	1.0	0	0	2/4	2	3	1/4		1/4	1		4	40	E2	2	66
4	4	9/2	9/2	0.25	0	0	2/4	1	3	1/16		1/16	1		8	56	G#3	3	52
4	4	9/2	9/2	0.25	0	0	2/4	1	1	1/16		1/16	1	-1	8	68	G#4	4	46
4	4	19/4	19/4	0.5	1/16	1/16	2/4	2	1	1/8		1/8	1		5	47	B2	2	61
4	4	19/4	19/4	0.25	1/16	1/16	2/4	1	3	1/16		1/16	1		4	64	E4	4	53
4	4	19/4	19/4	0.25	1/16	1/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	47
4	4	5	5	0.25	1/8	1/8	2/4	1	3	1/16		1/16	1		5	59	B3	3	54
4	4	5	5	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	48
4	4	21/4	21/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	62
4	4	21/4	21/4	0.25	3/16	3/16	2/4	1	3	1/16		1/16	1		4	64	E4	4	55
4	4	21/4	21/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		8	68	G#4	4	49
4	4	11/2	11/2	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		5	35	B1	1	63
4	4	11/2	11/2	1.0	1/4	1/4	2/4	2	3	1/4		1/4	1		5	35	B1	1	67
4	4	11/2	11/2	0.25	1/4	1/4	2/4	1	3	1/16		1/16	1		9	63	D#4	4	56
4	4	11/2	11/2	0.75	1/4	1/4	2/4	1	1	3/16		1/8	3/2		7	73	C#5	5	50
4	4	23/4	23/4	0.5	5/16	5/16	2/4	2	1	1/8		1/8	1		5	47	B2	2	64
4	4	23/4	23/4	0.25	5/16	5/16	2/4	1	3	1/16		1/16	1		3	69	A4	4	57
4	4	6	6	0.25	3/8	3/8	2/4	1	3	1/16		1/16	1		5	59	B3	3	58
4	4	25/4	25/4	0.25	7/16	7/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	65
4	4	25/4	25/4	0.25	7/16	7/16	2/4	1	3	1/16		1/16	1		9	63	D#4	4	59
4	4	25/4	25/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		5	71	B4	4	51
5	5	13/2	13/2	0.25	0	0	2/4	2	1	1/16		1/16	1		4	40	E2	2	85
5	5	13/2	13/2	1.0	0	0	2/4	2	3	1/4		1/4	1		4	40	E2	2	91
5	5	13/2	13/2	0.25	0	0	2/4	1	3	1/16		1/16	1		5	59	B3	3	77
